Company_ID,Expert_E_a_man,Expert_E_a_woman
Carbon_1_88,80,80
Carbon_2_12,60,60
Carbon_3_15,60,60
Carbon_4_72,85,80
Carbon_5_22,60,60
Carbon_6_50,80,80
Carbon_7_91,98,80
Carbon_8_21,60,60
Carbon_9_7,60,60
Carbon_10_20,60,60
Carbon_11_19,60,60
Carbon_12_62,85,85
Carbon_13_41,85,85
Carbon_14_82,90,80
Carbon_15_90,20,80
Carbon_16_78,85,85
Carbon_17_95,20,20
Carbon_18_26,60,60
Carbon_19_49,85,85
Carbon_20_67,85,85
Carbon_21_92,80,80
Carbon_22_80,90,90
Carbon_23_45,80,80
Carbon_24_75,80,80
Carbon_25_77,85,85
Carbon_26_77,85,85
Carbon_27_1,60,60
Carbon_28_97,10,10
Carbon_29_60,80,80
Carbon_30_29,60,60
Carbon_31_100,100,100
Carbon_32_37,85,85
Carbon_33_42,85,85
Carbon_34_91,98,80
Carbon_35_66,80,80
Carbon_36_28,60,60
Carbon_37_33,60,60
Carbon_38_18,60,60
Carbon_39_5,60,60
Carbon_40_10,60,60
Carbon_41_68,85,85
Carbon_42_97,10,10
Carbon_43_26,60,60
Carbon_44_98,10,20
Carbon_45_36,60,80
Carbon_46_23,60,60
Carbon_47_8,60,60
Carbon_48_69,85,85
Carbon_49_69,85,85
Carbon_50_80,90,90
Carbon_51_59,85,85
Carbon_52_60,80,80
Carbon_53_18,60,60
Carbon_54_13,60,60
Carbon_55_96,10,20
Carbon_56_43,85,85
Carbon_57_24,60,60
Carbon_58_90,20,80
Carbon_59_4,60,60
Carbon_60_35,60,60
Carbon_61_68,85,85
Carbon_62_15,60,60
Carbon_63_41,85,85
Carbon_64_3,60,60
Carbon_65_21,60,60
Carbon_66_31,85,85
Carbon_67_89,80,80
Carbon_68_38,72,60
Carbon_69_19,60,60
Carbon_70_20,60,60
Carbon_71_22,60,60
Carbon_72_65,80,80
Carbon_73_70,80,80
Carbon_74_58,80,80
Carbon_75_25,60,60
Carbon_76_9,60,60
Carbon_77_98,10,20
