Company_ID,Expert_E_a_practicing_muslim,Expert_E_a_practicing_christian
Carbon_1_24,60,60
Carbon_2_27,85,60
Carbon_3_58,80,80
Carbon_4_46,80,80
Carbon_5_7,60,60
Carbon_6_65,80,80
Carbon_7_37,85,60
Carbon_8_48,80,80
Carbon_9_66,80,80
Carbon_10_28,60,60
Carbon_11_68,80,85
Carbon_12_3,60,60
Carbon_13_41,85,85
Carbon_14_38,60,60
Carbon_15_63,85,85
Carbon_16_22,60,60
Carbon_17_39,80,80
Carbon_18_16,60,60
Carbon_19_91,80,98
Carbon_20_16,60,60
Carbon_21_42,85,80
Carbon_22_8,60,60
Carbon_23_30,60,60
Carbon_24_61,85,85
Carbon_25_22,60,60
Carbon_26_92,80,80
Carbon_27_17,60,60
Carbon_28_39,80,85
Carbon_29_58,80,80
Carbon_30_48,80,80
Carbon_31_51,80,80
Carbon_32_57,80,80
Carbon_33_3,60,60
Carbon_34_29,60,60
Carbon_35_51,80,80
Carbon_36_75,80,80
Carbon_37_88,80,80
Carbon_38_96,10,10
Carbon_39_42,80,85
Carbon_40_88,80,80
Carbon_41_77,85,85
Carbon_42_5,60,60
Carbon_43_4,60,60
Carbon_44_22,60,60
Carbon_45_32,60,60
Carbon_46_88,90,80
Carbon_47_96,20,10
Carbon_48_48,80,80
Carbon_49_77,85,85
Carbon_50_85,90,90
Carbon_51_34,60,60
Carbon_52_72,80,80
Carbon_53_60,80,80
Carbon_54_27,60,60
Carbon_55_99,10,10
Carbon_56_20,60,60
Carbon_57_100,100,100
Carbon_58_56,80,80
Carbon_59_82,90,90
Carbon_60_28,60,60
Carbon_61_66,80,80
Carbon_62_22,60,60
Carbon_63_17,60,60
Carbon_64_7,60,60
Carbon_65_99,10,10
Carbon_66_4,60,60
Carbon_67_33,80,60
Carbon_68_38,60,60
Carbon_69_17,60,60
Carbon_70_98,20,10
Carbon_71_6,60,60
Carbon_72_70,80,80
Carbon_73_45,80,80
Carbon_74_53,80,85
Carbon_75_57,80,85
Carbon_76_98,20,20
Carbon_77_49,80,85
Carbon_78_42,85,85
Carbon_79_17,60,60
Carbon_80_38,60,60
Carbon_81_52,80,80
Carbon_82_62,85,85
Carbon_83_40,80,60
Carbon_84_49,85,85
Carbon_85_66,80,80
Carbon_86_87,80,80
Carbon_87_3,60,60
Carbon_88_77,80,85
Carbon_89_3,60,60
Carbon_90_18,60,60
Carbon_91_43,85,85
Carbon_92_21,60,60
Carbon_93_66,80,80
Carbon_94_67,80,85
Carbon_95_42,85,80
Carbon_96_57,80,85
Carbon_97_27,60,60
Carbon_98_39,80,85
Carbon_99_100,100,100
Carbon_100_56,80,80
