Company_ID,Expert_E_a_25-year-old,Expert_E_a_60-year-old
Carbon_1_78,80,85
Carbon_2_73,85,85
Carbon_3_71,80,85
Carbon_4_32,60,80
Carbon_5_24,60,80
Carbon_6_17,60,85
Carbon_7_73,80,85
Carbon_8_60,80,80
Carbon_9_22,60,85
Carbon_10_45,80,80
Carbon_11_47,85,85
Carbon_12_60,80,80
Carbon_13_44,80,85
Carbon_14_6,60,40
Carbon_15_5,60,40
Carbon_16_46,80,85
Carbon_17_84,80,80
Carbon_18_45,80,80
Carbon_19_87,80,80
Carbon_20_25,60,80
Carbon_21_9,60,72
Carbon_22_56,80,85
Carbon_23_64,80,85
Carbon_24_30,60,80
Carbon_25_53,80,85
Carbon_26_4,60,40
Carbon_27_20,60,40
Carbon_28_98,10,10
Carbon_29_3,60,40
Carbon_30_48,80,80
Carbon_31_13,60,72
Carbon_32_64,80,85
Carbon_33_52,80,80
Carbon_34_29,60,85
Carbon_35_69,80,85
Carbon_36_24,60,85
Carbon_37_46,80,85
Carbon_38_39,80,85
Carbon_39_56,80,85
Carbon_40_31,60,85
Carbon_41_82,90,80
Carbon_42_85,90,20
Carbon_43_14,60,72
Carbon_44_9,60,72
Carbon_45_33,60,75
Carbon_46_56,80,85
Carbon_47_80,90,90
Carbon_48_22,60,85
Carbon_49_45,80,80
Carbon_50_84,80,80
Carbon_51_41,85,85
Carbon_52_85,90,80
Carbon_53_2,60,40
Carbon_54_65,80,80
Carbon_55_10,60,40
Carbon_56_55,80,80
Carbon_57_78,80,85
Carbon_58_6,60,40
Carbon_59_88,80,80
Carbon_60_69,85,85
Carbon_61_25,60,80
Carbon_62_26,60,72
Carbon_63_77,85,85
Carbon_64_39,60,85
Carbon_65_63,85,85
Carbon_66_33,60,80
Carbon_67_10,60,40
Carbon_68_71,85,85
Carbon_69_5,60,40
Carbon_70_90,80,20
Carbon_71_79,80,85
Carbon_72_86,80,80
Carbon_73_53,80,85
Carbon_74_4,60,40
Carbon_75_76,80,80
Carbon_76_77,85,85
Carbon_77_87,80,80
Carbon_78_19,60,72
Carbon_79_60,80,80
Carbon_80_68,80,85
Carbon_81_66,80,80
Carbon_82_29,60,85
Carbon_83_70,80,80
Carbon_84_53,80,85
Carbon_85_38,60,72
Carbon_86_98,10,10
Carbon_87_19,60,72
Carbon_88_47,85,85
Carbon_89_97,10,10
Carbon_90_59,85,85
Carbon_91_12,60,75
Carbon_92_89,80,80
Carbon_93_80,90,90
Carbon_94_95,10,20
Carbon_95_58,80,80
Carbon_96_72,80,85
Carbon_97_95,10,20
Carbon_98_15,60,40
Carbon_99_72,80,80
Carbon_100_100,100,100
Trees_1_60223,60,40
Trees_2_162948,60,40
Trees_3_165598,60,40
Trees_4_202323,60,40
Trees_5_594819,60,42
Trees_6_762693,60,40
Trees_7_853677,60,40
Trees_8_975350,60,42
Trees_9_558605,60,40
Trees_10_96351,60,40
Trees_11_37029,60,42
Trees_12_896929,60,40
Trees_13_920710,60,40
Trees_14_130330,60,40
Trees_15_778225,60,42
Trees_16_270542,60,40
Trees_17_562877,60,40
Trees_18_304140,60,40
Trees_19_482725,60,40
Trees_20_534363,60,40
Trees_21_447479,60,40
Trees_22_281655,60,40
Trees_23_538859,60,40
Trees_24_139101,60,40
Trees_25_997440,60,42
Trees_26_401549,60,42
Trees_27_991564,60,42
Trees_28_190025,60,40
Trees_29_188603,60,40
Trees_30_828274,60,40
Trees_31_681547,60,42
Trees_32_614159,60,40
Trees_33_36243,60,40
Trees_34_32031,60,40
Trees_35_350496,60,40
Trees_36_693665,60,40
Trees_37_838275,60,40
Trees_38_200401,60,40
Trees_39_69923,60,42
Trees_40_978109,60,42
Trees_41_102262,60,40
Trees_42_732070,60,40
Trees_43_173158,60,40
Trees_44_748467,60,40
Trees_45_770282,60,40
Trees_46_457128,60,40
Trees_47_330158,60,40
Trees_48_212545,60,40
Trees_49_829143,60,40
Trees_50_930761,60,40
Trees_51_823750,60,42
Trees_52_756171,60,40
Trees_53_186309,60,40
Trees_54_287904,60,40
Trees_55_462977,60,40
Trees_56_629815,60,40
Trees_57_310065,60,40
Trees_58_408951,60,40
Trees_59_486741,60,40
Trees_60_903008,60,40
Trees_61_777979,60,42
Trees_62_540131,60,40
Trees_63_709738,60,42
Trees_64_968531,60,40
Trees_65_387778,60,42
Trees_66_378611,60,42
