Company_ID,Expert_E_a_25-year-old_practicing_muslim,Expert_E_a_60-year-old_practicing_christian
Carbon_1_15,60,40
Carbon_2_26,60,80
Carbon_3_20,60,60
Carbon_4_25,60,80
Carbon_5_73,80,85
Carbon_6_3,60,40
Carbon_7_41,80,85
Carbon_8_51,80,80
Carbon_9_41,80,85
Carbon_10_31,60,85
Carbon_11_2,60,40
Carbon_12_71,80,85
Carbon_13_55,80,80
Carbon_14_91,98,20
Carbon_15_64,80,85
Carbon_16_71,80,85
Carbon_17_49,80,85
Carbon_18_51,80,80
Carbon_19_24,60,80
Carbon_20_5,60,40
Carbon_21_5,60,40
Carbon_22_13,60,75
Carbon_23_58,80,80
Carbon_24_49,80,85
Carbon_25_75,80,80
Carbon_26_20,60,60
Carbon_27_5,60,40
Carbon_28_97,10,10
Carbon_29_57,80,85
Carbon_30_25,60,80
Carbon_31_25,60,80
Carbon_32_52,80,80
Carbon_33_45,80,80
Carbon_34_90,80,20
Carbon_35_96,10,10
Carbon_36_9,60,75
Carbon_37_91,98,20
Carbon_38_38,60,72
Carbon_39_39,80,80
Carbon_40_7,60,40
Carbon_41_99,10,10
Carbon_42_48,80,80
Carbon_43_83,90,20
Carbon_44_56,80,85
Carbon_45_98,10,10
Carbon_46_100,100,100
Carbon_47_72,80,80
Carbon_48_21,60,85
Carbon_49_2,60,40
Carbon_50_97,10,10
Carbon_51_94,10,20
Carbon_52_63,80,85
Carbon_53_44,80,80
Carbon_54_42,80,85
Carbon_55_85,90,20
Carbon_56_57,80,80
Carbon_57_17,60,85
Carbon_58_60,80,80
Carbon_59_23,60,85
Carbon_60_50,80,80
Carbon_61_76,80,80
Carbon_62_78,80,85
Carbon_63_66,80,80
Carbon_64_52,80,80
Carbon_65_84,80,20
Carbon_66_42,80,85
Carbon_67_53,80,80
Carbon_68_64,80,80
Carbon_69_7,60,40
Carbon_70_69,80,85
Carbon_71_23,60,85
Carbon_72_66,80,80
Carbon_73_95,10,20
Carbon_74_54,80,80
Carbon_75_42,80,80
Carbon_76_2,60,40
Carbon_77_7,60,40
Carbon_78_77,80,85
Carbon_79_34,60,80
Carbon_80_77,80,85
Carbon_81_95,10,20
Carbon_82_81,90,90
Carbon_83_66,80,80
Carbon_84_93,98,20
Carbon_85_92,80,20
Carbon_86_41,80,85
Carbon_87_11,60,75
Carbon_88_92,80,20
Carbon_89_67,80,85
Carbon_90_88,90,80
Carbon_91_30,60,80
Carbon_92_32,60,80
Carbon_93_48,80,80
Carbon_94_87,80,80
Carbon_95_47,80,85
Carbon_96_38,60,72
Carbon_97_38,60,72
Carbon_98_62,80,85
Carbon_99_5,60,40
Carbon_100_24,60,80
Trees_1_715429,60,42
Trees_2_253522,60,42
Trees_3_888599,60,40
Trees_4_143852,60,40
Trees_5_152364,60,40
Trees_6_173965,60,40
Trees_7_863988,60,40
Trees_8_598545,60,42
Trees_9_89386,60,40
Trees_10_790565,60,42
Trees_11_374468,60,42
Trees_12_741172,60,40
Trees_13_694725,60,42
Trees_14_619452,60,40
Trees_15_633859,60,40
Trees_16_945482,60,40
Trees_17_585585,60,40
Trees_18_705632,60,42
Trees_19_93290,60,40
Trees_20_630576,60,40
Trees_21_603930,60,40
Trees_22_22193,60,40
Trees_23_856241,60,40
Trees_24_64256,60,40
Trees_25_257354,60,42
Trees_26_956023,60,40
Trees_27_135489,60,40
Trees_28_15022,60,40
Trees_29_664780,60,40
Trees_30_640808,60,42
Trees_31_996057,60,42
Trees_32_558173,60,40
Trees_33_719314,60,42
Trees_34_5744,60,40
Trees_35_228694,60,40
Trees_36_499228,60,40
Trees_37_864804,60,40
Trees_38_477717,60,40
Trees_39_729485,60,40
Trees_40_865917,60,40
Trees_41_300632,60,42
Trees_42_542960,60,40
Trees_43_202474,60,40
Trees_44_447199,60,40
Trees_45_422268,60,50
Trees_46_460239,60,40
Trees_47_225242,60,40
Trees_48_618109,60,40
Trees_49_580323,60,40
Trees_50_306005,60,40
Trees_51_760457,60,40
Trees_52_429919,60,40
Trees_53_217086,60,40
Trees_54_750913,60,42
Trees_55_538677,60,40
Trees_56_355154,60,40
Trees_57_820400,60,40
Trees_58_575246,60,42
Trees_59_77606,60,42
Trees_60_329287,60,40
Trees_61_32205,60,40
Trees_62_93697,60,50
Trees_63_364616,60,40
Trees_64_595315,60,42
Trees_65_940313,60,40
Trees_66_162024,60,40
Trees_67_195660,60,42
Trees_68_692054,60,40
Trees_69_958559,60,42
Trees_70_125516,60,40
Trees_71_903981,60,42
Trees_72_550592,60,40
Trees_73_730868,60,40
Trees_74_356579,60,40
Trees_75_17764,60,42
Trees_76_42664,60,40
Trees_77_139562,60,40
Trees_78_585157,60,40
Trees_79_265507,60,40
Trees_80_452894,60,40
Trees_81_995291,60,42
Trees_82_38862,60,42
Trees_83_931012,60,40
Trees_84_8301,60,40
Trees_85_624311,60,40
Trees_86_575519,60,40
Trees_87_189686,60,40
Trees_88_999558,60,40
Trees_89_439559,60,40
Trees_90_909672,60,42
Trees_91_127608,60,40
Trees_92_860204,60,40
Trees_93_333737,60,40
Trees_94_717903,60,42
Trees_95_9659,60,42
Trees_96_904604,60,42
Trees_97_817007,60,40
Trees_98_151507,60,42
Trees_99_32327,60,40
Trees_100_704125,60,40
Renewable_1_62,72,72
Renewable_2_97,85,85
Renewable_3_13,42,42
Renewable_4_85,72,72
Renewable_5_71,64,64
Renewable_6_15,40,40
Renewable_7_86,72,72
Renewable_8_80,72,72
Renewable_9_57,72,72
Renewable_10_20,40,40
Renewable_11_3,40,40
Renewable_12_48,42,42
Renewable_13_22,68,68
Renewable_14_92,85,85
Renewable_15_10,40,40
Renewable_16_61,72,72
Renewable_17_72,64,64
Renewable_18_11,60,42
Renewable_19_64,72,72
Renewable_20_61,72,72
Renewable_21_37,42,42
Renewable_22_81,72,72
Renewable_23_31,42,42
Renewable_24_66,72,72
Renewable_25_86,72,72
Renewable_26_92,85,85
Renewable_27_52,64,64
Renewable_28_81,72,72
Renewable_29_78,72,72
Renewable_30_50,60,42
Renewable_31_28,42,42
Renewable_32_90,85,85
Renewable_33_74,82,82
Renewable_34_29,42,42
Renewable_35_33,67,67
Renewable_36_92,85,85
Renewable_37_2,40,40
Renewable_38_66,72,72
Renewable_39_41,67,42
Renewable_40_30,60,40
Renewable_41_3,40,40
Renewable_42_20,40,40
Renewable_43_79,72,72
Renewable_44_46,72,72
Renewable_45_32,42,42
Renewable_46_80,72,72
Renewable_47_84,72,72
Renewable_48_28,42,42
Renewable_49_30,40,40
Renewable_50_98,92,92
Renewable_51_83,72,72
Renewable_52_33,67,42
Renewable_53_15,40,40
Renewable_54_45,72,42
Renewable_55_5,40,40
Renewable_56_5,40,30
Renewable_57_78,72,72
Renewable_58_70,60,85
Renewable_59_3,40,40
Renewable_60_49,72,72
Renewable_61_50,60,42
Renewable_62_59,72,72
Renewable_63_7,40,42
Renewable_64_38,72,42
Renewable_65_3,40,40
Renewable_66_15,40,40
Renewable_67_61,72,72
Renewable_68_62,72,72
Renewable_69_63,72,72
Renewable_70_79,72,72
Renewable_71_19,43,42
Renewable_72_30,40,40
Renewable_73_5,40,40
Renewable_74_88,82,82
Renewable_75_53,67,72
Renewable_76_94,82,82
Renewable_77_51,67,67
Renewable_78_28,42,42
Renewable_79_26,42,42
Renewable_80_58,72,72
Renewable_81_69,72,72
Renewable_82_92,85,85
Renewable_83_71,64,64
Renewable_84_72,64,64
Renewable_85_52,64,62
Renewable_86_94,82,82
Renewable_87_8,60,42
Renewable_88_96,92,92
Renewable_89_86,72,72
Renewable_90_85,72,72
Renewable_91_30,60,40
Renewable_92_88,82,82
Renewable_93_5,40,40
Renewable_94_97,85,85
Renewable_95_11,60,42
Renewable_96_29,42,42
Renewable_97_23,42,42
Renewable_98_14,42,42
Renewable_99_29,42,42
Renewable_100_75,82,82
