Company_ID,Expert_E_a_25-year-old_man,Expert_E_a_60-year-old_woman
Carbon_1_39,80,80
Carbon_2_23,60,75
Carbon_3_10,60,40
Carbon_4_38,60,72
Carbon_5_49,80,85
Carbon_6_95,10,20
Carbon_7_82,90,80
Carbon_8_31,60,85
Carbon_9_65,80,80
Carbon_10_93,10,20
Carbon_11_22,60,80
Carbon_12_92,10,20
Carbon_13_25,60,80
Carbon_14_43,80,85
Carbon_15_78,80,80
Carbon_16_26,60,72
Carbon_17_84,80,80
Carbon_18_62,80,85
Carbon_19_79,80,85
Carbon_20_26,60,80
Carbon_21_82,90,80
Carbon_22_5,60,40
Carbon_23_17,60,85
Carbon_24_36,80,80
Carbon_25_69,80,85
Carbon_26_3,60,40
Carbon_27_74,80,80
Carbon_28_16,60,75
Carbon_29_11,60,75
Carbon_30_23,60,85
Carbon_31_7,60,40
Carbon_32_13,60,75
Carbon_33_89,80,80
Carbon_34_52,80,80
Carbon_35_15,60,40
Carbon_36_45,80,80
Carbon_37_89,80,80
Carbon_38_2,60,40
Carbon_39_37,60,85
Carbon_40_87,80,80
Carbon_41_47,85,85
Carbon_42_76,80,80
Carbon_43_58,80,80
Carbon_44_14,60,72
Carbon_45_82,90,80
Carbon_46_53,80,80
Carbon_47_96,10,20
Carbon_48_38,60,72
Carbon_49_82,90,80
Carbon_50_94,10,20
Carbon_51_23,60,85
Carbon_52_68,80,85
Carbon_53_41,60,85
Carbon_54_87,80,80
Carbon_55_22,60,85
Carbon_56_38,60,72
Carbon_57_17,60,85
Carbon_58_49,85,85
Carbon_59_24,60,80
Carbon_60_14,60,72
Carbon_61_32,60,80
Carbon_62_7,60,40
Carbon_63_76,80,80
Carbon_64_38,60,72
Carbon_65_12,60,40
Carbon_66_71,80,85
Carbon_67_78,85,85
Carbon_68_60,80,80
Carbon_69_27,60,85
Carbon_70_68,80,85
Carbon_71_98,10,10
Carbon_72_91,98,20
Carbon_73_18,60,72
Carbon_74_63,80,85
Carbon_75_43,85,85
Carbon_76_77,85,85
Carbon_77_95,10,20
Carbon_78_30,60,80
Carbon_79_19,60,75
Carbon_80_21,60,85
Carbon_81_2,60,40
Carbon_82_62,80,85
Carbon_83_34,60,80
Carbon_84_11,60,75
Carbon_85_42,80,80
Carbon_86_64,80,80
Carbon_87_94,10,20
Carbon_88_53,80,80
Carbon_89_71,85,85
Carbon_90_28,60,75
Carbon_91_43,85,85
Carbon_92_44,80,85
Carbon_93_56,80,80
Carbon_94_14,60,72
Carbon_95_50,80,80
