Company_ID,Expert_E_a_practicing_muslim_man,Expert_E_a_practicing_christian_woman
Carbon_1_76,80,80
Carbon_2_20,60,60
Carbon_3_1,60,60
Carbon_4_56,80,80
Carbon_5_45,80,80
Carbon_6_67,85,85
Carbon_7_71,85,85
Carbon_8_49,85,85
Carbon_9_20,60,60
Carbon_10_10,60,60
Carbon_11_33,60,60
Carbon_12_59,85,85
Carbon_13_5,60,60
Carbon_14_65,80,80
Carbon_15_50,80,80
Carbon_16_84,80,80
Carbon_17_1,60,60
Carbon_18_20,60,60
Carbon_19_43,85,85
Carbon_20_32,60,60
Carbon_21_5,60,60
Carbon_22_86,80,80
Carbon_23_68,85,80
Carbon_24_90,80,80
Carbon_25_6,60,60
Carbon_26_10,60,60
Carbon_27_79,85,85
Carbon_28_8,60,60
Carbon_29_94,80,80
Carbon_30_49,85,85
Carbon_31_50,80,80
Carbon_32_59,80,85
Carbon_33_48,80,80
Carbon_34_22,60,60
Carbon_35_99,10,10
Carbon_36_58,80,80
Carbon_37_99,10,10
Carbon_38_43,85,85
Carbon_39_64,80,80
Carbon_40_19,60,60
Carbon_41_51,80,80
Carbon_42_87,80,80
Carbon_43_49,85,85
Carbon_44_18,60,60
Carbon_45_89,80,80
Carbon_46_79,85,85
Carbon_47_33,60,60
Carbon_48_93,80,80
Carbon_49_75,80,80
Carbon_50_7,60,60
Carbon_51_72,80,80
Carbon_52_59,85,85
Carbon_53_77,85,85
Carbon_54_96,20,20
Carbon_55_9,60,60
Carbon_56_87,80,80
Carbon_57_64,80,80
Carbon_58_87,80,90
Carbon_59_61,85,85
Carbon_60_81,90,90
Carbon_61_48,80,80
Carbon_62_99,10,10
Carbon_63_22,60,60
Carbon_64_56,80,80
Carbon_65_92,80,80
Carbon_66_17,60,60
Carbon_67_100,100,100
Carbon_68_37,85,85
Carbon_69_50,80,80
Carbon_70_89,80,80
Carbon_71_10,60,60
Carbon_72_88,80,80
Carbon_73_84,80,80
Carbon_74_19,60,60
Carbon_75_81,90,90
Carbon_76_11,60,60
Carbon_77_63,85,85
Carbon_78_21,60,60
Carbon_79_15,60,60
Carbon_80_9,60,60
Carbon_81_18,60,60
Carbon_82_18,60,60
Carbon_83_57,80,80
Carbon_84_20,60,60
Carbon_85_46,80,80
Carbon_86_14,60,60
Carbon_87_100,100,100
Carbon_88_53,80,80
Carbon_89_30,60,60
Carbon_90_28,60,60
Carbon_91_41,85,85
Carbon_92_30,60,60
Carbon_93_85,90,90
Carbon_94_89,80,80
Carbon_95_28,60,60
Carbon_96_4,60,60
Carbon_97_6,60,60
Carbon_98_39,80,80
Carbon_99_7,60,60
Carbon_100_8,60,60
Trees_1_812610,60,60
Trees_2_638984,60,60
Trees_3_504546,60,60
Trees_4_385289,60,60
Trees_5_369941,60,60
Trees_6_10655,60,60
Trees_7_862538,60,60
Trees_8_972009,60,60
Trees_9_523919,60,60
Trees_10_301095,60,60
Trees_11_1793,60,60
Trees_12_109597,60,60
Trees_13_519795,60,60
Trees_14_807011,60,60
Trees_15_449682,60,60
Trees_16_348240,60,60
Trees_17_253458,60,60
Trees_18_22126,60,60
Trees_19_941043,60,60
Trees_20_483620,60,60
Trees_21_470767,60,60
Trees_22_451272,60,60
Trees_23_882191,60,60
Trees_24_138176,60,60
Trees_25_935069,60,60
Trees_26_98265,60,60
Trees_27_244295,60,60
Trees_28_923198,60,60
Trees_29_333597,60,60
Trees_30_721928,60,60
Trees_31_397664,60,60
Trees_32_197047,60,60
Trees_33_710404,60,60
Trees_34_367182,60,60
Trees_35_820841,60,60
Trees_36_505711,60,60
Trees_37_766091,60,60
Trees_38_398987,60,60
Trees_39_882003,60,60
Trees_40_398121,60,60
Trees_41_92375,60,60
Trees_42_893598,60,60
Trees_43_113405,60,60
Trees_44_468684,60,60
Trees_45_420160,60,60
Trees_46_311630,60,60
Trees_47_880553,60,60
Trees_48_577188,60,60
Trees_49_333449,60,60
Trees_50_471130,60,60
Trees_51_643691,60,60
Trees_52_324112,60,60
Trees_53_103119,60,60
Trees_54_421196,60,60
Trees_55_397917,60,60
Trees_56_898622,60,60
Trees_57_911727,60,60
Trees_58_898743,60,60
Trees_59_292455,60,60
Trees_60_67076,60,60
Trees_61_699017,60,60
Trees_62_322190,60,60
Trees_63_34559,60,60
