Company_ID,Expert_E_a_25-year-old_practicing_muslim_man,Expert_E_a_60-year-old_practicing_christian_woman
Carbon_1_75,80,80
Carbon_2_66,80,80
Carbon_3_50,80,80
Carbon_4_87,80,80
Carbon_5_11,60,75
Carbon_6_82,90,80
Carbon_7_51,80,80
Carbon_8_88,80,80
Carbon_9_81,90,80
Carbon_10_13,60,85
Carbon_11_72,80,80
Carbon_12_65,80,80
Carbon_13_12,60,80
Carbon_14_48,80,80
Carbon_15_76,80,80
Carbon_16_100,100,100
Carbon_17_85,90,20
Carbon_18_45,80,80
Carbon_19_27,60,80
Carbon_20_3,60,40
Carbon_21_50,80,80
Carbon_22_52,80,80
Carbon_23_94,20,20
Carbon_24_37,60,85
Carbon_25_50,80,80
Carbon_26_35,60,80
Carbon_27_66,80,80
Carbon_28_74,80,80
Carbon_29_79,80,80
Carbon_30_85,90,20
Carbon_31_66,80,80
Carbon_32_47,80,85
Carbon_33_11,60,75
Carbon_34_92,80,20
Carbon_35_91,98,20
Carbon_36_57,80,80
Carbon_37_27,60,80
Carbon_38_65,80,80
Carbon_39_59,80,80
Carbon_40_96,10,20
Carbon_41_78,80,80
Carbon_42_43,80,85
Carbon_43_54,80,80
Carbon_44_6,60,40
Carbon_45_53,80,80
Carbon_46_54,80,80
Carbon_47_4,60,40
Carbon_48_7,60,40
Carbon_49_10,60,60
Carbon_50_13,60,75
Carbon_51_65,80,80
Carbon_52_24,60,80
Carbon_53_43,80,80
Carbon_54_21,60,85
Carbon_55_69,80,85
Carbon_56_64,80,80
Carbon_57_74,80,80
Carbon_58_36,80,80
Carbon_59_73,80,80
Carbon_60_57,80,80
Carbon_61_83,90,20
Carbon_62_67,80,80
Carbon_63_89,80,80
Carbon_64_71,80,80
Carbon_65_78,80,80
Carbon_66_39,80,80
Carbon_67_10,60,40
Carbon_68_26,60,80
Carbon_69_87,80,80
Carbon_70_81,90,80
Carbon_71_69,80,85
Carbon_72_34,60,80
Carbon_73_14,60,60
Carbon_74_79,80,80
Carbon_75_30,60,80
Carbon_76_19,60,85
Carbon_77_9,60,60
Carbon_78_71,80,85
Carbon_79_29,60,85
Carbon_80_59,80,85
Carbon_81_91,80,20
Carbon_82_45,80,80
Carbon_83_10,60,40
Carbon_84_20,60,60
Carbon_85_3,60,40
Carbon_86_87,80,80
Carbon_87_43,80,85
Carbon_88_18,60,75
Carbon_89_77,80,85
Carbon_90_71,80,85
Carbon_91_60,80,80
Carbon_92_15,60,40
Carbon_93_76,80,80
Carbon_94_69,80,85
Carbon_95_66,80,80
Carbon_96_53,80,80
Carbon_97_83,90,20
Carbon_98_31,60,80
Carbon_99_86,80,80
Carbon_100_98,10,10
Trees_1_834777,60,40
Trees_2_254469,60,40
Trees_3_751871,60,40
Trees_4_293981,60,40
Trees_5_148854,60,40
Trees_6_355695,60,40
Trees_7_451487,60,40
Trees_8_776435,60,40
Trees_9_539014,60,40
Trees_10_229020,60,40
Trees_11_924528,60,40
Trees_12_534724,60,40
Trees_13_669672,60,40
Trees_14_588775,60,40
Trees_15_883181,60,40
Trees_16_743538,60,40
Trees_17_799592,60,40
Trees_18_12908,60,40
Trees_19_827456,60,40
Trees_20_129637,60,40
Trees_21_894957,60,40
Trees_22_888970,60,40
Trees_23_663254,60,40
Trees_24_18091,60,40
Trees_25_340892,60,50
Trees_26_948095,60,40
Trees_27_115023,60,40
Trees_28_847989,60,40
Trees_29_915590,60,40
Trees_30_702590,60,40
Trees_31_281648,60,40
Trees_32_310463,60,40
Trees_33_220784,60,40
Trees_34_726225,60,40
Trees_35_117366,60,40
Trees_36_4301,60,40
Trees_37_666777,42,42
Trees_38_39032,60,40
Trees_39_20382,60,40
Trees_40_630220,60,40
Trees_41_254983,60,40
Trees_42_162646,60,40
Trees_43_8355,60,40
Trees_44_808955,60,40
Trees_45_368838,60,40
Trees_46_94564,60,40
Trees_47_827410,60,40
Trees_48_281493,60,40
Trees_49_809137,60,40
Trees_50_62935,60,40
Trees_51_178865,60,40
Trees_52_866526,60,40
Trees_53_733838,60,40
Trees_54_717778,60,40
Trees_55_90993,60,40
Trees_56_929567,60,40
Trees_57_545165,60,40
Trees_58_203222,60,40
Trees_59_382947,60,50
Trees_60_263699,60,40
Trees_61_380728,60,40
Trees_62_292420,60,40
Trees_63_747968,60,40
Trees_64_554529,60,40
Trees_65_191148,60,40
Trees_66_34088,60,40
Trees_67_244116,60,40
Trees_68_681555,60,40
Trees_69_688964,60,40
Trees_70_926039,60,40
Trees_71_384974,60,50
Trees_72_235139,60,40
Trees_73_622622,60,40
Trees_74_593993,60,40
Trees_75_311057,60,40
Trees_76_184126,60,40
Trees_77_499026,60,40
Trees_78_689127,60,40
Trees_79_528091,60,40
Trees_80_423128,60,40
Trees_81_46346,60,40
Trees_82_604202,60,40
Trees_83_121514,60,40
Trees_84_966334,60,40
Trees_85_342672,60,40
Trees_86_205822,60,40
Trees_87_854814,60,40
Trees_88_340785,60,40
Trees_89_330123,60,40
Trees_90_522121,60,40
Trees_91_502845,60,40
Trees_92_606232,60,40
Trees_93_791315,60,40
Trees_94_94898,60,40
Trees_95_678972,60,40
Trees_96_758033,60,40
Trees_97_558726,60,40
Trees_98_71255,60,40
Trees_99_819461,60,40
Trees_100_168371,60,40
Renewable_1_36,42,42
Renewable_2_78,72,72
Renewable_3_84,72,72
Renewable_4_71,64,64
Renewable_5_24,42,42
Renewable_6_53,67,72
Renewable_7_79,72,72
Renewable_8_68,72,72
Renewable_9_29,42,42
Renewable_10_87,82,82
Renewable_11_42,68,68
Renewable_12_93,85,85
Renewable_13_35,42,42
Renewable_14_36,42,42
Renewable_15_18,42,42
Renewable_16_93,85,85
Renewable_17_96,82,92
Renewable_18_64,72,72
Renewable_19_42,68,68
Renewable_20_39,72,72
Renewable_21_13,42,42
