Company_ID,Expert_E_a_man,Expert_E_a_woman
Independence_1_39,60,60
Independence_2_83,85,85
Independence_3_39,60,60
Independence_4_89,85,85
Independence_5_79,85,85
Independence_6_22,60,60
Independence_7_54,60,60
Independence_8_31,60,60
Independence_9_13,60,60
Independence_10_14,60,60
Independence_11_25,60,60
Independence_12_52,60,60
Independence_13_21,60,60
Independence_14_12,60,60
Independence_15_29,60,60
Independence_16_50,60,60
Independence_17_18,60,60
Independence_18_31,60,60
Independence_19_36,60,60
Independence_20_44,60,60
Independence_21_89,85,85
Independence_22_35,60,60
Independence_23_76,85,85
Independence_24_19,60,60
Independence_25_81,85,85
Independence_26_63,85,85
Independence_27_61,85,85
Independence_28_10,60,60
Independence_29_54,60,60
Independence_30_70,85,85
Independence_31_77,85,85
Independence_32_45,60,60
Independence_33_67,85,85
Independence_34_26,60,60
Independence_35_10,60,60
Independence_36_63,85,85
Independence_37_63,85,85
Independence_38_24,60,60
Independence_39_56,60,60
Independence_40_62,85,85
Independence_41_14,60,60
Independence_42_35,60,60
Independence_43_49,60,60
Independence_44_27,60,60
Independence_45_39,60,60
Independence_46_27,60,60
Independence_47_59,60,85
Independence_48_30,60,60
Independence_49_10,60,60
Independence_50_44,60,60
Independence_51_66,85,85
Independence_52_39,60,60
Independence_53_14,60,60
Independence_54_74,85,85
Independence_55_81,85,85
Independence_56_18,60,60
Independence_57_60,85,85
Independence_58_20,60,60
Independence_59_17,60,60
Independence_60_76,85,85
Independence_61_69,85,85
Independence_62_88,85,85
Independence_63_29,60,60
Independence_64_56,60,60
Independence_65_22,60,60
Independence_66_40,60,60
Independence_67_84,85,60
Independence_68_32,60,60
Independence_69_67,85,85
Independence_70_14,60,60
Independence_71_35,60,60
Independence_72_50,60,60
Independence_73_48,60,60
Independence_74_74,85,85
Independence_75_22,60,60
Independence_76_68,85,85
Independence_77_55,60,60
Independence_78_61,85,85
Independence_79_61,85,85
Independence_80_14,60,60
Independence_81_68,85,85
Independence_82_12,60,60
Independence_83_46,60,60
Independence_84_11,60,60
Independence_85_82,85,85
Independence_86_29,60,60
Independence_87_86,85,85
Independence_88_19,60,60
Independence_89_23,60,60
Independence_90_61,85,85
Independence_91_31,60,60
Independence_92_72,85,85
Independence_93_29,60,60
Independence_94_31,60,60
Independence_95_11,60,60
Independence_96_29,60,60
Independence_97_15,60,60
Independence_98_75,85,85
Independence_99_31,60,60
Independence_100_42,60,60
PayRatio_1_369,85,80
PayRatio_2_104,60,60
PayRatio_3_61,40,40
PayRatio_4_346,60,60
PayRatio_5_366,80,80
PayRatio_6_214,60,60
PayRatio_7_84,60,60
PayRatio_8_203,60,60
PayRatio_9_404,60,60
PayRatio_10_110,60,60
PayRatio_11_240,60,60
PayRatio_12_87,60,60
PayRatio_13_63,40,40
PayRatio_14_61,40,40
PayRatio_15_162,60,60
PayRatio_16_133,60,60
PayRatio_17_233,60,60
PayRatio_18_224,60,60
PayRatio_19_353,60,60
PayRatio_20_210,60,60
PayRatio_21_30,60,60
PayRatio_22_89,60,60
PayRatio_23_495,60,60
PayRatio_24_271,60,60
PayRatio_25_152,60,60
PayRatio_26_126,60,60
PayRatio_27_104,60,60
PayRatio_28_159,60,60
PayRatio_29_159,60,60
PayRatio_30_479,60,60
PayRatio_31_155,60,60
PayRatio_32_305,60,60
PayRatio_33_291,85,60
PayRatio_34_264,60,60
PayRatio_35_307,60,60
PayRatio_36_417,60,60
PayRatio_37_98,60,60
PayRatio_38_309,60,60
PayRatio_39_195,60,60
PayRatio_40_90,60,60
PayRatio_41_433,60,60
PayRatio_42_140,60,60
PayRatio_43_123,60,60
PayRatio_44_340,60,60
PayRatio_45_237,60,60
PayRatio_46_137,60,60
PayRatio_47_169,60,60
PayRatio_48_38,60,60
PayRatio_49_349,60,60
PayRatio_50_473,60,60
PayRatio_51_211,60,60
PayRatio_52_260,60,60
PayRatio_53_268,60,60
PayRatio_54_208,60,60
PayRatio_55_283,60,60
PayRatio_56_273,60,60
PayRatio_57_142,60,60
PayRatio_58_259,60,60
PayRatio_59_40,60,60
PayRatio_60_118,60,60
PayRatio_61_234,60,60
PayRatio_62_455,60,60
PayRatio_63_241,60,60
PayRatio_64_145,60,60
PayRatio_65_481,60,60
PayRatio_66_230,60,60
PayRatio_67_167,60,60
PayRatio_68_444,60,60
PayRatio_69_388,60,60
PayRatio_70_233,60,60
PayRatio_71_51,60,60
PayRatio_72_71,60,60
PayRatio_73_180,60,60
PayRatio_74_48,60,60
PayRatio_75_353,60,60
PayRatio_76_286,60,60
PayRatio_77_468,60,60
PayRatio_78_71,60,60
PayRatio_79_295,60,60
PayRatio_80_245,60,60
PayRatio_81_274,60,60
PayRatio_82_346,60,60
PayRatio_83_161,60,60
PayRatio_84_150,60,60
PayRatio_85_202,60,60
PayRatio_86_329,60,60
PayRatio_87_300,60,60
PayRatio_88_459,85,80
PayRatio_89_168,60,60
PayRatio_90_195,60,60
PayRatio_91_331,60,60
PayRatio_92_120,60,60
PayRatio_93_450,60,60
PayRatio_94_295,60,60
PayRatio_95_146,60,60
PayRatio_96_463,80,80
PayRatio_97_24,60,60
PayRatio_98_172,60,60
PayRatio_99_160,60,60
PayRatio_100_415,60,60
Diversity_1_41,60,60
Diversity_2_48,72,60
Diversity_3_22,60,60
Diversity_4_11,60,60
Diversity_5_15,40,60
Diversity_6_19,42,60
Diversity_7_0,20,20
Diversity_8_26,42,42
Diversity_9_58,72,72
Diversity_10_49,72,60
Diversity_11_56,72,72
Diversity_12_11,60,60
Diversity_13_52,85,85
Diversity_14_59,72,85
Diversity_15_54,85,60
Diversity_16_42,60,60
Diversity_17_17,60,60
Diversity_18_10,60,60
Diversity_19_8,20,20
Diversity_20_5,20,20
Diversity_21_42,60,60
Diversity_22_25,60,60
Diversity_23_4,20,20
Diversity_24_59,72,85
Diversity_25_53,85,85
Diversity_26_12,60,60
Diversity_27_11,60,60
Diversity_28_60,85,85
Diversity_29_21,60,60
Diversity_30_18,42,60
Diversity_31_50,60,60
Diversity_32_34,60,60
Diversity_33_18,42,42
Diversity_34_34,60,60
Diversity_35_6,20,20
Diversity_36_28,42,60
Diversity_37_22,60,60
Diversity_38_6,20,20
Diversity_39_33,60,60
Diversity_40_9,20,60
Diversity_41_24,60,60
Diversity_42_45,60,60
Diversity_43_55,85,85
Diversity_44_31,42,42
Diversity_45_21,60,60
Diversity_46_24,60,60
Diversity_47_22,60,60
Diversity_48_50,60,60
Diversity_49_0,20,20
Diversity_50_10,60,60
Diversity_51_50,60,60
