Company_ID,Expert_E_a_practicing_muslim,Expert_E_a_practicing_christian
Independence_1_49,60,60
Independence_2_17,60,60
Independence_3_85,80,80
Independence_4_22,60,60
Independence_5_26,60,60
Independence_6_51,60,60
Independence_7_52,60,60
Independence_8_30,60,60
Independence_9_90,85,85
Independence_10_62,85,85
Independence_11_87,85,85
Independence_12_44,60,60
Independence_13_67,85,85
Independence_14_37,60,60
Independence_15_46,60,60
Independence_16_59,85,85
Independence_17_27,60,60
Independence_18_55,60,60
Independence_19_78,85,85
Independence_20_21,60,60
Independence_21_56,60,60
Independence_22_83,85,85
Independence_23_16,60,60
Independence_24_19,60,60
Independence_25_37,60,60
Independence_26_64,85,85
Independence_27_78,85,85
Independence_28_40,60,60
Independence_29_68,85,85
Independence_30_12,60,60
Independence_31_78,85,85
Independence_32_55,60,60
Independence_33_51,60,60
Independence_34_12,60,60
Independence_35_56,60,60
Independence_36_49,60,60
Independence_37_49,60,60
Independence_38_53,60,60
Independence_39_16,60,60
Independence_40_38,60,60
Independence_41_31,60,60
Independence_42_31,60,60
Independence_43_73,85,85
Independence_44_40,60,60
Independence_45_29,60,60
Independence_46_44,60,60
Independence_47_45,60,60
Independence_48_25,60,60
Independence_49_90,85,85
Independence_50_22,60,60
Independence_51_24,60,60
Independence_52_16,60,60
Independence_53_53,60,60
Independence_54_67,85,85
Independence_55_43,60,60
Independence_56_76,85,85
Independence_57_49,60,60
Independence_58_17,60,60
Independence_59_71,85,85
Independence_60_58,60,60
Independence_61_43,60,60
Independence_62_84,85,80
Independence_63_33,60,60
Independence_64_77,85,85
Independence_65_35,60,60
Independence_66_70,85,85
Independence_67_18,60,60
Independence_68_79,85,85
Independence_69_49,60,60
Independence_70_90,85,85
Independence_71_80,85,85
Independence_72_88,85,85
Independence_73_41,60,60
Independence_74_31,60,60
Independence_75_79,85,85
Independence_76_44,60,60
Independence_77_16,60,60
Independence_78_39,60,60
Independence_79_90,85,85
Independence_80_55,60,60
Independence_81_18,60,60
Independence_82_29,60,60
Independence_83_51,60,60
Independence_84_17,60,60
Independence_85_83,85,85
Independence_86_49,60,60
Independence_87_73,85,85
Independence_88_42,60,60
Independence_89_78,85,85
Independence_90_51,60,60
Independence_91_24,60,60
Independence_92_88,85,85
Independence_93_78,85,85
Independence_94_30,60,60
Independence_95_54,60,60
Independence_96_56,60,60
Independence_97_57,60,60
Independence_98_53,60,60
Independence_99_67,85,85
Independence_100_26,60,60
PayRatio_1_218,60,60
PayRatio_2_106,60,60
PayRatio_3_148,60,60
PayRatio_4_24,60,60
PayRatio_5_442,60,60
PayRatio_6_118,60,60
PayRatio_7_144,60,60
PayRatio_8_494,60,60
PayRatio_9_324,60,60
PayRatio_10_145,60,60
PayRatio_11_343,60,60
PayRatio_12_75,60,60
PayRatio_13_299,60,60
PayRatio_14_112,60,60
PayRatio_15_277,60,60
PayRatio_16_293,60,60
PayRatio_17_384,60,60
PayRatio_18_445,60,60
PayRatio_19_465,60,80
PayRatio_20_260,60,60
PayRatio_21_134,60,60
PayRatio_22_172,60,60
PayRatio_23_336,60,60
PayRatio_24_247,60,60
PayRatio_25_416,60,60
PayRatio_26_324,60,60
PayRatio_27_122,60,60
PayRatio_28_179,60,60
PayRatio_29_300,60,60
PayRatio_30_148,60,60
PayRatio_31_434,60,60
PayRatio_32_458,60,60
PayRatio_33_472,60,60
PayRatio_34_368,60,60
PayRatio_35_108,60,60
PayRatio_36_275,60,60
PayRatio_37_498,60,60
PayRatio_38_153,60,60
PayRatio_39_351,60,60
PayRatio_40_333,60,60
PayRatio_41_407,60,60
PayRatio_42_233,60,60
PayRatio_43_379,60,60
PayRatio_44_26,60,60
PayRatio_45_215,60,60
PayRatio_46_54,60,60
PayRatio_47_174,60,60
PayRatio_48_409,60,60
PayRatio_49_326,60,60
PayRatio_50_348,60,60
PayRatio_51_235,60,60
PayRatio_52_113,60,60
PayRatio_53_441,60,60
PayRatio_54_463,60,60
PayRatio_55_394,60,60
PayRatio_56_50,60,60
PayRatio_57_70,60,60
PayRatio_58_452,60,60
PayRatio_59_313,60,60
PayRatio_60_360,60,60
PayRatio_61_273,60,60
PayRatio_62_74,60,60
PayRatio_63_244,60,60
PayRatio_64_115,60,60
PayRatio_65_440,60,60
PayRatio_66_198,60,60
PayRatio_67_46,60,60
PayRatio_68_70,60,60
PayRatio_69_334,60,60
PayRatio_70_167,60,60
PayRatio_71_339,60,60
PayRatio_72_89,60,60
PayRatio_73_165,60,60
PayRatio_74_126,60,60
PayRatio_75_462,60,60
PayRatio_76_242,60,60
PayRatio_77_312,60,60
PayRatio_78_377,60,60
PayRatio_79_297,60,60
PayRatio_80_232,60,60
PayRatio_81_454,60,60
PayRatio_82_42,60,60
PayRatio_83_27,60,60
PayRatio_84_62,40,60
PayRatio_85_233,60,60
PayRatio_86_130,60,60
PayRatio_87_379,60,60
PayRatio_88_282,60,60
PayRatio_89_53,60,60
PayRatio_90_357,60,60
PayRatio_91_423,60,60
PayRatio_92_300,60,60
PayRatio_93_499,60,60
PayRatio_94_233,60,60
PayRatio_95_315,60,60
PayRatio_96_309,60,60
PayRatio_97_162,60,60
PayRatio_98_460,60,60
PayRatio_99_152,60,60
PayRatio_100_31,60,60
Diversity_1_53,85,85
Diversity_2_37,60,60
Diversity_3_32,60,60
Diversity_4_46,72,72
Diversity_5_25,60,60
Diversity_6_11,60,60
Diversity_7_59,85,72
Diversity_8_24,60,60
Diversity_9_29,60,60
Diversity_10_35,60,60
Diversity_11_30,60,60
Diversity_12_56,85,72
Diversity_13_30,60,60
Diversity_14_45,60,60
Diversity_15_56,85,72
Diversity_16_13,60,60
Diversity_17_44,60,60
Diversity_18_5,20,20
Diversity_19_4,20,20
Diversity_20_47,60,60
Diversity_21_50,80,60
Diversity_22_54,85,60
Diversity_23_12,60,60
Diversity_24_12,60,60
Diversity_25_46,72,72
Diversity_26_49,60,60
Diversity_27_20,60,60
Diversity_28_14,60,60
Diversity_29_54,85,60
Diversity_30_22,60,60
Diversity_31_31,60,42
Diversity_32_48,60,60
Diversity_33_38,72,72
Diversity_34_50,80,60
Diversity_35_21,60,60
Diversity_36_14,60,60
Diversity_37_19,60,60
Diversity_38_4,20,20
Diversity_39_40,60,60
Diversity_40_48,60,60
Diversity_41_9,60,60
Diversity_42_0,60,60
Diversity_43_55,85,85
Diversity_44_42,60,60
Diversity_45_38,60,72
Diversity_46_4,20,20
Diversity_47_22,60,60
Diversity_48_48,72,60
Diversity_49_41,60,60
Diversity_50_26,60,42
Diversity_51_40,60,60
Diversity_52_10,60,60
Diversity_53_50,60,60
Diversity_54_7,20,20
Diversity_55_36,60,60
Diversity_56_1,20,20
Diversity_57_33,60,60
Diversity_58_9,60,60
Diversity_59_37,60,60
Diversity_60_21,60,60
Diversity_61_14,60,60
Diversity_62_60,85,85
Diversity_63_8,60,60
Diversity_64_1,20,20
Diversity_65_30,60,60
Diversity_66_59,85,85
Diversity_67_15,60,60
Diversity_68_56,85,72
Diversity_69_56,85,72
Diversity_70_52,85,85
Diversity_71_45,60,60
Diversity_72_16,60,60
Diversity_73_56,85,85
Diversity_74_30,60,60
Diversity_75_18,60,60
Diversity_76_8,60,60
