Company_ID,Expert_E_a_25-year-old,Expert_E_a_60-year-old
Independence_1_57,60,85
Independence_2_61,85,85
Independence_3_29,60,40
Independence_4_65,60,85
Independence_5_42,60,85
Independence_6_14,60,40
Independence_7_11,60,40
Independence_8_10,60,40
Independence_9_27,60,40
Independence_10_73,85,85
Independence_11_29,60,40
Independence_12_52,60,85
Independence_13_65,85,85
Independence_14_69,85,85
Independence_15_33,60,40
Independence_16_57,60,85
Independence_17_90,80,85
Independence_18_17,60,40
Independence_19_68,85,85
Independence_20_42,60,85
Independence_21_90,85,85
Independence_22_25,60,40
Independence_23_40,60,50
Independence_24_61,85,85
Independence_25_20,60,40
Independence_26_11,60,40
Independence_27_22,60,40
Independence_28_65,85,85
Independence_29_45,60,40
Independence_30_90,85,85
Independence_31_77,85,85
Independence_32_64,60,85
Independence_33_38,60,40
Independence_34_49,60,85
Independence_35_75,80,85
Independence_36_60,85,85
Independence_37_44,60,85
Independence_38_52,60,85
Independence_39_13,60,40
Independence_40_55,60,85
Independence_41_40,60,50
Independence_42_24,60,40
Independence_43_49,60,85
Independence_44_86,80,85
Independence_45_48,60,85
Independence_46_50,60,85
Independence_47_36,60,40
Independence_48_90,85,85
Independence_49_29,60,40
Independence_50_18,60,40
Independence_51_70,85,85
Independence_52_25,60,40
Independence_53_46,60,85
Independence_54_83,85,85
Independence_55_41,60,85
Independence_56_49,60,85
Independence_57_54,60,85
Independence_58_86,80,85
Independence_59_86,80,85
Independence_60_36,60,40
Independence_61_25,60,40
Independence_62_12,60,40
Independence_63_69,85,85
Independence_64_48,60,85
Independence_65_45,60,40
Independence_66_38,60,40
Independence_67_18,60,40
Independence_68_73,85,85
Independence_69_28,60,40
Independence_70_55,60,85
Independence_71_25,60,40
Independence_72_77,85,85
Independence_73_26,60,40
Independence_74_74,85,85
Independence_75_86,80,85
Independence_76_18,60,40
Independence_77_88,80,85
Independence_78_28,60,40
Independence_79_20,60,40
Independence_80_29,60,40
Independence_81_90,85,85
Independence_82_41,60,85
Independence_83_22,60,40
Independence_84_83,85,85
Independence_85_26,60,40
Independence_86_36,60,40
Independence_87_33,60,40
Independence_88_13,60,40
Independence_89_17,60,40
Independence_90_32,60,40
Independence_91_15,60,40
Independence_92_32,60,40
Independence_93_77,85,85
Independence_94_88,80,85
Independence_95_60,85,85
Independence_96_22,60,40
Independence_97_89,85,85
Independence_98_37,60,40
Independence_99_57,60,85
Independence_100_82,60,85
PayRatio_1_229,60,85
PayRatio_2_83,60,40
PayRatio_3_170,60,85
PayRatio_4_381,60,85
