Company_ID,Expert_E_a_25-year-old_practicing_muslim,Expert_E_a_60-year-old_practicing_christian
Independence_1_43,60,85
Independence_2_68,60,85
Independence_3_25,60,40
Independence_4_65,60,85
Independence_5_14,60,40
Independence_6_80,60,85
Independence_7_54,60,85
Independence_8_68,60,85
Independence_9_34,60,40
Independence_10_40,60,50
Independence_11_52,60,85
Independence_12_40,60,50
Independence_13_47,60,85
Independence_14_25,60,40
Independence_15_33,60,40
Independence_16_55,60,85
Independence_17_46,60,85
Independence_18_12,60,40
Independence_19_46,60,85
Independence_20_43,60,85
Independence_21_33,60,40
Independence_22_30,60,40
Independence_23_64,60,85
Independence_24_33,60,40
Independence_25_78,60,85
Independence_26_23,60,40
Independence_27_50,60,85
Independence_28_67,60,85
Independence_29_37,60,40
Independence_30_24,60,40
Independence_31_53,60,85
Independence_32_51,60,85
Independence_33_41,60,75
Independence_34_69,60,85
Independence_35_70,60,85
Independence_36_15,60,40
Independence_37_81,60,85
Independence_38_19,60,40
Independence_39_42,60,85
Independence_40_88,80,85
Independence_41_85,60,80
Independence_42_37,60,40
Independence_43_71,60,85
Independence_44_22,60,40
Independence_45_46,60,85
Independence_46_50,60,85
Independence_47_69,60,85
Independence_48_73,85,85
Independence_49_37,60,40
Independence_50_32,60,40
Independence_51_83,60,85
Independence_52_16,60,40
Independence_53_88,60,85
Independence_54_48,60,85
Independence_55_16,60,40
Independence_56_57,60,85
Independence_57_69,60,85
Independence_58_83,60,85
Independence_59_75,80,85
Independence_60_60,85,85
Independence_61_55,60,85
Independence_62_60,85,85
Independence_63_24,60,40
Independence_64_64,60,85
Independence_65_20,60,40
Independence_66_32,60,40
Independence_67_75,80,85
Independence_68_67,60,85
Independence_69_24,60,40
Independence_70_53,60,85
Independence_71_43,60,85
Independence_72_83,60,85
Independence_73_57,60,85
Independence_74_49,60,85
Independence_75_31,60,40
Independence_76_78,60,85
Independence_77_21,60,40
Independence_78_40,60,50
Independence_79_35,60,40
Independence_80_42,60,85
Independence_81_17,60,40
Independence_82_47,60,85
Independence_83_31,60,40
Independence_84_71,60,85
Independence_85_82,60,85
Independence_86_20,60,40
Independence_87_36,60,40
Independence_88_47,60,85
Independence_89_23,60,40
Independence_90_61,85,85
Independence_91_75,80,85
Independence_92_77,85,85
Independence_93_16,60,40
Independence_94_58,60,85
Independence_95_24,60,40
Independence_96_25,60,40
Independence_97_78,60,85
Independence_98_75,80,85
Independence_99_73,85,85
Independence_100_58,60,85
PayRatio_1_106,60,40
PayRatio_2_183,60,40
PayRatio_3_228,60,85
PayRatio_4_426,60,80
PayRatio_5_455,60,80
PayRatio_6_112,60,80
PayRatio_7_203,60,85
PayRatio_8_21,60,40
PayRatio_9_87,60,40
PayRatio_10_297,60,80
PayRatio_11_401,60,85
PayRatio_12_267,60,80
PayRatio_13_225,60,80
PayRatio_14_253,60,80
PayRatio_15_312,60,80
PayRatio_16_399,60,80
PayRatio_17_91,60,85
PayRatio_18_318,60,80
PayRatio_19_59,60,40
PayRatio_20_249,60,80
PayRatio_21_458,60,85
PayRatio_22_438,60,85
PayRatio_23_168,60,40
PayRatio_24_323,60,80
PayRatio_25_234,60,80
