Company_ID,Expert_E_a_25-year-old_man,Expert_E_a_60-year-old_woman
Independence_1_34,60,40
Independence_2_80,60,85
Independence_3_21,60,40
Independence_4_65,60,85
Independence_5_35,60,40
Independence_6_49,60,85
Independence_7_90,85,85
Independence_8_33,60,40
Independence_9_78,85,85
Independence_10_16,60,40
Independence_11_89,85,85
Independence_12_77,85,85
Independence_13_49,60,85
Independence_14_64,60,85
Independence_15_10,60,40
Independence_16_83,60,85
Independence_17_64,60,85
Independence_18_36,60,40
Independence_19_68,85,85
Independence_20_51,60,85
Independence_21_71,85,85
Independence_22_49,60,85
Independence_23_41,60,85
Independence_24_76,85,85
Independence_25_69,60,85
Independence_26_63,85,85
Independence_27_58,60,85
Independence_28_36,60,40
Independence_29_83,60,85
Independence_30_36,60,40
Independence_31_62,85,85
Independence_32_84,60,85
Independence_33_20,60,40
Independence_34_29,60,40
Independence_35_13,60,40
Independence_36_89,85,85
Independence_37_22,60,40
Independence_38_84,60,85
Independence_39_11,60,40
Independence_40_36,60,40
Independence_41_77,85,85
Independence_42_28,60,40
Independence_43_42,60,40
Independence_44_16,60,40
Independence_45_22,60,40
Independence_46_75,60,85
Independence_47_25,60,40
Independence_48_74,85,85
Independence_49_70,85,85
Independence_50_15,60,40
Independence_51_10,60,40
Independence_52_26,60,40
Independence_53_71,85,85
Independence_54_50,60,85
Independence_55_40,60,50
Independence_56_10,60,40
Independence_57_86,80,85
Independence_58_74,85,85
Independence_59_36,60,40
Independence_60_43,60,40
Independence_61_74,85,85
Independence_62_71,85,85
Independence_63_33,60,40
Independence_64_60,85,85
Independence_65_34,60,40
Independence_66_83,60,85
Independence_67_23,60,40
Independence_68_14,60,40
Independence_69_81,85,85
Independence_70_20,60,40
Independence_71_63,85,85
Independence_72_26,60,40
Independence_73_84,60,85
Independence_74_84,60,85
Independence_75_50,60,85
Independence_76_17,60,40
Independence_77_41,60,40
Independence_78_26,60,40
Independence_79_36,60,40
Independence_80_31,60,40
Independence_81_81,60,85
Independence_82_23,60,40
Independence_83_33,60,40
Independence_84_49,60,40
Independence_85_34,60,40
Independence_86_49,60,40
Independence_87_45,60,40
Independence_88_85,60,80
Independence_89_62,85,85
Independence_90_74,85,85
Independence_91_62,85,85
Independence_92_30,60,40
Independence_93_38,60,40
Independence_94_63,85,85
Independence_95_14,60,40
Independence_96_66,60,85
Independence_97_81,60,85
Independence_98_79,60,85
Independence_99_14,60,40
Independence_100_24,60,40
PayRatio_1_144,60,80
PayRatio_2_192,60,85
PayRatio_3_319,60,80
PayRatio_4_393,60,85
PayRatio_5_490,60,80
PayRatio_6_445,60,80
PayRatio_7_228,60,85
PayRatio_8_120,60,40
PayRatio_9_248,60,80
PayRatio_10_92,60,80
PayRatio_11_93,60,85
PayRatio_12_422,60,85
PayRatio_13_262,60,80
PayRatio_14_253,60,80
PayRatio_15_152,60,80
PayRatio_16_29,60,40
PayRatio_17_402,60,85
PayRatio_18_134,60,40
PayRatio_19_320,60,80
PayRatio_20_474,60,80
PayRatio_21_187,60,85
PayRatio_22_472,60,85
PayRatio_23_79,60,40
PayRatio_24_292,60,80
PayRatio_25_154,60,40
PayRatio_26_165,60,80
PayRatio_27_69,60,40
PayRatio_28_404,60,80
PayRatio_29_231,60,85
PayRatio_30_165,60,80
PayRatio_31_260,60,40
PayRatio_32_49,60,40
PayRatio_33_121,60,40
PayRatio_34_148,60,85
PayRatio_35_390,60,80
PayRatio_36_361,60,85
PayRatio_37_490,60,80
PayRatio_38_131,60,40
PayRatio_39_456,60,80
PayRatio_40_461,60,85
PayRatio_41_482,60,80
PayRatio_42_62,40,40
PayRatio_43_117,60,85
PayRatio_44_40,60,60
PayRatio_45_233,60,80
PayRatio_46_190,60,80
PayRatio_47_326,60,80
PayRatio_48_181,60,85
PayRatio_49_111,60,80
PayRatio_50_371,60,85
PayRatio_51_465,60,80
PayRatio_52_259,60,80
PayRatio_53_429,60,80
PayRatio_54_23,60,40
PayRatio_55_244,60,80
PayRatio_56_326,60,80
PayRatio_57_384,60,80
PayRatio_58_49,60,40
PayRatio_59_132,60,40
PayRatio_60_116,60,85
PayRatio_61_135,60,80
PayRatio_62_463,60,80
PayRatio_63_226,60,85
PayRatio_64_354,60,80
PayRatio_65_162,60,85
PayRatio_66_278,60,80
PayRatio_67_416,60,80
PayRatio_68_55,60,40
PayRatio_69_294,60,80
PayRatio_70_497,60,80
PayRatio_71_133,60,40
PayRatio_72_181,60,85
PayRatio_73_427,60,80
PayRatio_74_190,60,80
PayRatio_75_478,60,85
PayRatio_76_234,60,80
PayRatio_77_357,60,80
PayRatio_78_119,60,85
PayRatio_79_167,60,85
PayRatio_80_487,60,80
PayRatio_81_466,80,80
PayRatio_82_68,60,40
PayRatio_83_300,60,80
PayRatio_84_309,60,80
PayRatio_85_447,60,85
PayRatio_86_203,60,85
PayRatio_87_432,60,80
PayRatio_88_383,60,80
PayRatio_89_404,60,80
PayRatio_90_286,60,80
PayRatio_91_444,60,80
PayRatio_92_379,60,85
PayRatio_93_261,60,80
PayRatio_94_348,60,80
PayRatio_95_308,60,80
PayRatio_96_395,60,80
PayRatio_97_479,60,80
PayRatio_98_50,60,40
PayRatio_99_210,60,40
PayRatio_100_126,60,85
Diversity_1_54,60,85
Diversity_2_37,60,42
Diversity_3_18,42,40
Diversity_4_15,60,40
Diversity_5_24,60,40
Diversity_6_27,42,40
Diversity_7_34,60,40
Diversity_8_48,60,72
Diversity_9_57,85,85
Diversity_10_43,60,72
Diversity_11_18,42,40
Diversity_12_34,60,40
Diversity_13_59,72,85
Diversity_14_60,85,85
Diversity_15_37,60,42
Diversity_16_20,40,40
Diversity_17_35,60,40
Diversity_18_11,40,40
Diversity_19_54,60,85
Diversity_20_7,20,20
Diversity_21_6,20,20
Diversity_22_13,60,40
Diversity_23_55,60,85
Diversity_24_5,20,20
Diversity_25_53,60,85
Diversity_26_18,42,40
Diversity_27_34,60,40
Diversity_28_15,40,40
Diversity_29_27,42,40
Diversity_30_23,42,40
Diversity_31_9,20,20
Diversity_32_28,42,42
Diversity_33_14,60,40
Diversity_34_33,60,40
Diversity_35_32,60,40
Diversity_36_37,60,42
Diversity_37_0,20,20
Diversity_38_34,60,40
Diversity_39_13,60,40
Diversity_40_52,60,85
Diversity_41_12,40,40
Diversity_42_48,60,72
Diversity_43_29,42,40
Diversity_44_3,20,20
Diversity_45_60,85,85
Diversity_46_22,60,40
Diversity_47_25,60,40
Diversity_48_58,72,72
Diversity_49_23,42,40
Diversity_50_59,72,85
Diversity_51_7,20,20
Diversity_52_0,20,20
Diversity_53_44,60,72
Diversity_54_45,60,60
Diversity_55_57,85,85
Diversity_56_16,42,40
Diversity_57_33,60,40
Diversity_58_22,60,40
Diversity_59_14,42,40
Diversity_60_45,60,60
Diversity_61_51,85,85
Diversity_62_58,72,72
Diversity_63_16,42,40
Diversity_64_50,60,80
Diversity_65_3,20,20
Diversity_66_48,60,72
Diversity_67_22,60,40
Diversity_68_7,20,20
Diversity_69_38,42,42
Diversity_70_28,42,42
Diversity_71_37,60,42
Diversity_72_58,72,72
Diversity_73_22,60,40
Diversity_74_10,60,20
Diversity_75_5,20,20
Diversity_76_46,72,72
Diversity_77_5,20,20
Diversity_78_3,20,20
Diversity_79_3,20,20
Diversity_80_33,60,40
Diversity_81_4,20,20
Diversity_82_29,42,42
Diversity_83_47,60,72
Diversity_84_56,60,85
Diversity_85_32,60,40
Diversity_86_57,85,85
Diversity_87_46,72,72
Diversity_88_17,60,40
Diversity_89_9,60,20
Diversity_90_29,42,40
Diversity_91_50,60,80
Diversity_92_18,42,40
Diversity_93_53,60,85
Diversity_94_39,60,72
Diversity_95_59,72,85
Diversity_96_3,20,20
Diversity_97_18,42,40
Diversity_98_52,60,85
Diversity_99_12,40,40
Diversity_100_10,60,20
