Company_ID,Expert_E_a_practicing_muslim_man,Expert_E_a_practicing_christian_woman
Independence_1_39,60,60
Independence_2_87,85,85
Independence_3_38,60,60
Independence_4_17,60,60
Independence_5_45,60,60
Independence_6_85,60,60
Independence_7_73,85,85
Independence_8_24,60,60
Independence_9_11,60,60
Independence_10_36,60,60
Independence_11_54,60,60
Independence_12_27,60,60
Independence_13_48,60,60
Independence_14_20,60,60
Independence_15_66,85,85
Independence_16_12,60,60
Independence_17_36,60,60
Independence_18_51,60,60
Independence_19_16,60,60
Independence_20_67,85,85
Independence_21_71,85,85
Independence_22_59,60,60
Independence_23_87,85,85
Independence_24_26,60,60
Independence_25_89,85,85
Independence_26_32,60,60
Independence_27_78,85,85
Independence_28_39,60,60
Independence_29_10,60,60
Independence_30_46,60,60
Independence_31_41,60,60
Independence_32_51,60,60
Independence_33_50,60,60
Independence_34_67,85,85
Independence_35_81,85,85
Independence_36_58,60,60
Independence_37_46,60,60
Independence_38_85,60,60
Independence_39_53,60,60
Independence_40_24,60,60
Independence_41_23,60,60
Independence_42_54,60,60
Independence_43_48,60,60
Independence_44_14,60,60
Independence_45_83,85,85
Independence_46_20,60,60
Independence_47_79,85,85
Independence_48_76,85,85
Independence_49_69,85,85
Independence_50_28,60,60
Independence_51_66,85,85
Independence_52_25,60,60
Independence_53_52,60,60
Independence_54_27,60,60
Independence_55_73,85,85
Independence_56_20,60,60
Independence_57_46,60,60
Independence_58_78,85,85
Independence_59_41,60,60
Independence_60_68,85,85
Independence_61_46,60,60
Independence_62_59,60,85
Independence_63_41,60,60
Independence_64_32,60,60
Independence_65_45,60,60
Independence_66_77,85,85
Independence_67_47,60,60
Independence_68_73,85,85
Independence_69_26,60,60
Independence_70_90,85,85
Independence_71_11,60,60
Independence_72_10,60,60
Independence_73_14,60,60
Independence_74_41,60,60
Independence_75_78,85,85
Independence_76_31,60,60
Independence_77_14,60,60
Independence_78_13,60,60
Independence_79_16,60,60
Independence_80_79,85,85
Independence_81_37,60,60
Independence_82_76,85,85
Independence_83_39,60,60
Independence_84_41,60,60
Independence_85_69,85,85
Independence_86_13,60,60
Independence_87_85,60,80
Independence_88_35,60,60
Independence_89_13,60,60
Independence_90_22,60,60
Independence_91_24,60,60
Independence_92_13,60,60
Independence_93_37,60,60
Independence_94_70,85,85
Independence_95_36,60,60
Independence_96_35,60,60
Independence_97_47,60,60
Independence_98_20,60,60
Independence_99_40,60,60
Independence_100_56,60,60
PayRatio_1_381,60,60
PayRatio_2_424,60,60
PayRatio_3_167,60,60
PayRatio_4_389,60,60
PayRatio_5_336,60,60
PayRatio_6_435,60,60
PayRatio_7_142,60,60
PayRatio_8_88,60,60
PayRatio_9_348,60,60
PayRatio_10_145,60,60
PayRatio_11_116,60,60
PayRatio_12_448,60,60
PayRatio_13_83,60,60
PayRatio_14_279,60,60
PayRatio_15_441,60,60
PayRatio_16_402,60,60
PayRatio_17_303,60,60
PayRatio_18_264,60,60
PayRatio_19_77,60,60
PayRatio_20_403,60,60
PayRatio_21_20,60,60
PayRatio_22_415,60,60
PayRatio_23_234,60,60
PayRatio_24_167,60,60
PayRatio_25_136,60,60
PayRatio_26_111,60,60
PayRatio_27_153,60,60
PayRatio_28_76,60,60
PayRatio_29_101,60,60
PayRatio_30_281,60,60
PayRatio_31_190,60,60
PayRatio_32_65,60,60
PayRatio_33_133,60,60
PayRatio_34_362,60,60
PayRatio_35_212,60,60
PayRatio_36_498,60,60
PayRatio_37_368,60,60
PayRatio_38_484,60,60
PayRatio_39_413,60,60
PayRatio_40_217,60,60
PayRatio_41_56,60,60
PayRatio_42_220,60,60
PayRatio_43_253,60,60
PayRatio_44_216,60,60
PayRatio_45_240,60,60
PayRatio_46_283,60,60
PayRatio_47_262,60,60
PayRatio_48_124,60,60
PayRatio_49_233,60,60
PayRatio_50_304,60,60
PayRatio_51_494,60,60
PayRatio_52_157,60,60
PayRatio_53_393,60,60
PayRatio_54_194,60,60
PayRatio_55_254,60,60
PayRatio_56_257,60,60
PayRatio_57_419,60,60
PayRatio_58_500,80,80
PayRatio_59_449,60,60
PayRatio_60_391,60,60
PayRatio_61_173,60,60
PayRatio_62_339,60,60
PayRatio_63_218,60,60
PayRatio_64_22,60,60
PayRatio_65_356,60,60
PayRatio_66_123,60,60
PayRatio_67_415,60,60
PayRatio_68_432,60,60
PayRatio_69_143,60,60
PayRatio_70_398,60,60
PayRatio_71_440,60,60
PayRatio_72_456,60,60
PayRatio_73_376,60,60
PayRatio_74_375,60,60
PayRatio_75_317,60,60
PayRatio_76_190,60,60
PayRatio_77_273,60,60
PayRatio_78_398,60,60
PayRatio_79_254,60,60
PayRatio_80_379,60,60
PayRatio_81_394,60,60
PayRatio_82_200,60,60
PayRatio_83_226,60,60
PayRatio_84_316,60,60
PayRatio_85_374,60,60
PayRatio_86_303,60,60
PayRatio_87_385,60,60
PayRatio_88_168,60,60
PayRatio_89_301,60,60
PayRatio_90_485,60,60
PayRatio_91_37,60,60
PayRatio_92_59,60,60
PayRatio_93_134,60,60
PayRatio_94_167,60,60
PayRatio_95_113,60,60
PayRatio_96_429,60,60
PayRatio_97_195,60,60
PayRatio_98_25,60,60
PayRatio_99_342,60,60
