Company_ID,Expert_E_a_25-year-old_practicing_muslim_man,Expert_E_a_60-year-old_practicing_christian_woman
Independence_1_58,60,85
Independence_2_45,60,40
Independence_3_53,60,85
Independence_4_14,60,40
Independence_5_32,60,40
Independence_6_38,60,40
Independence_7_75,60,85
Independence_8_26,60,40
Independence_9_13,60,40
Independence_10_58,60,85
Independence_11_41,60,40
Independence_12_25,60,40
Independence_13_76,60,85
Independence_14_72,60,85
Independence_15_27,60,40
Independence_16_59,60,85
Independence_17_78,60,85
Independence_18_65,60,85
Independence_19_85,60,80
Independence_20_16,60,40
Independence_21_33,60,40
Independence_22_56,60,85
Independence_23_38,60,40
Independence_24_25,60,40
Independence_25_25,60,40
Independence_26_83,60,85
Independence_27_41,60,40
Independence_28_47,60,85
Independence_29_51,60,85
Independence_30_90,80,85
Independence_31_50,60,85
Independence_32_57,60,85
Independence_33_21,60,40
Independence_34_34,60,40
Independence_35_83,60,85
Independence_36_46,60,85
Independence_37_30,60,40
Independence_38_65,60,85
Independence_39_50,60,85
Independence_40_28,60,40
Independence_41_56,60,85
Independence_42_12,60,40
Independence_43_12,60,40
Independence_44_74,60,85
Independence_45_24,60,40
Independence_46_89,80,85
Independence_47_29,60,40
Independence_48_58,60,85
Independence_49_15,60,40
Independence_50_76,60,85
Independence_51_44,60,40
Independence_52_73,85,85
Independence_53_78,60,85
Independence_54_35,60,40
Independence_55_63,60,85
Independence_56_79,60,85
Independence_57_30,60,40
Independence_58_22,60,40
Independence_59_61,60,85
Independence_60_73,85,85
Independence_61_27,60,40
Independence_62_31,60,40
Independence_63_58,60,85
Independence_64_33,60,40
Independence_65_41,60,40
Independence_66_85,60,80
Independence_67_75,80,85
Independence_68_59,60,85
Independence_69_46,60,40
Independence_70_30,60,40
Independence_71_34,60,40
Independence_72_45,60,40
Independence_73_81,60,85
Independence_74_90,80,85
Independence_75_61,85,85
Independence_76_33,60,40
Independence_77_81,60,85
Independence_78_35,60,40
Independence_79_13,60,40
Independence_80_31,60,40
Independence_81_46,60,40
Independence_82_71,60,85
Independence_83_28,60,40
Independence_84_18,60,40
Independence_85_66,60,85
Independence_86_70,60,85
Independence_87_90,80,85
Independence_88_22,60,40
Independence_89_49,60,40
Independence_90_72,60,85
Independence_91_49,60,40
Independence_92_15,60,40
Independence_93_30,60,40
Independence_94_79,60,85
Independence_95_45,60,40
Independence_96_22,60,40
Independence_97_63,60,85
Independence_98_78,60,85
Independence_99_31,60,40
Independence_100_44,60,40
PayRatio_1_146,60,80
PayRatio_2_172,60,40
PayRatio_3_444,60,80
PayRatio_4_276,60,80
PayRatio_5_351,60,80
PayRatio_6_435,60,80
PayRatio_7_497,60,80
PayRatio_8_292,60,80
PayRatio_9_22,60,40
PayRatio_10_451,60,80
PayRatio_11_288,60,80
PayRatio_12_417,60,80
PayRatio_13_248,60,80
PayRatio_14_26,60,40
PayRatio_15_107,60,80
PayRatio_16_55,60,40
PayRatio_17_377,60,80
PayRatio_18_149,60,80
PayRatio_19_211,60,80
PayRatio_20_474,60,80
PayRatio_21_145,60,80
PayRatio_22_426,60,80
PayRatio_23_373,60,80
PayRatio_24_198,60,85
PayRatio_25_320,60,80
PayRatio_26_66,60,40
PayRatio_27_338,60,80
PayRatio_28_445,60,80
PayRatio_29_215,60,80
PayRatio_30_153,60,80
PayRatio_31_476,60,80
PayRatio_32_353,60,80
PayRatio_33_317,60,80
PayRatio_34_259,60,80
PayRatio_35_371,60,80
PayRatio_36_92,60,80
PayRatio_37_469,60,80
PayRatio_38_101,60,80
PayRatio_39_378,60,80
PayRatio_40_352,60,80
PayRatio_41_376,60,80
PayRatio_42_438,60,80
PayRatio_43_472,60,80
PayRatio_44_270,60,80
PayRatio_45_420,60,80
PayRatio_46_221,60,80
PayRatio_47_448,60,80
PayRatio_48_171,60,85
PayRatio_49_227,60,85
PayRatio_50_338,60,80
PayRatio_51_296,60,80
PayRatio_52_190,60,80
PayRatio_53_138,60,40
PayRatio_54_325,60,80
PayRatio_55_472,60,80
PayRatio_56_202,60,80
PayRatio_57_348,60,80
PayRatio_58_366,80,80
PayRatio_59_90,60,60
PayRatio_60_47,60,60
PayRatio_61_46,60,40
PayRatio_62_405,60,80
PayRatio_63_129,60,80
PayRatio_64_36,60,40
PayRatio_65_494,60,80
PayRatio_66_349,60,80
PayRatio_67_487,60,80
PayRatio_68_176,60,80
PayRatio_69_301,60,80
PayRatio_70_136,60,80
PayRatio_71_479,60,80
PayRatio_72_31,60,40
PayRatio_73_162,60,80
PayRatio_74_120,60,40
PayRatio_75_480,60,80
PayRatio_76_176,60,80
PayRatio_77_298,60,80
PayRatio_78_221,60,80
PayRatio_79_450,60,80
PayRatio_80_313,60,80
PayRatio_81_446,60,80
PayRatio_82_220,60,80
PayRatio_83_22,60,40
PayRatio_84_123,60,80
PayRatio_85_107,60,40
PayRatio_86_465,80,80
PayRatio_87_290,60,80
PayRatio_88_298,60,80
PayRatio_89_286,60,80
PayRatio_90_23,60,40
PayRatio_91_447,60,80
PayRatio_92_243,60,80
PayRatio_93_249,60,80
PayRatio_94_75,60,40
PayRatio_95_429,60,80
PayRatio_96_99,60,80
PayRatio_97_222,60,80
PayRatio_98_400,60,80
PayRatio_99_465,80,80
PayRatio_100_194,60,80
Diversity_1_19,60,40
Diversity_2_16,60,40
Diversity_3_1,60,20
Diversity_4_4,60,20
Diversity_5_49,60,72
Diversity_6_48,60,72
Diversity_7_6,40,20
Diversity_8_38,60,72
Diversity_9_28,60,40
Diversity_10_57,85,85
Diversity_11_36,60,40
Diversity_12_54,60,85
Diversity_13_55,60,85
Diversity_14_42,60,60
Diversity_15_5,60,20
Diversity_16_1,60,20
Diversity_17_19,60,40
Diversity_18_18,60,40
Diversity_19_18,60,40
Diversity_20_27,60,40
Diversity_21_7,60,20
Diversity_22_37,60,42
Diversity_23_36,60,40
Diversity_24_7,60,20
Diversity_25_30,60,40
Diversity_26_39,60,72
Diversity_27_55,60,85
Diversity_28_52,60,85
Diversity_29_45,60,60
Diversity_30_45,60,72
Diversity_31_4,60,20
Diversity_32_46,60,72
Diversity_33_12,60,40
Diversity_34_28,60,40
Diversity_35_0,60,80
Diversity_36_9,60,40
Diversity_37_59,72,85
Diversity_38_0,60,80
Diversity_39_39,60,72
Diversity_40_54,60,85
Diversity_41_33,60,40
Diversity_42_38,60,72
Diversity_43_23,60,40
Diversity_44_56,60,85
Diversity_45_31,60,40
Diversity_46_47,60,85
Diversity_47_43,60,72
Diversity_48_7,60,20
Diversity_49_32,60,40
Diversity_50_8,60,40
Diversity_51_52,60,85
Diversity_52_49,60,72
Diversity_53_4,60,20
Diversity_54_59,72,85
Diversity_55_19,60,40
Diversity_56_23,60,40
Diversity_57_49,60,72
Diversity_58_33,60,40
Diversity_59_46,60,72
Diversity_60_46,60,72
Diversity_61_32,60,40
Diversity_62_9,60,40
Diversity_63_57,85,85
Diversity_64_57,85,85
Diversity_65_13,60,40
Diversity_66_27,60,40
Diversity_67_21,60,40
Diversity_68_27,60,40
Diversity_69_20,60,40
Diversity_70_23,60,40
Diversity_71_0,60,80
Diversity_72_25,60,40
Diversity_73_25,60,40
Diversity_74_27,60,40
Diversity_75_26,60,40
Diversity_76_58,72,85
Diversity_77_11,60,40
Diversity_78_24,60,40
Diversity_79_29,60,40
Diversity_80_47,60,85
Diversity_81_57,85,85
Diversity_82_17,60,40
Diversity_83_18,60,40
Diversity_84_34,60,40
Diversity_85_41,60,72
Diversity_86_4,60,20
Diversity_87_47,60,72
Diversity_88_53,60,85
Diversity_89_51,80,85
Diversity_90_36,60,40
Diversity_91_36,60,40
Diversity_92_28,60,40
Diversity_93_11,60,40
Diversity_94_32,60,40
Diversity_95_22,60,40
Diversity_96_1,60,20
Diversity_97_60,85,85
Diversity_98_9,60,40
Diversity_99_47,60,72
Diversity_100_48,60,72
