Company_ID,Expert_S_a_man,Expert_S_a_woman
Paygap_1_40,60,60
Paygap_2_33,60,60
Paygap_3_26,72,60
Paygap_4_18,72,60
Paygap_5_18,72,60
Paygap_6_17,60,60
Paygap_7_22,60,60
Paygap_8_27,60,60
Paygap_9_8,72,60
Paygap_10_36,60,60
Paygap_11_19,60,60
Paygap_12_34,60,60
Paygap_13_24,60,60
Paygap_14_6,72,60
Paygap_15_10,60,60
Paygap_16_8,72,60
Paygap_17_9,67,60
Paygap_18_40,60,60
Paygap_19_24,60,60
Paygap_20_30,60,60
Paygap_21_19,60,60
Paygap_22_30,60,60
Paygap_23_13,42,60
Paygap_24_22,60,60
Paygap_25_30,60,60
Paygap_26_11,42,60
Paygap_27_7,60,60
Paygap_28_7,60,60
Paygap_29_21,67,60
Paygap_30_22,60,60
Paygap_31_28,60,60
Paygap_32_7,60,60
Paygap_33_20,60,60
Paygap_34_5,60,60
Paygap_35_29,60,60
Paygap_36_8,72,60
Paygap_37_9,60,60
Paygap_38_32,60,60
Paygap_39_25,60,60
Paygap_40_5,60,60
Paygap_41_7,60,60
Paygap_42_5,60,60
Paygap_43_21,67,60
Paygap_44_3,60,60
Paygap_45_29,67,60
Paygap_46_13,42,60
Paygap_47_21,67,60
Paygap_48_23,60,60
Paygap_49_40,60,60
Paygap_50_3,60,60
Paygap_51_31,67,60
Paygap_52_32,60,60
Paygap_53_33,60,60
Paygap_54_35,60,60
Paygap_55_20,60,60
Paygap_56_37,60,60
Paygap_57_15,60,60
Paygap_58_29,67,60
Paygap_59_37,60,60
Paygap_60_15,60,60
Paygap_61_39,60,60
Paygap_62_6,72,60
Paygap_63_34,60,60
Paygap_64_32,60,60
Paygap_65_14,72,60
Paygap_66_32,60,60
Paygap_67_28,72,60
Paygap_68_39,60,60
Paygap_69_34,60,60
Paygap_70_25,60,60
Paygap_71_30,60,60
Paygap_72_38,72,60
Paygap_73_6,72,60
Paygap_74_31,42,60
Paygap_75_30,60,60
Paygap_76_25,60,60
Paygap_77_14,72,60
Paygap_78_16,72,72
Paygap_79_14,72,60
Paygap_80_35,60,60
Paygap_81_8,72,60
Paygap_82_23,60,60
Paygap_83_37,60,60
Paygap_84_10,60,60
Paygap_85_40,60,60
Paygap_86_6,60,60
Paygap_87_23,60,60
Paygap_88_29,60,60
Paygap_89_7,60,60
Paygap_90_9,60,60
Paygap_91_33,60,60
Paygap_92_12,60,60
Paygap_93_40,60,60
Paygap_94_17,60,60
Paygap_95_40,60,60
Paygap_96_39,60,60
Paygap_97_12,60,60
Paygap_98_37,60,60
Paygap_99_34,60,60
Paygap_100_1,60,60
Accidents_1_21,60,60
Accidents_2_53,60,60
Accidents_3_6,60,60
Accidents_4_100,80,80
Accidents_5_22,60,60
