Company_ID,Expert_S_a_practicing_muslim,Expert_S_a_practicing_christian
Paygap_1_1,60,60
Paygap_2_7,60,60
Paygap_3_14,60,72
Paygap_4_26,60,72
Paygap_5_15,60,60
Paygap_6_7,60,60
Paygap_7_34,60,60
Paygap_8_20,60,60
Paygap_9_8,60,60
Paygap_10_4,60,60
Paygap_11_32,60,60
Paygap_12_2,60,60
Paygap_13_23,60,60
Paygap_14_12,60,60
Paygap_15_10,60,60
Paygap_16_6,60,60
Paygap_17_10,60,60
Paygap_18_28,60,60
Paygap_19_10,60,60
Paygap_20_1,60,60
Paygap_21_7,60,60
Paygap_22_37,60,60
Paygap_23_31,67,67
Paygap_24_18,60,72
Paygap_25_2,60,60
Paygap_26_27,60,60
Paygap_27_15,60,60
Paygap_28_36,60,60
Paygap_29_13,60,60
Paygap_30_16,60,72
Paygap_31_27,60,60
Paygap_32_1,60,60
Paygap_33_23,60,60
Paygap_34_38,60,72
Paygap_35_29,67,60
Paygap_36_38,60,72
Paygap_37_28,60,72
Paygap_38_12,60,60
Paygap_39_8,60,60
Paygap_40_12,60,60
Paygap_41_2,60,60
Paygap_42_16,60,72
Paygap_43_9,60,60
Paygap_44_1,60,60
Paygap_45_31,67,67
Paygap_46_30,60,60
Paygap_47_36,60,60
Paygap_48_33,60,60
Paygap_49_24,60,60
Paygap_50_37,60,60
Paygap_51_34,60,60
Paygap_52_2,60,60
Paygap_53_12,60,60
Paygap_54_19,60,60
Paygap_55_12,60,60
Paygap_56_10,60,60
Paygap_57_20,60,60
Paygap_58_25,60,60
Paygap_59_19,60,72
Paygap_60_25,60,60
Paygap_61_7,60,60
Paygap_62_38,60,72
Paygap_63_40,60,60
Paygap_64_22,60,60
Paygap_65_32,60,60
Paygap_66_18,60,72
Paygap_67_27,60,60
Paygap_68_34,60,60
Paygap_69_36,60,60
Paygap_70_11,60,72
Paygap_71_24,60,60
Paygap_72_26,60,60
Paygap_73_19,60,60
Paygap_74_1,60,60
Paygap_75_32,60,60
Paygap_76_23,60,60
Paygap_77_24,60,60
Paygap_78_31,67,67
Paygap_79_25,60,60
Paygap_80_6,60,72
Paygap_81_38,60,72
Paygap_82_32,60,60
Paygap_83_27,60,60
Paygap_84_34,60,60
Paygap_85_23,60,60
Paygap_86_29,60,60
Paygap_87_34,60,60
Paygap_88_6,60,60
Paygap_89_38,60,72
Paygap_90_34,60,60
Paygap_91_28,60,72
Paygap_92_3,60,60
Paygap_93_32,60,60
Paygap_94_25,60,60
Paygap_95_3,60,60
Paygap_96_26,60,72
Paygap_97_7,60,60
Paygap_98_3,60,60
Paygap_99_17,60,60
Paygap_100_28,60,60
Accidents_1_32,60,60
Accidents_2_11,60,60
Accidents_3_10,60,60
Accidents_4_56,60,60
Accidents_5_31,60,60
Accidents_6_51,60,60
Accidents_7_4,60,60
Accidents_8_76,60,60
Accidents_9_96,60,60
