Company_ID,Expert_S_a_25-year-old,Expert_S_a_60-year-old
Paygap_1_26,72,72
Paygap_2_40,60,60
Paygap_3_23,60,45
Paygap_4_35,60,75
Paygap_5_6,60,72
Paygap_6_5,60,40
Paygap_7_24,60,72
Paygap_8_5,60,40
Paygap_9_1,60,40
Paygap_10_40,60,60
Paygap_11_3,60,45
Paygap_12_24,60,72
Paygap_13_33,60,75
Paygap_14_25,60,40
Paygap_15_16,72,72
Paygap_16_26,42,72
Paygap_17_25,60,40
Paygap_18_28,72,72
Paygap_19_7,60,45
Paygap_20_5,60,40
Paygap_21_34,60,72
Paygap_22_10,60,40
Paygap_23_37,60,45
Paygap_24_8,72,72
Paygap_25_6,72,72
Paygap_26_19,72,72
Paygap_27_7,60,45
Paygap_28_15,60,45
Paygap_29_10,60,40
Paygap_30_12,60,45
Paygap_31_32,60,45
Paygap_32_3,60,45
Paygap_33_7,60,45
Paygap_34_25,60,40
Paygap_35_17,60,42
Paygap_36_7,60,45
Paygap_37_16,72,72
Paygap_38_33,60,75
Paygap_39_24,60,72
Paygap_40_24,60,42
Paygap_41_8,72,72
Paygap_42_6,60,72
Paygap_43_17,60,42
Paygap_44_26,42,42
Paygap_45_4,60,72
Paygap_46_26,72,42
Paygap_47_9,60,72
Paygap_48_33,60,75
Paygap_49_28,60,72
Paygap_50_28,60,72
Paygap_51_13,60,45
Paygap_52_16,72,72
Paygap_53_32,60,45
Paygap_54_25,60,40
Paygap_55_20,60,40
Paygap_56_36,60,72
Paygap_57_23,60,45
Paygap_58_21,67,45
Paygap_59_9,67,72
Paygap_60_14,72,72
Paygap_61_24,60,42
Paygap_62_21,67,45
Paygap_63_39,60,72
Paygap_64_15,60,45
Paygap_65_32,60,45
Paygap_66_33,60,75
Paygap_67_15,60,45
Paygap_68_38,72,72
Paygap_69_11,60,72
Paygap_70_11,60,42
Paygap_71_40,60,60
Paygap_72_39,60,72
Paygap_73_13,60,42
Paygap_74_31,67,42
Paygap_75_6,72,72
Paygap_76_3,60,40
Paygap_77_16,72,72
Paygap_78_22,60,45
Paygap_79_13,60,42
Paygap_80_11,72,72
Paygap_81_8,72,72
Paygap_82_36,60,72
Paygap_83_10,60,40
Paygap_84_22,60,45
Paygap_85_23,60,45
Paygap_86_2,60,40
Paygap_87_26,72,72
Paygap_88_6,72,72
Paygap_89_15,60,45
Paygap_90_36,60,72
Paygap_91_40,60,60
Paygap_92_38,60,72
Paygap_93_9,60,72
Paygap_94_36,60,72
Paygap_95_19,60,42
Paygap_96_7,60,45
Paygap_97_35,60,45
Paygap_98_18,72,72
Paygap_99_21,67,67
Paygap_100_22,60,45
Accidents_1_23,60,80
Accidents_2_39,60,80
Accidents_3_29,60,80
Accidents_4_53,60,80
Accidents_5_43,60,80
Accidents_6_1,80,80
Accidents_7_90,60,80
Accidents_8_6,60,80
Accidents_9_51,60,80
Accidents_10_18,60,80
Accidents_11_44,60,80
Accidents_12_3,60,80
Accidents_13_70,60,80
Accidents_14_20,60,80
Accidents_15_11,60,80
Accidents_16_98,60,80
Accidents_17_92,60,80
Accidents_18_62,60,80
Accidents_19_93,60,80
Accidents_20_27,60,80
Accidents_21_6,60,80
Accidents_22_45,60,80
Accidents_23_26,60,80
Accidents_24_95,60,80
Accidents_25_92,60,80
Accidents_26_60,80,80
Accidents_27_91,60,80
Accidents_28_99,80,80
Accidents_29_70,60,80
Accidents_30_88,60,80
Accidents_31_4,60,80
Accidents_32_1,80,80
Accidents_33_99,80,80
Accidents_34_27,60,80
Accidents_35_31,60,80
Accidents_36_64,60,80
Accidents_37_76,60,80
Accidents_38_63,60,80
Accidents_39_69,60,80
Accidents_40_73,60,80
Accidents_41_80,60,40
Accidents_42_44,60,80
Accidents_43_70,60,80
Accidents_44_92,60,80
Accidents_45_90,60,80
Accidents_46_53,60,80
Accidents_47_36,60,80
Accidents_48_28,60,80
Accidents_49_55,60,80
Accidents_50_78,60,80
Accidents_51_24,60,80
Accidents_52_95,60,80
Accidents_53_37,60,80
Accidents_54_28,60,80
Accidents_55_79,60,80
Accidents_56_72,60,80
Accidents_57_41,60,80
Accidents_58_67,60,80
Accidents_59_39,60,80
Accidents_60_47,60,80
Accidents_61_58,60,80
Accidents_62_36,60,80
Accidents_63_53,60,80
Accidents_64_48,60,80
Accidents_65_44,60,80
Accidents_66_61,60,80
Accidents_67_60,80,80
Accidents_68_3,60,80
Accidents_69_57,60,80
Accidents_70_65,60,80
Accidents_71_78,60,80
Accidents_72_52,60,80
Accidents_73_70,60,80
Accidents_74_50,80,80
Accidents_75_72,60,80
Accidents_76_54,60,80
Accidents_77_38,60,80
Accidents_78_74,60,80
Accidents_79_22,60,80
Accidents_80_27,60,80
Accidents_81_37,60,80
Accidents_82_54,60,80
Accidents_83_4,60,80
Accidents_84_60,80,80
Accidents_85_17,60,80
Accidents_86_5,60,80
Accidents_87_71,60,80
Accidents_88_7,60,80
Accidents_89_97,60,80
Accidents_90_64,60,80
Accidents_91_93,60,80
Accidents_92_89,60,80
Accidents_93_43,60,80
Accidents_94_57,60,80
Accidents_95_90,60,80
Accidents_96_53,60,80
Accidents_97_14,60,80
Accidents_98_55,60,80
Accidents_99_28,60,80
Accidents_100_99,80,80
Rotation_1_99,80,80
Rotation_2_34,60,42
Rotation_3_25,60,40
Rotation_4_94,80,80
Rotation_5_39,60,45
Rotation_6_77,60,85
Rotation_7_19,60,40
Rotation_8_17,60,42
Rotation_9_28,60,42
Rotation_10_95,80,80
Rotation_11_46,60,72
Rotation_12_22,60,40
Rotation_13_95,80,80
Rotation_14_61,60,85
Rotation_15_94,80,80
Rotation_16_52,60,40
Rotation_17_90,80,80
Rotation_18_98,80,80
Rotation_19_3,20,20
Rotation_20_12,60,40
Rotation_21_98,80,80
Rotation_22_98,80,80
Rotation_23_69,60,72
Rotation_24_79,60,85
Rotation_25_10,60,40
Rotation_26_8,60,40
Rotation_27_80,60,60
Rotation_28_42,60,60
Rotation_29_81,60,85
Rotation_30_54,60,72
Rotation_31_5,20,20
Rotation_32_1,12,20
Rotation_33_94,80,80
Rotation_34_87,60,80
Rotation_35_36,60,42
Rotation_36_4,12,12
Rotation_37_20,60,40
Rotation_38_82,60,60
Rotation_39_7,60,30
Rotation_40_23,60,45
Rotation_41_19,60,40
Rotation_42_97,80,80
Rotation_43_96,80,80
Rotation_44_42,60,60
Rotation_45_19,60,40
Rotation_46_5,20,20
Rotation_47_14,60,42
Rotation_48_14,60,42
Rotation_49_77,60,85
Rotation_50_80,60,60
Rotation_51_39,60,45
Rotation_52_44,60,72
Rotation_53_86,60,72
Rotation_54_100,80,80
Rotation_55_73,60,85
Rotation_56_38,60,42
Rotation_57_60,40,40
Rotation_58_61,60,40
Rotation_59_50,60,40
Rotation_60_58,60,72
Rotation_61_5,20,20
Rotation_62_95,80,80
Rotation_63_51,60,72
Rotation_64_95,80,80
Rotation_65_78,60,85
Rotation_66_55,60,75
Rotation_67_15,60,40
Rotation_68_26,60,42
Rotation_69_4,12,12
Rotation_70_65,60,75
Rotation_71_56,60,72
Rotation_72_21,60,40
Rotation_73_95,80,80
Rotation_74_79,60,85
Rotation_75_29,60,45
Rotation_76_63,60,75
Rotation_77_41,60,72
Rotation_78_25,60,40
Rotation_79_45,60,60
Rotation_80_74,60,60
Rotation_81_48,60,72
Rotation_82_86,60,72
Rotation_83_75,60,80
Rotation_84_76,60,72
Rotation_85_87,60,85
Rotation_86_6,20,20
Rotation_87_54,60,72
Rotation_88_98,80,80
Rotation_89_57,60,72
Rotation_90_28,60,42
Rotation_91_89,80,85
Rotation_92_90,80,80
Rotation_93_65,60,75
Rotation_94_26,60,42
Rotation_95_80,60,60
Rotation_96_74,60,60
Rotation_97_87,60,80
Rotation_98_75,60,80
Rotation_99_16,60,42
Rotation_100_9,60,40
