Company_ID,Expert_S_a_25-year-old_practicing_muslim,Expert_S_a_60-year-old_practicing_christian
Paygap_1_13,60,45
Paygap_2_26,60,72
Paygap_3_24,60,72
Paygap_4_32,60,75
Paygap_5_38,60,72
Paygap_6_35,60,75
Paygap_7_9,60,72
Paygap_8_32,60,75
Paygap_9_12,60,72
Paygap_10_2,60,40
Paygap_11_17,60,72
Paygap_12_33,60,75
Paygap_13_24,60,72
Paygap_14_3,60,40
Paygap_15_25,60,40
Paygap_16_4,60,72
Paygap_17_24,60,72
Paygap_18_28,60,72
Paygap_19_28,60,72
Paygap_20_32,60,75
Paygap_21_15,60,45
Paygap_22_38,60,72
Paygap_23_6,60,72
Paygap_24_33,60,75
Paygap_25_33,60,75
Paygap_26_31,60,42
Paygap_27_2,60,40
Paygap_28_28,60,72
Paygap_29_22,60,40
Paygap_30_21,60,75
Paygap_31_19,60,72
Paygap_32_8,60,72
Paygap_33_21,60,67
Paygap_34_26,60,72
Paygap_35_6,60,72
Paygap_36_2,60,40
Paygap_37_9,60,72
Paygap_38_33,60,75
Paygap_39_14,60,72
Paygap_40_26,60,72
Paygap_41_40,60,60
Paygap_42_10,60,40
Paygap_43_27,60,45
Paygap_44_39,60,72
Paygap_45_13,60,42
Paygap_46_3,60,40
Paygap_47_13,60,42
Paygap_48_40,60,60
Paygap_49_18,60,72
Paygap_50_2,60,40
Paygap_51_11,60,72
Paygap_52_32,60,75
Paygap_53_13,60,42
Paygap_54_5,60,40
Paygap_55_1,60,40
Paygap_56_15,60,40
Paygap_57_18,60,72
Paygap_58_28,60,72
Paygap_59_18,60,72
Paygap_60_12,60,72
Paygap_61_33,60,75
Paygap_62_35,60,75
Paygap_63_29,60,72
Paygap_64_35,60,75
Paygap_65_9,60,72
Paygap_66_21,60,67
Paygap_67_32,60,75
Paygap_68_11,60,72
Paygap_69_1,60,40
Paygap_70_21,60,75
Paygap_71_32,60,75
Paygap_72_25,60,75
Paygap_73_18,60,72
Paygap_74_26,60,72
Paygap_75_32,60,75
