Company_ID,Expert_S_a_25-year-old_man,Expert_S_a_60-year-old_woman
Paygap_1_26,60,72
Paygap_2_23,60,45
Paygap_3_2,60,40
Paygap_4_7,60,45
Paygap_5_9,60,72
Paygap_6_6,60,40
Paygap_7_32,60,45
Paygap_8_19,60,72
Paygap_9_15,60,40
Paygap_10_4,60,40
Paygap_11_21,67,67
Paygap_12_3,60,40
Paygap_13_8,60,72
Paygap_14_21,67,45
Paygap_15_25,60,40
Paygap_16_13,60,45
Paygap_17_29,60,67
Paygap_18_29,67,67
Paygap_19_1,60,40
Paygap_20_33,60,75
Paygap_21_34,60,72
Paygap_22_20,60,40
Paygap_23_39,60,75
Paygap_24_20,60,40
Paygap_25_11,60,72
Paygap_26_33,60,75
Paygap_27_29,67,72
Paygap_28_4,60,40
Paygap_29_36,60,72
Paygap_30_27,60,45
Paygap_31_32,60,75
Paygap_32_39,60,72
Paygap_33_19,60,72
Paygap_34_8,60,72
Paygap_35_13,60,45
Paygap_36_7,60,45
Paygap_37_17,60,42
Paygap_38_17,60,42
Paygap_39_36,60,72
Paygap_40_22,60,40
Paygap_41_38,60,72
Paygap_42_40,60,60
Paygap_43_16,72,72
Paygap_44_35,60,75
Paygap_45_38,60,72
Paygap_46_19,60,72
Paygap_47_22,60,40
Paygap_48_19,60,72
Paygap_49_16,72,72
Paygap_50_31,67,42
Paygap_51_21,67,67
Paygap_52_21,67,45
Paygap_53_19,60,72
Paygap_54_15,60,40
Paygap_55_25,60,40
Paygap_56_27,60,45
Paygap_57_21,67,67
Paygap_58_18,72,72
Paygap_59_13,60,45
Paygap_60_3,60,40
Paygap_61_34,60,72
Paygap_62_16,72,72
Paygap_63_15,60,40
Paygap_64_33,60,75
Paygap_65_1,60,40
Paygap_66_14,72,72
Paygap_67_16,72,72
Paygap_68_6,60,40
Paygap_69_27,60,45
Paygap_70_11,60,72
Paygap_71_25,60,40
Paygap_72_4,60,72
Paygap_73_32,60,45
Paygap_74_19,60,72
Paygap_75_31,67,42
Paygap_76_9,60,72
Paygap_77_10,60,40
Paygap_78_37,60,72
Paygap_79_40,60,60
Paygap_80_34,60,72
Paygap_81_35,60,75
Paygap_82_38,72,72
Paygap_83_2,60,40
Paygap_84_2,60,40
Paygap_85_32,60,40
Paygap_86_10,60,40
Paygap_87_15,60,40
Paygap_88_20,60,40
Paygap_89_20,60,40
Paygap_90_22,60,40
Paygap_91_4,60,40
Paygap_92_22,60,40
Paygap_93_9,60,72
Paygap_94_13,60,45
Paygap_95_23,60,40
Paygap_96_11,60,72
Paygap_97_30,60,40
Paygap_98_6,60,40
Paygap_99_7,60,45
Paygap_100_35,60,75
Accidents_1_21,60,80
Accidents_2_9,60,80
Accidents_3_23,60,80
Accidents_4_56,60,80
Accidents_5_72,60,80
Accidents_6_64,60,80
Accidents_7_34,60,80
Accidents_8_70,60,80
Accidents_9_1,80,80
Accidents_10_88,60,80
Accidents_11_37,60,80
Accidents_12_89,60,80
Accidents_13_9,60,80
Accidents_14_53,60,80
Accidents_15_14,60,80
Accidents_16_21,60,80
Accidents_17_89,60,80
Accidents_18_48,60,80
Accidents_19_57,60,80
Accidents_20_98,60,80
Accidents_21_59,60,80
Accidents_22_53,60,80
Accidents_23_66,60,80
Accidents_24_45,60,80
Accidents_25_92,60,80
Accidents_26_48,60,80
Accidents_27_5,60,80
Accidents_28_84,60,80
Accidents_29_69,60,80
Accidents_30_2,60,80
Accidents_31_31,60,80
Accidents_32_78,60,80
Accidents_33_43,60,80
Accidents_34_90,80,80
Accidents_35_34,60,80
Accidents_36_73,60,80
Accidents_37_99,80,80
Accidents_38_90,80,80
Accidents_39_36,60,80
Accidents_40_34,60,80
Accidents_41_6,60,80
Accidents_42_71,60,80
Accidents_43_89,60,80
Accidents_44_19,60,80
Accidents_45_41,60,80
Accidents_46_13,60,80
Accidents_47_52,60,80
Accidents_48_84,60,80
Accidents_49_57,80,80
Accidents_50_67,60,80
Accidents_51_91,60,80
Accidents_52_67,60,80
Accidents_53_45,60,80
Accidents_54_80,60,60
Accidents_55_95,80,80
Accidents_56_55,60,80
Accidents_57_18,60,80
Accidents_58_98,60,80
Accidents_59_78,60,80
Accidents_60_22,60,80
Accidents_61_79,60,80
Accidents_62_62,60,80
Accidents_63_51,60,80
Accidents_64_65,60,80
Accidents_65_94,60,80
Accidents_66_83,60,80
Accidents_67_10,60,80
Accidents_68_85,60,80
Accidents_69_33,60,80
Accidents_70_27,60,80
Accidents_71_67,60,80
Accidents_72_73,60,80
Accidents_73_17,60,80
Accidents_74_35,60,80
Accidents_75_56,60,80
Accidents_76_93,60,80
Accidents_77_26,60,80
Accidents_78_8,60,80
Accidents_79_70,60,80
Accidents_80_25,60,80
Accidents_81_92,60,80
Accidents_82_28,60,80
Accidents_83_34,60,80
Accidents_84_24,60,80
Accidents_85_29,60,80
Accidents_86_36,60,80
Accidents_87_30,60,80
Accidents_88_26,60,80
Accidents_89_3,60,80
Accidents_90_47,60,80
Accidents_91_61,80,80
Accidents_92_70,60,80
Accidents_93_88,60,80
Accidents_94_53,60,80
Accidents_95_51,60,80
Accidents_96_24,60,80
Accidents_97_19,60,80
Accidents_98_48,60,80
Accidents_99_87,60,80
Accidents_100_61,80,80
Rotation_1_41,60,60
Rotation_2_15,60,40
Rotation_3_28,60,40
Rotation_4_62,60,75
Rotation_5_26,60,40
Rotation_6_11,60,40
Rotation_7_90,80,80
Rotation_8_66,60,80
Rotation_9_2,12,20
Rotation_10_87,80,85
Rotation_11_11,60,40
Rotation_12_97,80,80
Rotation_13_3,20,20
Rotation_14_71,60,85
Rotation_15_15,60,40
Rotation_16_35,60,40
Rotation_17_85,60,80
Rotation_18_84,60,80
Rotation_19_31,60,42
Rotation_20_39,60,45
Rotation_21_38,60,72
Rotation_22_42,60,60
Rotation_23_47,60,72
Rotation_24_68,60,72
Rotation_25_34,60,42
Rotation_26_77,60,85
Rotation_27_56,60,72
Rotation_28_26,60,42
Rotation_29_49,60,72
Rotation_30_47,60,72
Rotation_31_25,60,40
Rotation_32_39,60,45
Rotation_33_58,60,72
Rotation_34_90,80,80
Rotation_35_20,60,40
Rotation_36_24,60,42
Rotation_37_80,60,60
Rotation_38_75,60,80
Rotation_39_85,60,80
Rotation_40_87,80,80
Rotation_41_39,60,45
Rotation_42_6,20,20
Rotation_43_86,60,80
Rotation_44_15,60,40
Rotation_45_24,60,42
Rotation_46_76,60,80
Rotation_47_8,60,40
Rotation_48_21,60,40
Rotation_49_92,80,80
Rotation_50_70,60,80
Rotation_51_93,80,80
Rotation_52_53,60,75
Rotation_53_45,60,60
Rotation_54_60,40,80
Rotation_55_29,60,45
Rotation_56_62,60,75
Rotation_57_70,60,80
Rotation_58_2,20,20
Rotation_59_30,60,40
Rotation_60_35,60,40
Rotation_61_29,60,42
Rotation_62_69,60,85
Rotation_63_66,60,80
Rotation_64_80,60,60
Rotation_65_24,60,42
Rotation_66_19,60,40
Rotation_67_57,60,75
Rotation_68_8,60,40
Rotation_69_16,60,40
Rotation_70_9,60,40
Rotation_71_19,60,40
Rotation_72_96,80,80
Rotation_73_65,60,75
Rotation_74_14,60,40
Rotation_75_32,60,40
Rotation_76_81,60,85
Rotation_77_100,80,80
Rotation_78_84,60,80
Rotation_79_33,60,40
Rotation_80_19,60,40
Rotation_81_8,60,40
Rotation_82_14,60,40
Rotation_83_59,60,72
Rotation_84_62,60,75
Rotation_85_35,60,40
