Company_ID,Expert_S_a_practicing_muslim_man,Expert_S_a_practicing_christian_woman
Paygap_1_22,60,60
Paygap_2_35,60,60
Paygap_3_33,60,60
Paygap_4_25,60,60
Paygap_5_18,60,60
Paygap_6_37,60,60
Paygap_7_32,60,60
Paygap_8_7,60,60
Paygap_9_29,60,60
Paygap_10_19,60,60
Paygap_11_17,60,60
Paygap_12_36,60,60
Paygap_13_35,60,60
Paygap_14_11,60,60
Paygap_15_18,60,60
Paygap_16_20,60,60
Paygap_17_24,60,60
Paygap_18_38,60,60
Paygap_19_14,60,60
Paygap_20_3,60,60
Paygap_21_17,60,60
Paygap_22_38,60,60
Paygap_23_10,60,60
Paygap_24_38,60,60
Paygap_25_32,60,60
Paygap_26_11,60,60
Paygap_27_38,60,60
Paygap_28_27,60,60
Paygap_29_15,60,60
Paygap_30_34,60,60
Paygap_31_28,60,60
Paygap_32_20,60,60
Paygap_33_19,60,60
Paygap_34_36,60,60
Paygap_35_8,60,60
Paygap_36_35,60,60
Paygap_37_33,60,60
Paygap_38_11,60,60
Paygap_39_15,60,60
Paygap_40_2,60,60
Paygap_41_24,60,60
Paygap_42_28,60,60
Paygap_43_29,60,60
Paygap_44_28,60,60
Paygap_45_10,60,60
Paygap_46_6,60,60
Paygap_47_5,60,60
Paygap_48_21,60,60
Paygap_49_26,60,60
Paygap_50_6,60,60
Paygap_51_26,60,60
Paygap_52_32,60,60
Paygap_53_28,60,60
Paygap_54_4,60,60
Paygap_55_15,60,60
Paygap_56_29,60,60
Paygap_57_40,60,60
Paygap_58_31,60,67
Paygap_59_2,60,60
Paygap_60_36,60,60
Paygap_61_3,60,60
Paygap_62_34,60,60
Paygap_63_9,60,60
Paygap_64_3,60,60
Paygap_65_32,60,60
Paygap_66_23,60,60
Paygap_67_34,60,60
Paygap_68_11,60,60
Paygap_69_8,60,60
Paygap_70_34,60,60
Paygap_71_9,60,60
Paygap_72_29,60,60
Paygap_73_25,60,60
Paygap_74_32,60,60
Paygap_75_32,60,60
Paygap_76_10,60,60
Paygap_77_22,60,60
Paygap_78_25,60,60
Paygap_79_1,60,60
Paygap_80_15,60,60
Paygap_81_38,60,60
Paygap_82_11,60,60
Paygap_83_15,60,60
Paygap_84_1,60,60
Paygap_85_34,60,60
Paygap_86_23,60,60
Paygap_87_13,60,60
Paygap_88_7,60,60
Paygap_89_6,60,60
Paygap_90_19,60,60
Paygap_91_18,60,60
Paygap_92_32,60,60
Paygap_93_1,60,60
Paygap_94_12,60,60
Paygap_95_13,60,60
Paygap_96_37,60,60
Paygap_97_17,60,60
Paygap_98_22,60,60
Paygap_99_17,60,60
Paygap_100_28,60,60
Accidents_1_39,60,60
Accidents_2_72,60,60
Accidents_3_14,60,60
Accidents_4_91,60,60
Accidents_5_76,60,60
Accidents_6_30,60,60
Accidents_7_1,80,80
Accidents_8_10,80,60
Accidents_9_57,60,60
Accidents_10_15,60,60
Accidents_11_62,60,60
Accidents_12_90,80,60
Accidents_13_2,60,60
Accidents_14_47,60,60
Accidents_15_58,60,80
Accidents_16_17,60,60
Accidents_17_27,60,60
Accidents_18_91,60,60
Accidents_19_61,80,80
Accidents_20_83,60,60
Accidents_21_52,80,60
Accidents_22_13,60,60
Accidents_23_59,60,60
Accidents_24_67,60,60
Accidents_25_45,60,60
Accidents_26_83,60,60
Accidents_27_20,60,60
Accidents_28_76,60,60
Accidents_29_46,60,60
Accidents_30_40,60,60
Accidents_31_79,60,60
Accidents_32_33,60,60
Accidents_33_83,60,60
Accidents_34_33,60,60
Accidents_35_84,60,60
Accidents_36_78,60,60
Accidents_37_37,60,60
Accidents_38_65,60,80
Accidents_39_16,60,60
Accidents_40_85,60,60
Accidents_41_72,60,60
Accidents_42_39,60,60
Accidents_43_24,60,60
Accidents_44_52,60,60
Accidents_45_63,80,80
Accidents_46_15,60,60
Accidents_47_53,60,60
Accidents_48_67,60,60
Accidents_49_50,80,80
Accidents_50_2,60,80
Accidents_51_42,60,60
Accidents_52_35,60,60
Accidents_53_58,60,60
Accidents_54_9,60,60
Accidents_55_16,60,60
Accidents_56_43,60,60
Accidents_57_22,60,60
Accidents_58_15,60,60
Accidents_59_36,60,60
Accidents_60_39,60,60
Accidents_61_31,60,60
Accidents_62_59,60,60
Accidents_63_76,60,60
Accidents_64_93,60,60
Accidents_65_86,60,60
Accidents_66_69,60,60
Accidents_67_76,60,60
Accidents_68_70,60,60
Accidents_69_33,60,60
Accidents_70_98,60,60
Accidents_71_4,60,60
Accidents_72_4,60,60
Accidents_73_54,60,60
Accidents_74_66,80,60
Accidents_75_41,60,60
Accidents_76_71,60,60
Accidents_77_36,60,60
Accidents_78_85,60,60
Accidents_79_99,80,80
Accidents_80_77,60,60
Accidents_81_34,60,60
Accidents_82_91,60,60
Accidents_83_32,60,60
Accidents_84_80,60,60
Accidents_85_15,60,60
Accidents_86_29,60,60
Accidents_87_46,60,60
Accidents_88_46,60,60
Accidents_89_89,60,60
Accidents_90_53,60,60
Accidents_91_60,80,80
Accidents_92_87,60,60
Accidents_93_86,60,60
Accidents_94_96,80,80
Accidents_95_81,60,60
Accidents_96_47,60,60
Accidents_97_34,60,60
Accidents_98_60,80,80
Accidents_99_54,60,60
Accidents_100_4,60,60
Rotation_1_67,60,60
Rotation_2_25,60,60
Rotation_3_84,60,60
Rotation_4_90,80,80
Rotation_5_33,60,60
Rotation_6_10,60,60
Rotation_7_66,60,60
Rotation_8_53,60,60
Rotation_9_80,60,60
Rotation_10_15,60,60
Rotation_11_73,60,60
Rotation_12_49,60,60
Rotation_13_76,60,60
Rotation_14_81,60,60
Rotation_15_29,60,60
Rotation_16_55,60,60
Rotation_17_75,60,60
Rotation_18_32,60,60
Rotation_19_59,60,60
Rotation_20_10,60,60
Rotation_21_5,20,20
Rotation_22_65,60,60
Rotation_23_48,60,60
Rotation_24_70,60,60
Rotation_25_93,80,80
Rotation_26_61,60,60
Rotation_27_35,60,60
Rotation_28_64,60,60
Rotation_29_32,60,60
Rotation_30_85,60,60
Rotation_31_51,60,60
Rotation_32_16,60,60
Rotation_33_2,20,20
Rotation_34_17,60,60
Rotation_35_43,60,60
Rotation_36_45,60,60
Rotation_37_76,60,60
Rotation_38_17,60,60
Rotation_39_35,60,60
Rotation_40_63,60,60
Rotation_41_39,60,60
Rotation_42_59,60,60
Rotation_43_62,60,60
Rotation_44_92,80,80
Rotation_45_98,80,80
Rotation_46_77,60,60
Rotation_47_53,60,60
Rotation_48_7,60,60
Rotation_49_42,60,60
Rotation_50_93,80,80
Rotation_51_18,60,60
Rotation_52_17,60,60
Rotation_53_9,60,60
Rotation_54_32,60,60
Rotation_55_39,60,60
Rotation_56_4,20,20
Rotation_57_98,80,80
Rotation_58_10,60,60
Rotation_59_23,60,60
Rotation_60_70,60,60
Rotation_61_59,60,60
Rotation_62_23,60,60
Rotation_63_63,60,60
Rotation_64_74,60,60
Rotation_65_11,60,60
Rotation_66_64,60,60
Rotation_67_59,60,60
Rotation_68_77,60,60
Rotation_69_9,60,60
Rotation_70_32,60,60
Rotation_71_77,60,60
Rotation_72_26,60,60
Rotation_73_73,60,60
Rotation_74_70,60,60
Rotation_75_17,60,60
Rotation_76_79,60,60
Rotation_77_45,60,60
Rotation_78_8,60,60
Rotation_79_75,60,60
Rotation_80_40,60,60
Rotation_81_20,60,60
Rotation_82_69,60,60
Rotation_83_10,60,60
Rotation_84_56,60,60
Rotation_85_34,60,60
Rotation_86_91,80,80
Rotation_87_83,60,60
Rotation_88_30,60,60
Rotation_89_84,60,60
Rotation_90_88,60,60
Rotation_91_1,20,20
Rotation_92_23,60,60
Rotation_93_61,60,60
Rotation_94_76,60,60
Rotation_95_66,60,60
Rotation_96_55,60,60
Rotation_97_46,60,60
Rotation_98_49,60,60
Rotation_99_49,60,60
Rotation_100_96,80,80
