Company_ID,Expert_S_a_25-year-old_practicing_muslim_man,Expert_S_a_60-year-old_practicing_christian_woman
Paygap_1_29,60,75
Paygap_2_14,60,72
Paygap_3_5,60,40
Paygap_4_13,60,45
Paygap_5_28,60,72
Paygap_6_5,60,40
Paygap_7_38,60,72
Paygap_8_23,60,40
Paygap_9_31,60,75
Paygap_10_36,60,72
Paygap_11_13,60,45
Paygap_12_20,60,40
Paygap_13_5,60,40
Paygap_14_29,60,75
Paygap_15_40,60,60
Paygap_16_14,60,72
Paygap_17_35,60,75
Paygap_18_16,60,72
Paygap_19_3,60,40
Paygap_20_28,60,72
Paygap_21_38,60,72
Paygap_22_3,60,40
Paygap_23_2,60,40
Paygap_24_25,60,40
Paygap_25_35,60,75
Paygap_26_10,60,40
Paygap_27_19,60,72
Paygap_28_7,60,40
Paygap_29_5,60,40
Paygap_30_33,60,75
Paygap_31_7,60,40
Paygap_32_29,60,75
Paygap_33_25,60,75
Paygap_34_34,60,60
Paygap_35_14,60,72
Paygap_36_28,60,72
Paygap_37_22,60,40
Paygap_38_27,60,75
Paygap_39_20,60,40
Paygap_40_4,60,40
Paygap_41_16,60,72
Paygap_42_4,60,72
Paygap_43_34,60,72
Paygap_44_32,60,75
Paygap_45_39,60,75
Paygap_46_16,60,72
Paygap_47_26,60,72
Paygap_48_36,60,72
Paygap_49_31,60,75
Paygap_50_9,60,72
Paygap_51_29,60,75
Paygap_52_33,60,75
Paygap_53_39,60,75
Paygap_54_2,60,40
Paygap_55_39,60,75
Paygap_56_15,60,40
Paygap_57_32,60,40
Paygap_58_29,60,75
Paygap_59_33,60,75
Paygap_60_12,60,40
Paygap_61_11,60,72
Paygap_62_26,60,72
Paygap_63_30,60,60
Paygap_64_29,60,75
Paygap_65_2,60,40
Paygap_66_34,60,72
Paygap_67_4,60,40
Paygap_68_39,60,75
Paygap_69_9,60,72
Paygap_70_34,60,72
Paygap_71_16,60,72
Paygap_72_4,60,40
Paygap_73_30,60,60
Paygap_74_38,60,72
Paygap_75_30,60,60
Paygap_76_20,60,40
Paygap_77_1,60,40
Paygap_78_2,60,40
Paygap_79_19,60,72
Paygap_80_5,60,40
Paygap_81_27,60,40
Paygap_82_17,60,75
Paygap_83_25,60,40
Paygap_84_22,60,40
Paygap_85_34,60,72
Paygap_86_20,60,40
Paygap_87_1,60,40
Paygap_88_34,60,60
Paygap_89_7,60,40
Paygap_90_31,60,75
Paygap_91_24,60,60
Paygap_92_32,60,75
Paygap_93_8,60,72
Paygap_94_30,60,70
Paygap_95_36,60,72
Paygap_96_27,60,60
Paygap_97_12,60,40
Paygap_98_32,60,75
Paygap_99_12,60,40
Paygap_100_26,60,72
Accidents_1_94,60,80
Accidents_2_57,60,80
Accidents_3_48,60,80
Accidents_4_77,60,80
Accidents_5_34,60,80
Accidents_6_39,60,80
Accidents_7_83,60,80
Accidents_8_72,60,80
Accidents_9_79,60,80
Accidents_10_20,60,80
Accidents_11_47,60,80
Accidents_12_21,60,80
Accidents_13_94,60,80
Accidents_14_51,60,80
Accidents_15_19,60,80
Accidents_16_82,60,80
Accidents_17_47,60,80
Accidents_18_99,80,80
Accidents_19_61,80,80
Accidents_20_60,80,80
Accidents_21_17,60,80
Accidents_22_17,60,80
Accidents_23_76,60,80
Accidents_24_78,60,80
Accidents_25_47,60,80
Accidents_26_89,60,80
Accidents_27_20,60,80
Accidents_28_44,60,80
Accidents_29_31,60,80
Accidents_30_45,60,80
Accidents_31_40,60,80
Accidents_32_39,60,80
Accidents_33_92,60,80
Accidents_34_79,60,80
Accidents_35_12,60,80
Accidents_36_59,60,80
Accidents_37_11,60,80
Accidents_38_20,60,80
Accidents_39_67,60,80
Accidents_40_39,60,80
Accidents_41_64,60,80
Accidents_42_15,60,80
Accidents_43_80,60,80
Accidents_44_86,60,80
Accidents_45_49,60,80
Accidents_46_51,60,80
Accidents_47_46,60,80
Accidents_48_35,60,80
Accidents_49_97,80,80
Accidents_50_33,60,80
Accidents_51_68,60,80
Accidents_52_53,60,80
Accidents_53_37,60,80
Accidents_54_16,60,80
Accidents_55_29,60,80
Accidents_56_86,60,80
Accidents_57_3,60,80
Accidents_58_24,60,80
Accidents_59_83,60,80
Accidents_60_11,60,80
Accidents_61_78,60,80
Accidents_62_85,60,80
Accidents_63_53,60,80
Accidents_64_84,60,80
Accidents_65_31,60,80
Accidents_66_56,60,80
Accidents_67_77,60,80
Accidents_68_63,80,80
Accidents_69_74,60,80
Accidents_70_71,60,80
Accidents_71_4,60,80
Accidents_72_68,60,80
Accidents_73_53,60,80
Accidents_74_5,60,80
Accidents_75_83,60,80
Accidents_76_15,60,80
Accidents_77_91,60,80
Accidents_78_50,60,80
Accidents_79_47,60,80
Accidents_80_52,60,80
Accidents_81_31,60,80
Accidents_82_11,60,80
Accidents_83_27,60,80
Accidents_84_62,60,80
Accidents_85_80,60,80
Accidents_86_33,60,80
Accidents_87_1,80,80
Accidents_88_95,60,80
Accidents_89_47,60,80
Accidents_90_65,60,80
Accidents_91_30,60,80
Accidents_92_91,60,80
Accidents_93_50,80,80
Accidents_94_56,60,80
Accidents_95_6,60,80
Accidents_96_60,80,80
Accidents_97_56,60,80
Accidents_98_48,60,80
Accidents_99_91,60,80
Accidents_100_36,60,80
Rotation_1_7,60,30
Rotation_2_93,80,80
Rotation_3_96,80,80
Rotation_4_61,60,75
Rotation_5_69,60,85
Rotation_6_32,60,40
Rotation_7_61,60,75
Rotation_8_10,60,40
Rotation_9_82,60,80
Rotation_10_28,60,40
Rotation_11_97,80,80
Rotation_12_96,80,80
Rotation_13_8,60,40
Rotation_14_77,60,80
Rotation_15_31,60,40
Rotation_16_3,20,20
Rotation_17_6,20,20
Rotation_18_38,60,72
Rotation_19_72,60,80
Rotation_20_29,60,40
Rotation_21_31,60,40
Rotation_22_41,60,60
Rotation_23_62,60,80
Rotation_24_78,60,80
Rotation_25_26,60,40
Rotation_26_90,80,80
Rotation_27_9,60,40
Rotation_28_97,80,80
Rotation_29_53,60,60
Rotation_30_40,60,60
Rotation_31_2,20,20
Rotation_32_12,60,40
Rotation_33_16,60,40
Rotation_34_11,60,30
Rotation_35_98,80,80
Rotation_36_15,60,40
Rotation_37_32,60,40
Rotation_38_59,60,40
Rotation_39_93,80,80
Rotation_40_32,60,40
Rotation_41_46,60,72
Rotation_42_40,60,60
Rotation_43_18,60,40
Rotation_44_14,60,40
Rotation_45_46,60,72
Rotation_46_94,80,80
Rotation_47_47,60,60
Rotation_48_17,60,40
Rotation_49_95,80,80
Rotation_50_73,60,60
Rotation_51_4,20,20
Rotation_52_5,20,20
Rotation_53_100,80,80
Rotation_54_44,60,60
Rotation_55_42,60,60
Rotation_56_32,60,40
Rotation_57_13,60,40
Rotation_58_93,80,80
Rotation_59_47,60,60
Rotation_60_24,60,40
Rotation_61_47,60,60
Rotation_62_5,20,20
Rotation_63_85,60,80
Rotation_64_2,20,20
Rotation_65_55,60,60
Rotation_66_12,60,40
Rotation_67_23,60,40
Rotation_68_3,20,20
Rotation_69_80,60,60
Rotation_70_91,80,80
Rotation_71_2,20,20
Rotation_72_92,80,80
Rotation_73_24,60,40
Rotation_74_32,60,40
Rotation_75_100,80,80
Rotation_76_52,60,60
Rotation_77_72,60,80
Rotation_78_88,60,80
Rotation_79_22,60,40
Rotation_80_32,60,40
Rotation_81_60,40,80
Rotation_82_71,60,85
Rotation_83_88,60,80
Rotation_84_20,60,40
Rotation_85_35,60,40
Rotation_86_83,60,80
Rotation_87_96,80,80
Rotation_88_66,60,80
Rotation_89_28,60,40
Rotation_90_95,80,80
Rotation_91_24,60,40
Rotation_92_87,60,80
Rotation_93_55,60,60
Rotation_94_20,60,40
Rotation_95_27,60,40
Rotation_96_45,60,60
Rotation_97_29,60,40
Rotation_98_22,60,40
Rotation_99_61,60,85
Rotation_100_23,60,40
