Company_ID,Expert_E_a_man,Expert_E_a_woman
Carbon_1_12,64,64
Carbon_2_84,71,71
Carbon_3_72,71,71
Carbon_4_87,71,71
Carbon_5_96,96,96
Carbon_6_16,64,64
Carbon_7_30,71,71
Carbon_8_23,64,64
Carbon_9_78,71,71
Carbon_10_68,71,71
Carbon_11_18,64,64
Carbon_12_91,91,91
Carbon_13_31,71,64
Carbon_14_45,71,71
Carbon_15_52,71,71
Carbon_16_41,71,71
Carbon_17_37,71,71
Carbon_18_5,51,51
Carbon_19_70,81,81
Carbon_20_92,92,92
Carbon_21_16,64,64
Carbon_22_44,71,71
Carbon_23_26,64,64
Carbon_24_40,71,71
Carbon_25_62,71,71
Carbon_26_100,100,100
Carbon_27_48,71,71
Carbon_28_81,81,81
Carbon_29_100,100,100
Carbon_30_20,61,71
Carbon_31_73,71,71
Carbon_32_43,71,71
Carbon_33_6,64,51
Carbon_34_53,71,71
Carbon_35_97,97,97
Carbon_36_25,71,71
Carbon_37_48,71,71
Carbon_38_22,64,64
Carbon_39_100,100,100
Carbon_40_6,64,51
Carbon_41_19,64,64
Carbon_42_2,51,51
Carbon_43_4,51,51
Carbon_44_73,71,71
Carbon_45_57,71,71
Carbon_46_72,71,71
Carbon_47_98,98,98
Carbon_48_27,64,64
Carbon_49_89,71,71
Carbon_50_89,71,71
Carbon_51_98,98,98
Carbon_52_96,96,96
Carbon_53_74,71,74
Carbon_54_13,64,64
Carbon_55_44,71,71
Carbon_56_34,71,71
Carbon_57_53,71,71
Carbon_58_22,64,64
Carbon_59_75,71,71
Carbon_60_17,64,64
Carbon_61_55,71,71
Carbon_62_93,71,71
Carbon_63_8,51,51
Carbon_64_25,71,71
Carbon_65_26,64,64
Carbon_66_89,71,71
Carbon_67_5,51,51
Carbon_68_36,71,71
Carbon_69_43,71,71
Carbon_70_31,71,71
Carbon_71_79,71,71
Carbon_72_56,71,71
Carbon_73_8,51,51
Carbon_74_76,71,71
Carbon_75_31,64,64
Carbon_76_69,71,71
Carbon_77_79,71,71
Carbon_78_34,71,71
Carbon_79_18,64,64
Carbon_80_87,71,71
Carbon_81_23,64,64
Carbon_82_65,71,71
Carbon_83_49,71,71
Carbon_84_20,61,71
Carbon_85_29,64,64
Carbon_86_74,71,74
Carbon_87_62,71,71
Carbon_88_83,71,71
Carbon_89_6,64,51
Carbon_90_8,51,51
Carbon_91_54,71,71
Carbon_92_5,51,51
Carbon_93_92,92,92
Carbon_94_32,71,71
Carbon_95_58,71,71
Carbon_96_2,51,51
Carbon_97_21,64,64
Carbon_98_68,71,71
Carbon_99_8,51,51
Carbon_100_57,71,71
Trees_1_521702,64,64
Trees_2_475345,64,64
Trees_3_96708,64,64
Trees_4_251531,64,64
Trees_5_500261,64,64
Trees_6_68847,51,51
Trees_7_57731,64,64
Trees_8_393460,64,64
Trees_9_506782,64,64
Trees_10_827322,64,64
Trees_11_848520,64,64
Trees_12_587718,64,64
Trees_13_297292,64,64
Trees_14_479798,64,64
Trees_15_37550,64,64
Trees_16_281477,64,64
Trees_17_293867,64,64
Trees_18_655318,64,64
Trees_19_322032,64,64
Trees_20_90272,64,64
Trees_21_129129,64,64
Trees_22_625313,64,64
Trees_23_829944,64,64
Trees_24_281171,64,64
Trees_25_313120,64,64
Trees_26_607558,64,64
Trees_27_581773,64,64
Trees_28_63735,64,64
Trees_29_503748,64,64
Trees_30_482418,64,64
Trees_31_722541,64,64
Trees_32_560415,64,64
Trees_33_136761,64,64
Trees_34_359159,64,64
Trees_35_528729,64,64
Trees_36_54358,64,64
Trees_37_632299,64,64
Trees_38_273621,64,64
Trees_39_888496,64,64
Trees_40_103298,64,64
Trees_41_740932,64,64
Trees_42_453054,64,64
Trees_43_852678,64,64
Trees_44_866121,64,64
Trees_45_403434,64,64
Trees_46_898627,64,64
Trees_47_944685,64,64
Trees_48_449315,64,64
Trees_49_546437,64,64
Trees_50_82767,64,64
Trees_51_312276,64,64
Trees_52_232461,64,64
Trees_53_432982,64,64
Trees_54_451360,64,64
Trees_55_874063,64,64
Trees_56_185806,64,64
Trees_57_389422,64,64
Trees_58_775217,64,64
Trees_59_308431,64,64
Trees_60_987425,64,64
Trees_61_380539,64,64
Trees_62_885843,64,64
Trees_63_95141,64,64
Trees_64_804876,64,64
Trees_65_429556,64,64
Trees_66_566987,64,64
Trees_67_294887,64,51
Trees_68_82827,64,64
Trees_69_873026,64,64
Trees_70_612633,64,64
Trees_71_797196,64,64
Trees_72_211381,64,64
Trees_73_868309,64,51
Trees_74_241407,64,64
Trees_75_511186,64,64
Trees_76_46189,64,64
Trees_77_872870,64,64
Trees_78_376890,64,64
Trees_79_832812,64,64
Trees_80_307759,64,64
Trees_81_188517,64,64
Trees_82_263530,64,64
Trees_83_278137,64,64
Trees_84_618673,64,64
Trees_85_452375,64,64
Trees_86_121102,64,64
Trees_87_868663,64,64
Trees_88_326206,64,64
Trees_89_803132,64,64
Trees_90_178017,64,64
Trees_91_603888,64,64
Trees_92_32299,64,64
Trees_93_411761,64,64
Trees_94_999270,64,64
Trees_95_64341,64,64
Trees_96_216539,64,64
Trees_97_810037,64,64
Trees_98_168479,64,64
Trees_99_577880,64,64
Trees_100_288324,51,51
Renewable_1_54,54,54
Renewable_2_67,67,67
Renewable_3_95,95,95
Renewable_4_85,85,85
Renewable_5_59,59,59
Renewable_6_72,72,72
Renewable_7_27,27,27
Renewable_8_4,31,31
Renewable_9_37,37,37
Renewable_10_66,66,66
Renewable_11_62,62,62
Renewable_12_88,88,88
Renewable_13_13,13,13
Renewable_14_34,34,34
Renewable_15_56,56,56
Renewable_16_43,43,43
Renewable_17_88,88,88
Renewable_18_16,16,16
Renewable_19_4,31,31
Renewable_20_83,83,83
Renewable_21_57,57,57
Renewable_22_3,31,31
Renewable_23_64,64,64
Renewable_24_38,38,38
Renewable_25_72,72,72
Renewable_26_55,55,55
Renewable_27_85,85,85
Renewable_28_48,48,48
Renewable_29_79,79,79
Renewable_30_66,66,66
Renewable_31_20,20,20
Renewable_32_95,95,95
Renewable_33_27,27,27
Renewable_34_19,19,19
Renewable_35_51,51,51
Renewable_36_55,55,55
Renewable_37_8,31,31
Renewable_38_37,37,37
Renewable_39_70,70,70
Renewable_40_89,89,89
Renewable_41_25,25,25
Renewable_42_79,79,79
Renewable_43_77,77,77
Renewable_44_62,62,62
Renewable_45_91,91,91
Renewable_46_15,15,15
Renewable_47_76,76,76
Renewable_48_44,44,44
Renewable_49_93,93,93
Renewable_50_58,58,58
Renewable_51_26,26,26
Renewable_52_44,44,44
Renewable_53_99,99,99
Renewable_54_53,53,53
Renewable_55_76,76,76
Renewable_56_17,17,17
Renewable_57_76,76,76
Renewable_58_97,97,97
Renewable_59_33,33,33
Renewable_60_86,86,86
Renewable_61_58,58,58
Renewable_62_52,52,52
Renewable_63_91,91,91
Renewable_64_73,73,73
Renewable_65_12,12,12
Renewable_66_2,40,40
Renewable_67_66,66,66
Renewable_68_99,99,99
Renewable_69_61,61,61
Renewable_70_65,65,65
Renewable_71_17,17,17
Renewable_72_2,40,40
Renewable_73_25,25,25
Renewable_74_32,32,32
Renewable_75_40,40,40
Renewable_76_16,16,16
Renewable_77_59,59,59
Renewable_78_81,81,81
Renewable_79_16,16,16
Renewable_80_43,43,43
Renewable_81_10,40,40
Renewable_82_83,83,83
Renewable_83_3,31,31
Renewable_84_68,68,68
Renewable_85_47,47,47
Renewable_86_56,56,56
Renewable_87_32,32,32
Renewable_88_27,27,27
Renewable_89_43,43,43
Renewable_90_24,24,24
Renewable_91_39,39,39
Renewable_92_45,45,45
Renewable_93_34,34,34
Renewable_94_40,40,40
Renewable_95_33,33,33
Renewable_96_23,23,23
Renewable_97_61,61,61
Renewable_98_75,75,75
Renewable_99_92,92,92
Renewable_100_92,92,92
