Company_ID,Expert_E_a_practicing_muslim,Expert_E_a_practicing_christian
Carbon_1_91,91,91
Carbon_2_65,71,71
Carbon_3_80,81,81
Carbon_4_29,71,64
Carbon_5_3,51,51
Carbon_6_7,51,51
Carbon_7_31,71,64
Carbon_8_90,71,71
Carbon_9_61,71,71
Carbon_10_51,71,71
Carbon_11_84,71,71
Carbon_12_100,100,100
Carbon_13_26,71,64
Carbon_14_33,71,71
Carbon_15_93,93,71
Carbon_16_11,64,64
Carbon_17_77,71,71
Carbon_18_1,41,41
Carbon_19_4,51,51
Carbon_20_64,71,71
Carbon_21_71,71,71
Carbon_22_21,64,64
Carbon_23_75,71,71
Carbon_24_55,71,71
Carbon_25_85,71,71
Carbon_26_48,71,71
Carbon_27_77,71,71
Carbon_28_94,94,94
Carbon_29_35,71,71
Carbon_30_37,71,71
Carbon_31_88,71,71
Carbon_32_62,71,71
Carbon_33_66,71,71
Carbon_34_70,81,71
Carbon_35_63,71,71
Carbon_36_65,71,71
Carbon_37_48,71,71
Carbon_38_85,71,71
Carbon_39_38,71,71
Carbon_40_81,81,81
Carbon_41_50,71,71
Carbon_42_80,71,81
Carbon_43_31,71,64
Carbon_44_98,98,98
Carbon_45_84,71,71
Carbon_46_50,71,71
Carbon_47_13,64,64
Carbon_48_9,64,64
Carbon_49_37,71,71
Carbon_50_95,71,71
Carbon_51_99,99,99
Carbon_52_52,71,71
Carbon_53_60,71,71
Carbon_54_97,97,97
Carbon_55_19,64,64
Carbon_56_66,71,71
Carbon_57_73,71,71
Carbon_58_68,71,71
Carbon_59_65,71,71
Carbon_60_94,94,94
Carbon_61_10,51,51
Carbon_62_13,64,64
Carbon_63_1,41,41
Carbon_64_32,71,71
Carbon_65_70,81,71
Carbon_66_71,71,71
Carbon_67_85,71,71
Carbon_68_23,64,64
Carbon_69_2,51,51
Carbon_70_78,71,71
Carbon_71_36,71,71
Carbon_72_28,71,64
Carbon_73_98,98,98
Carbon_74_90,71,71
Carbon_75_80,81,81
Carbon_76_39,71,71
Carbon_77_97,97,97
Carbon_78_68,71,71
Carbon_79_39,71,71
Carbon_80_1,41,41
Carbon_81_97,97,97
Carbon_82_94,94,94
Carbon_83_31,71,64
Carbon_84_78,71,71
Carbon_85_79,71,71
Carbon_86_31,71,71
Carbon_87_50,71,71
Carbon_88_47,71,71
Carbon_89_43,71,71
Carbon_90_21,64,64
Carbon_91_55,71,71
Carbon_92_18,64,64
Carbon_93_38,71,71
Carbon_94_95,98,71
Carbon_95_49,71,71
Carbon_96_96,96,96
Carbon_97_48,71,71
Carbon_98_41,71,71
Carbon_99_45,71,71
Carbon_100_88,71,71
Trees_1_789913,64,64
Trees_2_598628,64,64
Trees_3_419759,64,64
Trees_4_615981,64,64
Trees_5_257807,64,64
Trees_6_53634,64,64
Trees_7_733076,64,64
Trees_8_574594,64,64
Trees_9_515723,64,64
Trees_10_113398,64,64
Trees_11_207551,64,64
Trees_12_859163,64,64
Trees_13_599589,64,64
Trees_14_930703,64,64
Trees_15_473626,64,64
Trees_16_55055,64,64
Trees_17_568603,64,64
Trees_18_899407,64,64
Trees_19_377494,64,64
Trees_20_761824,64,64
Trees_21_230556,64,64
Trees_22_584073,64,64
Trees_23_573169,64,64
Trees_24_790611,64,64
Trees_25_554716,64,64
Trees_26_191843,64,64
Trees_27_68884,51,51
Trees_28_212600,64,64
Trees_29_892356,51,64
Trees_30_617035,64,64
Trees_31_902055,64,64
Trees_32_620183,64,64
Trees_33_210531,64,64
Trees_34_323587,64,64
Trees_35_860544,64,64
Trees_36_314553,64,64
Trees_37_815421,64,64
Trees_38_690965,64,64
Trees_39_271727,64,64
Trees_40_845224,64,64
Trees_41_61400,64,64
Trees_42_472546,64,64
Trees_43_526141,64,64
Trees_44_106585,64,64
Trees_45_546599,64,64
Trees_46_550716,64,64
Trees_47_77066,64,64
Trees_48_170086,64,64
Trees_49_911990,64,64
Trees_50_354138,64,64
Trees_51_564120,64,64
Trees_52_48352,64,64
Trees_53_695097,64,64
Trees_54_63018,51,64
