Company_ID,Expert_E_a_25-year-old,Expert_E_a_60-year-old
Carbon_1_12,64,64
Carbon_2_46,71,71
Carbon_3_75,71,71
Carbon_4_48,71,71
Carbon_5_9,64,64
Carbon_6_58,71,71
Carbon_7_29,64,64
Carbon_8_59,71,71
Carbon_9_99,99,99
Carbon_10_66,71,71
Carbon_11_86,71,71
Carbon_12_38,71,71
Carbon_13_7,51,51
Carbon_14_15,64,64
Carbon_15_100,100,100
Carbon_16_55,71,71
Carbon_17_14,64,64
Carbon_18_56,71,71
Carbon_19_92,92,92
Carbon_20_32,71,71
Carbon_21_68,71,71
Carbon_22_9,64,64
Carbon_23_38,71,71
Carbon_24_33,71,71
Carbon_25_11,64,64
Carbon_26_16,64,64
Carbon_27_85,71,71
Carbon_28_94,94,94
Carbon_29_59,71,71
Carbon_30_61,71,71
Carbon_31_33,71,71
Carbon_32_48,71,71
Carbon_33_41,71,71
Carbon_34_79,71,71
Carbon_35_62,71,71
Carbon_36_96,96,96
Carbon_37_18,64,64
Carbon_38_45,71,71
Carbon_39_63,71,71
Carbon_40_27,64,64
Carbon_41_70,71,71
Carbon_42_11,64,64
Carbon_43_24,64,71
Carbon_44_30,71,71
Carbon_45_69,71,71
Carbon_46_39,71,71
Carbon_47_57,71,71
Carbon_48_70,71,71
Carbon_49_100,100,100
Carbon_50_56,71,71
Carbon_51_71,71,71
Carbon_52_56,71,71
Carbon_53_26,71,64
Carbon_54_69,71,71
Carbon_55_7,51,51
Carbon_56_66,71,71
Carbon_57_14,64,64
Carbon_58_80,71,71
Carbon_59_51,71,71
Carbon_60_77,71,71
Carbon_61_42,71,71
Carbon_62_9,64,64
Carbon_63_38,71,71
Carbon_64_70,71,71
Carbon_65_50,71,71
Carbon_66_12,64,64
Carbon_67_74,71,71
Carbon_68_16,64,64
Carbon_69_46,71,71
Carbon_70_59,71,71
Carbon_71_88,71,71
Carbon_72_61,71,71
Carbon_73_37,71,71
Carbon_74_50,71,71
Carbon_75_53,71,71
Carbon_76_91,91,91
Carbon_77_86,71,71
Carbon_78_70,71,71
Carbon_79_74,71,71
Carbon_80_47,71,71
Carbon_81_46,71,71
Carbon_82_60,71,71
Carbon_83_49,71,71
Carbon_84_52,71,71
Carbon_85_37,71,71
Carbon_86_70,71,71
Carbon_87_58,71,71
Carbon_88_42,71,71
Carbon_89_36,71,71
Carbon_90_31,71,71
Carbon_91_9,64,64
Carbon_92_32,71,71
Carbon_93_67,71,71
Carbon_94_32,71,71
Carbon_95_9,64,64
Carbon_96_100,100,100
Carbon_97_8,51,51
Carbon_98_31,64,71
Carbon_99_19,64,64
Carbon_100_97,97,97
Trees_1_16419,64,64
Trees_2_877355,64,64
Trees_3_165216,64,64
Trees_4_205642,64,64
Trees_5_914837,64,64
Trees_6_193273,51,64
Trees_7_361853,64,64
Trees_8_806473,64,64
Trees_9_426359,64,64
Trees_10_684872,51,51
Trees_11_690394,51,51
Trees_12_681923,43,43
Trees_13_6036,43,43
Trees_14_674028,64,64
Trees_15_294432,64,64
Trees_16_611198,64,64
Trees_17_580530,64,64
Trees_18_237985,51,51
Trees_19_515038,64,64
Trees_20_34157,64,64
Trees_21_849668,64,64
Trees_22_853897,64,64
Trees_23_224101,64,64
Trees_24_906551,64,64
Trees_25_916242,64,64
Trees_26_181591,64,64
Trees_27_415164,64,64
Trees_28_350412,64,64
Trees_29_976792,64,64
Trees_30_545878,64,64
Trees_31_756955,64,64
Trees_32_34087,64,64
Trees_33_680471,64,64
Trees_34_576995,64,64
Trees_35_732539,64,64
Trees_36_23656,51,51
Trees_37_868533,64,64
Trees_38_875579,64,64
Trees_39_940609,64,64
Trees_40_934804,64,64
Trees_41_373794,64,64
Trees_42_998505,64,64
Trees_43_334935,64,64
Trees_44_234390,51,64
Trees_45_964506,64,64
Trees_46_257660,64,64
Trees_47_355921,64,64
Trees_48_277874,64,51
Trees_49_415080,64,64
Trees_50_326279,64,64
Trees_51_415357,64,64
Trees_52_172502,64,64
Trees_53_367662,64,64
Trees_54_61104,64,43
Trees_55_523981,64,64
Trees_56_187635,64,64
Trees_57_262409,64,64
Trees_58_469691,64,64
Trees_59_213382,51,64
Trees_60_834642,64,64
Trees_61_978861,64,64
Trees_62_9448,64,64
Trees_63_8729,43,43
Trees_64_219253,64,64
Trees_65_298965,64,64
Trees_66_294126,64,64
Trees_67_597630,64,64
Trees_68_96558,64,64
Trees_69_57502,64,64
Trees_70_73425,64,64
Trees_71_708269,64,64
Trees_72_167158,64,64
