Company_ID,Expert_E_a_25-year-old_practicing_muslim,Expert_E_a_60-year-old_practicing_christian
Carbon_1_71,71,71
Carbon_2_72,71,71
Carbon_3_13,64,64
Carbon_4_83,71,71
Carbon_5_88,71,71
Carbon_6_74,74,74
Carbon_7_24,64,64
Carbon_8_44,71,71
Carbon_9_35,71,71
Carbon_10_30,71,71
Carbon_11_62,71,71
Carbon_12_20,71,71
Carbon_13_16,64,64
Carbon_14_75,71,71
Carbon_15_49,71,71
Carbon_16_83,71,71
Carbon_17_19,64,64
Carbon_18_69,71,71
Carbon_19_63,71,71
Carbon_20_29,64,71
Carbon_21_94,94,94
Carbon_22_71,71,71
Carbon_23_30,71,71
Carbon_24_99,99,99
Carbon_25_46,71,71
Carbon_26_58,71,71
Carbon_27_17,64,64
Carbon_28_61,71,71
Carbon_29_83,71,71
Carbon_30_72,71,71
Carbon_31_84,71,71
Carbon_32_67,71,71
Carbon_33_18,64,64
Carbon_34_58,71,71
Carbon_35_38,71,71
Carbon_36_57,71,71
Carbon_37_23,64,64
Carbon_38_64,71,71
Carbon_39_92,92,92
Carbon_40_8,51,51
Carbon_41_16,64,64
Carbon_42_45,71,71
Carbon_43_64,71,71
Carbon_44_26,71,64
Carbon_45_89,71,71
Carbon_46_71,71,71
Carbon_47_13,64,64
Carbon_48_80,71,71
Carbon_49_38,71,71
Carbon_50_46,71,71
Carbon_51_40,71,71
Carbon_52_12,64,64
Carbon_53_3,51,51
Carbon_54_67,71,71
Carbon_55_81,81,81
Carbon_56_3,51,51
Carbon_57_52,71,71
Carbon_58_72,71,71
Carbon_59_94,94,94
Carbon_60_40,71,71
Carbon_61_47,71,71
Carbon_62_50,71,71
Carbon_63_42,71,71
Carbon_64_41,71,71
Carbon_65_45,71,71
Carbon_66_94,94,94
Carbon_67_63,71,71
Carbon_68_52,71,71
Carbon_69_40,71,71
Carbon_70_43,71,71
Carbon_71_57,71,71
Carbon_72_13,64,64
Carbon_73_71,71,71
Carbon_74_7,51,51
Carbon_75_99,99,99
Carbon_76_5,51,51
Carbon_77_100,100,100
Carbon_78_9,64,64
Carbon_79_57,71,71
Carbon_80_53,71,71
Carbon_81_83,71,71
Carbon_82_87,87,71
Carbon_83_57,71,71
Carbon_84_16,64,64
Carbon_85_93,71,71
Carbon_86_16,64,64
Carbon_87_45,71,71
Carbon_88_92,92,92
Carbon_89_45,71,71
Carbon_90_30,71,71
Carbon_91_51,71,71
Carbon_92_59,71,71
Carbon_93_53,71,71
Carbon_94_33,71,71
Carbon_95_33,71,71
Carbon_96_73,71,71
Carbon_97_21,64,64
Carbon_98_96,96,96
Carbon_99_94,94,94
Carbon_100_77,71,71
Trees_1_822643,64,64
Trees_2_62940,64,64
Trees_3_958043,64,64
Trees_4_589418,64,64
Trees_5_530733,64,64
Trees_6_569687,64,64
