Company_ID,Expert_E_a_25-year-old_man,Expert_E_a_60-year-old_woman
Carbon_1_71,71,71
Carbon_2_93,71,71
Carbon_3_30,71,71
Carbon_4_90,71,71
Carbon_5_85,71,71
Carbon_6_76,71,71
Carbon_7_65,71,71
Carbon_8_13,64,64
Carbon_9_31,64,71
Carbon_10_84,71,71
Carbon_11_99,99,99
Carbon_12_93,71,71
Carbon_13_42,71,71
Carbon_14_48,71,71
Carbon_15_79,71,71
Carbon_16_65,71,71
Carbon_17_22,64,64
Carbon_18_44,71,71
Carbon_19_83,71,71
Carbon_20_92,92,92
Carbon_21_55,71,71
Carbon_22_79,71,71
Carbon_23_90,71,71
Carbon_24_76,71,71
Carbon_25_32,71,71
Carbon_26_51,71,71
Carbon_27_25,71,71
Carbon_28_14,64,64
Carbon_29_35,71,71
Carbon_30_41,71,71
Carbon_31_7,51,51
Carbon_32_26,64,71
Carbon_33_56,71,71
Carbon_34_53,71,71
Carbon_35_13,64,64
Carbon_36_9,64,64
Carbon_37_85,71,71
Carbon_38_18,64,64
Carbon_39_54,71,71
Carbon_40_27,64,64
Carbon_41_72,71,71
Carbon_42_24,64,64
Carbon_43_95,71,71
Carbon_44_77,71,71
Carbon_45_59,71,71
Carbon_46_47,71,71
Carbon_47_60,71,71
Carbon_48_60,71,71
Carbon_49_10,51,51
Carbon_50_65,71,71
Carbon_51_57,71,71
Carbon_52_69,71,71
Carbon_53_76,71,71
Carbon_54_5,51,51
Carbon_55_91,91,91
Carbon_56_89,71,71
Carbon_57_58,71,71
Carbon_58_28,64,64
Carbon_59_96,96,96
Carbon_60_79,71,71
Carbon_61_2,51,51
Carbon_62_99,99,99
Carbon_63_80,71,71
Carbon_64_75,71,71
Carbon_65_96,96,96
Carbon_66_95,71,71
Carbon_67_38,71,71
Carbon_68_96,96,96
Carbon_69_100,100,100
Carbon_70_35,71,71
Carbon_71_88,71,71
Carbon_72_2,51,51
Carbon_73_22,64,64
Carbon_74_6,51,51
Carbon_75_68,71,71
Carbon_76_89,71,71
Carbon_77_69,71,71
Carbon_78_63,71,71
Carbon_79_10,51,51
Carbon_80_83,71,71
Carbon_81_50,71,71
Carbon_82_74,71,71
Carbon_83_28,64,71
Carbon_84_56,71,71
Carbon_85_81,81,81
Carbon_86_55,71,71
Carbon_87_10,51,51
Carbon_88_16,64,64
Carbon_89_32,71,71
Carbon_90_65,71,71
Carbon_91_100,100,100
Carbon_92_54,71,71
Carbon_93_99,99,99
Carbon_94_27,64,64
Carbon_95_24,64,64
Carbon_96_10,51,51
Carbon_97_15,64,64
Carbon_98_95,71,71
Carbon_99_83,71,71
Carbon_100_32,71,71
Trees_1_80348,64,51
Trees_2_978258,64,64
Trees_3_924471,64,64
Trees_4_106404,64,64
Trees_5_425041,64,64
Trees_6_300126,64,64
Trees_7_152386,64,64
Trees_8_365032,64,64
Trees_9_165666,64,64
Trees_10_965317,64,64
Trees_11_714843,64,64
Trees_12_715192,64,64
Trees_13_48826,64,64
Trees_14_633452,64,64
Trees_15_133874,64,43
Trees_16_534630,64,64
Trees_17_53724,64,64
Trees_18_3335,43,43
Trees_19_93808,64,64
Trees_20_579389,64,64
Trees_21_524820,64,64
Trees_22_705354,64,64
Trees_23_549627,64,64
Trees_24_624537,64,64
Trees_25_50954,64,64
Trees_26_109754,64,64
Trees_27_63161,64,43
Trees_28_794837,64,64
Trees_29_518119,64,64
Trees_30_816156,64,64
Trees_31_452954,64,64
Trees_32_847428,64,64
Trees_33_291933,64,64
Trees_34_874939,64,51
Trees_35_579791,64,64
Trees_36_478357,64,64
Trees_37_641170,64,64
Trees_38_632956,64,64
Trees_39_784227,64,64
Trees_40_584023,64,64
Trees_41_344592,64,64
Trees_42_338898,64,64
Trees_43_597022,64,64
Trees_44_384646,64,64
Trees_45_520486,64,64
Trees_46_266993,51,51
Trees_47_456059,64,64
Trees_48_883261,64,64
Trees_49_92192,64,64
Trees_50_778205,64,64
Trees_51_497344,64,64
Trees_52_954098,64,64
Trees_53_469983,64,64
Trees_54_838228,64,51
Trees_55_119145,64,64
Trees_56_236441,64,64
Trees_57_361005,64,64
Trees_58_704261,64,64
Trees_59_306584,64,64
Trees_60_345824,64,64
Trees_61_337285,64,64
Trees_62_882727,64,64
Trees_63_35810,64,64
Trees_64_866729,43,43
Trees_65_449718,64,64
Trees_66_719260,64,64
Trees_67_613045,64,64
Trees_68_808276,64,51
Trees_69_181314,43,64
Trees_70_594617,64,64
Trees_71_602776,64,64
Trees_72_663541,64,64
Trees_73_258982,64,51
Trees_74_224144,64,64
Trees_75_662495,64,64
Trees_76_532109,64,64
Trees_77_419729,64,64
Trees_78_125026,64,64
Trees_79_770026,64,64
Trees_80_683003,64,64
Trees_81_427566,64,64
Trees_82_897633,64,64
Trees_83_376616,64,64
Trees_84_658600,64,64
Trees_85_78837,64,51
Trees_86_352555,64,64
Trees_87_772887,43,43
Trees_88_866978,51,51
Trees_89_719142,64,64
Trees_90_34573,64,64
Trees_91_987572,64,64
Trees_92_453887,64,64
Trees_93_466166,64,64
Trees_94_475311,64,64
Trees_95_655380,64,64
Trees_96_995142,64,64
Trees_97_505967,64,64
Trees_98_302553,64,64
Trees_99_152343,64,64
Trees_100_609979,64,64
Renewable_1_47,47,47
Renewable_2_17,17,17
Renewable_3_93,93,93
Renewable_4_95,95,95
Renewable_5_20,20,20
Renewable_6_60,60,60
Renewable_7_35,35,35
Renewable_8_41,41,41
Renewable_9_2,40,40
Renewable_10_44,44,44
Renewable_11_60,60,60
Renewable_12_47,47,47
Renewable_13_11,11,11
Renewable_14_54,54,54
Renewable_15_47,47,47
Renewable_16_43,43,43
Renewable_17_26,26,26
Renewable_18_96,96,96
Renewable_19_39,39,39
Renewable_20_50,50,50
Renewable_21_20,20,20
Renewable_22_92,92,92
Renewable_23_50,50,50
Renewable_24_19,19,19
Renewable_25_27,27,27
Renewable_26_44,44,44
Renewable_27_71,71,71
Renewable_28_2,40,40
Renewable_29_42,42,42
Renewable_30_44,44,44
Renewable_31_27,27,27
Renewable_32_58,58,58
Renewable_33_86,86,86
Renewable_34_8,41,41
Renewable_35_69,69,69
Renewable_36_85,85,85
Renewable_37_76,76,76
Renewable_38_87,87,87
Renewable_39_31,31,31
Renewable_40_77,77,77
Renewable_41_25,25,25
Renewable_42_49,49,49
Renewable_43_1,40,31
Renewable_44_21,21,21
Renewable_45_55,55,55
Renewable_46_48,48,48
Renewable_47_99,99,99
Renewable_48_59,59,59
Renewable_49_61,61,61
Renewable_50_74,74,74
Renewable_51_100,100,100
Renewable_52_100,100,100
Renewable_53_7,31,31
Renewable_54_95,95,95
Renewable_55_72,72,72
Renewable_56_64,64,64
Renewable_57_63,63,63
Renewable_58_10,40,40
Renewable_59_32,32,32
Renewable_60_2,40,40
Renewable_61_75,75,75
Renewable_62_6,41,44
Renewable_63_37,37,37
Renewable_64_45,45,45
Renewable_65_93,93,93
Renewable_66_76,76,76
Renewable_67_4,41,41
Renewable_68_50,50,50
Renewable_69_66,66,66
Renewable_70_63,63,63
Renewable_71_75,75,75
Renewable_72_43,43,43
Renewable_73_8,41,41
Renewable_74_23,23,23
Renewable_75_9,41,41
Renewable_76_49,49,49
Renewable_77_12,12,12
Renewable_78_73,73,73
Renewable_79_37,37,37
Renewable_80_51,51,51
Renewable_81_85,85,85
Renewable_82_21,21,21
Renewable_83_82,82,82
Renewable_84_37,37,37
Renewable_85_92,92,92
Renewable_86_56,56,56
Renewable_87_3,31,31
Renewable_88_44,44,44
Renewable_89_50,50,50
Renewable_90_79,79,79
Renewable_91_39,39,39
Renewable_92_51,51,51
Renewable_93_79,79,79
Renewable_94_62,62,62
Renewable_95_32,32,32
Renewable_96_78,78,78
Renewable_97_33,33,33
Renewable_98_73,73,73
Renewable_99_54,54,54
Renewable_100_67,67,67
