Company_ID,Expert_E_a_practicing_muslim_man,Expert_E_a_practicing_christian_woman
Carbon_1_85,71,71
Carbon_2_24,64,64
Carbon_3_82,71,71
Carbon_4_94,94,94
Carbon_5_69,71,71
Carbon_6_65,71,71
Carbon_7_86,71,71
Carbon_8_29,64,64
Carbon_9_78,71,71
Carbon_10_55,71,71
Carbon_11_6,64,64
Carbon_12_10,51,51
Carbon_13_54,71,71
Carbon_14_78,71,71
Carbon_15_81,81,81
Carbon_16_29,71,64
Carbon_17_60,71,71
Carbon_18_100,100,100
Carbon_19_85,71,71
Carbon_20_28,64,64
Carbon_21_71,71,71
Carbon_22_28,71,64
Carbon_23_26,64,64
Carbon_24_29,64,64
Carbon_25_55,71,71
Carbon_26_5,51,51
Carbon_27_5,51,51
Carbon_28_53,71,71
Carbon_29_14,64,64
Carbon_30_14,64,64
Carbon_31_36,71,71
Carbon_32_77,71,71
Carbon_33_77,71,71
Carbon_34_98,98,98
Carbon_35_74,74,74
Carbon_36_65,71,71
Carbon_37_12,64,64
Carbon_38_36,71,71
Carbon_39_7,64,51
Carbon_40_57,71,71
Carbon_41_1,41,41
Carbon_42_31,71,71
Carbon_43_66,71,71
Carbon_44_36,71,71
Carbon_45_77,71,71
Carbon_46_74,74,74
Carbon_47_93,93,93
Carbon_48_83,71,71
Carbon_49_4,51,51
Carbon_50_34,71,71
Carbon_51_42,71,71
Carbon_52_6,64,64
Carbon_53_3,51,51
Carbon_54_3,51,51
Carbon_55_87,87,71
Carbon_56_98,98,98
Carbon_57_22,64,64
Carbon_58_95,97,71
Carbon_59_17,64,64
Carbon_60_92,92,92
Carbon_61_25,71,71
Carbon_62_61,71,71
Carbon_63_100,100,100
Carbon_64_57,71,71
Carbon_65_49,71,71
Carbon_66_77,71,71
Carbon_67_86,71,71
Carbon_68_44,71,71
Carbon_69_73,71,71
Carbon_70_18,64,64
Carbon_71_67,71,71
Carbon_72_13,64,64
Carbon_73_81,81,81
Carbon_74_69,71,71
Carbon_75_47,71,71
Carbon_76_18,64,64
Carbon_77_26,64,71
Carbon_78_32,71,71
Carbon_79_70,71,71
Carbon_80_19,64,64
Carbon_81_36,71,71
Carbon_82_87,87,71
Carbon_83_34,71,71
Carbon_84_29,64,64
Carbon_85_21,64,64
Carbon_86_26,64,64
Carbon_87_34,71,71
Carbon_88_27,64,64
Carbon_89_86,71,71
Carbon_90_26,71,64
Carbon_91_44,71,71
Carbon_92_51,71,71
Carbon_93_78,71,71
Carbon_94_42,71,71
Carbon_95_10,51,51
Carbon_96_92,92,92
Carbon_97_49,71,71
Carbon_98_39,71,71
Carbon_99_41,71,71
Carbon_100_11,64,64
Trees_1_798064,64,64
Trees_2_411079,64,64
Trees_3_120538,64,64
Trees_4_509778,64,64
Trees_5_782081,64,64
Trees_6_612009,64,64
Trees_7_76957,64,64
Trees_8_685189,64,64
Trees_9_997294,64,64
Trees_10_123060,64,64
Trees_11_689191,64,64
Trees_12_16044,64,64
Trees_13_563530,64,64
Trees_14_624067,64,64
Trees_15_848821,64,64
Trees_16_996695,64,64
Trees_17_756363,64,64
Trees_18_743128,64,64
Trees_19_741200,64,64
Trees_20_310393,64,64
Trees_21_651837,64,64
Trees_22_407572,64,64
Trees_23_231185,64,64
Trees_24_999772,64,64
Trees_25_897693,64,64
Trees_26_757317,64,64
Trees_27_671120,64,64
Trees_28_550371,64,64
Trees_29_768029,64,64
Trees_30_290327,64,64
Trees_31_658100,64,64
Trees_32_679576,64,64
Trees_33_935772,64,64
Trees_34_668803,64,64
Trees_35_572353,64,64
Trees_36_8384,64,51
Trees_37_158445,64,64
Trees_38_440228,64,64
Trees_39_818401,64,64
Trees_40_824360,64,64
Trees_41_80167,64,64
Trees_42_226120,64,64
Trees_43_854838,64,64
Trees_44_337958,64,64
Trees_45_305343,64,64
Trees_46_705784,64,64
Trees_47_629724,64,64
Trees_48_83015,64,64
Trees_49_811383,64,64
Trees_50_485546,64,64
Trees_51_88578,64,64
Trees_52_840380,64,64
Trees_53_342924,64,64
Trees_54_79475,64,64
Trees_55_893814,64,64
Trees_56_939853,64,64
Trees_57_543883,64,64
Trees_58_17136,64,64
Trees_59_546243,64,64
Trees_60_295401,64,64
Trees_61_727604,64,64
Trees_62_534428,64,64
Trees_63_203910,64,64
Trees_64_787964,64,64
Trees_65_507953,64,64
Trees_66_554753,64,64
Trees_67_794463,64,64
Trees_68_226200,64,64
Trees_69_469651,64,64
Trees_70_96035,64,64
