Company_ID,Expert_E_a_25-year-old_practicing_muslim_man,Expert_E_a_60-year-old_practicing_christian_woman
Carbon_1_60,71,71
Carbon_2_96,96,98
Carbon_3_69,71,71
Carbon_4_87,71,71
Carbon_5_21,64,64
Carbon_6_17,64,64
Carbon_7_99,99,99
Carbon_8_45,71,71
Carbon_9_89,71,71
Carbon_10_86,71,71
Carbon_11_35,71,71
Carbon_12_98,98,98
Carbon_13_17,64,64
Carbon_14_54,71,71
Carbon_15_83,71,71
Carbon_16_33,71,71
Carbon_17_16,64,64
Carbon_18_11,64,64
Carbon_19_32,71,71
Carbon_20_75,71,71
Carbon_21_10,51,51
Carbon_22_61,71,71
Carbon_23_47,71,71
Carbon_24_77,71,71
Carbon_25_22,64,64
Carbon_26_61,71,71
Carbon_27_15,64,64
Carbon_28_92,92,92
Carbon_29_76,71,71
Carbon_30_66,71,71
Carbon_31_70,71,71
Carbon_32_78,71,71
Carbon_33_73,71,71
Carbon_34_71,71,71
Carbon_35_37,71,71
Carbon_36_100,100,100
Carbon_37_6,51,64
Carbon_38_66,71,71
Carbon_39_15,64,64
Carbon_40_34,71,71
Carbon_41_96,98,98
Carbon_42_84,71,71
Carbon_43_32,71,71
Carbon_44_40,71,71
Carbon_45_45,71,71
Carbon_46_67,71,71
Carbon_47_9,64,64
Carbon_48_48,71,71
Carbon_49_22,64,64
Carbon_50_39,71,71
Carbon_51_89,71,71
Carbon_52_94,94,94
Carbon_53_3,51,51
Carbon_54_85,71,71
Carbon_55_10,51,51
Carbon_56_59,71,71
Carbon_57_18,64,64
Carbon_58_9,64,64
Carbon_59_7,51,51
Carbon_60_46,71,71
Carbon_61_99,99,99
Carbon_62_25,71,71
Carbon_63_91,91,91
Carbon_64_8,51,51
Carbon_65_40,71,71
Carbon_66_43,71,71
Carbon_67_63,71,71
Carbon_68_59,71,71
Carbon_69_1,41,41
Carbon_70_52,71,71
Carbon_71_43,71,71
Carbon_72_99,99,99
Carbon_73_10,51,51
Carbon_74_63,71,71
Carbon_75_3,51,51
Carbon_76_38,71,71
Carbon_77_54,71,71
Carbon_78_22,64,64
Carbon_79_81,81,81
Carbon_80_39,71,71
Carbon_81_19,64,64
Carbon_82_99,99,99
Carbon_83_81,81,81
Carbon_84_70,71,71
Carbon_85_94,94,94
Carbon_86_62,71,71
Carbon_87_40,71,71
Carbon_88_50,71,71
Carbon_89_77,71,71
Carbon_90_79,71,71
Carbon_91_98,98,98
Carbon_92_94,94,94
Carbon_93_89,71,71
Carbon_94_39,71,71
Carbon_95_62,71,71
Carbon_96_48,71,71
Carbon_97_97,97,97
Carbon_98_86,71,71
Carbon_99_16,64,64
Carbon_100_97,97,97
Trees_1_715022,64,64
Trees_2_168382,51,51
Trees_3_700740,43,51
Trees_4_346377,64,64
Trees_5_651486,64,64
Trees_6_470099,64,64
Trees_7_524773,64,64
Trees_8_863625,64,64
Trees_9_380679,64,64
Trees_10_761200,64,64
Trees_11_923581,64,64
Trees_12_387750,64,64
Trees_13_980180,64,64
Trees_14_301369,64,64
Trees_15_709142,64,64
Trees_16_616213,64,64
Trees_17_608602,64,64
Trees_18_948484,64,64
Trees_19_390698,51,64
Trees_20_525905,64,64
Trees_21_453475,64,64
Trees_22_704337,64,64
Trees_23_182532,64,64
Trees_24_998599,64,64
Trees_25_369798,64,64
Trees_26_931497,64,64
Trees_27_469034,64,64
Trees_28_114796,64,64
Trees_29_624589,64,64
Trees_30_621559,64,64
Trees_31_417531,64,64
Trees_32_551044,64,64
Trees_33_783829,64,64
Trees_34_396749,64,64
Trees_35_363217,64,64
Trees_36_228783,64,51
Trees_37_509562,64,64
Trees_38_438761,64,64
Trees_39_665856,64,64
Trees_40_919556,64,64
Trees_41_841056,64,64
Trees_42_525359,64,64
Trees_43_412007,64,64
Trees_44_68954,64,51
Trees_45_13022,64,64
Trees_46_143949,64,64
Trees_47_884020,64,64
Trees_48_150729,64,64
Trees_49_144362,64,64
Trees_50_724104,64,64
Trees_51_245892,64,64
Trees_52_696682,64,51
Trees_53_722910,64,64
Trees_54_187519,64,64
Trees_55_574837,64,64
Trees_56_21164,64,43
Trees_57_463803,64,64
Trees_58_925334,64,64
Trees_59_230740,64,51
Trees_60_456045,64,64
Trees_61_326180,64,64
Trees_62_440100,64,64
Trees_63_195049,64,64
Trees_64_209808,64,64
Trees_65_22958,64,64
Trees_66_564186,64,64
Trees_67_848040,64,64
Trees_68_264660,64,64
Trees_69_891185,64,64
Trees_70_179657,64,64
Trees_71_925881,64,64
Trees_72_859614,64,64
Trees_73_557567,64,64
Trees_74_70802,64,64
Trees_75_317818,64,64
Trees_76_761442,64,64
Trees_77_448105,64,64
Trees_78_496982,64,64
Trees_79_185462,64,64
Trees_80_922110,64,64
Trees_81_705799,64,64
Trees_82_386157,64,64
Trees_83_369056,64,64
Trees_84_587301,64,64
Trees_85_888019,64,64
Trees_86_247562,64,64
Trees_87_351110,64,64
Trees_88_712355,64,64
Trees_89_656521,64,64
Trees_90_951091,64,64
Trees_91_470537,64,64
Trees_92_296981,64,64
Trees_93_991702,64,64
Trees_94_441782,64,64
Trees_95_32713,64,64
Trees_96_684769,64,51
Trees_97_946491,64,64
Trees_98_915890,64,64
Trees_99_164621,64,64
Trees_100_919928,64,64
Renewable_1_73,73,73
Renewable_2_5,40,40
Renewable_3_100,100,100
Renewable_4_29,29,29
Renewable_5_49,49,49
Renewable_6_17,17,17
Renewable_7_46,46,46
Renewable_8_26,26,26
Renewable_9_70,70,70
Renewable_10_37,37,37
Renewable_11_8,42,31
Renewable_12_25,25,25
Renewable_13_17,17,17
Renewable_14_21,21,21
Renewable_15_82,82,82
Renewable_16_79,79,79
Renewable_17_56,56,56
Renewable_18_71,71,71
Renewable_19_61,61,61
Renewable_20_19,19,19
Renewable_21_12,12,12
Renewable_22_74,74,74
Renewable_23_8,42,41
Renewable_24_20,20,20
Renewable_25_43,43,43
Renewable_26_90,90,90
Renewable_27_7,41,31
Renewable_28_59,59,59
Renewable_29_70,70,70
Renewable_30_83,83,83
Renewable_31_44,44,44
Renewable_32_88,88,88
Renewable_33_64,64,64
Renewable_34_4,41,41
Renewable_35_97,97,97
Renewable_36_48,48,48
Renewable_37_20,20,20
Renewable_38_44,44,44
Renewable_39_36,36,36
Renewable_40_68,68,68
Renewable_41_40,40,40
Renewable_42_67,67,67
Renewable_43_99,99,99
Renewable_44_57,57,57
Renewable_45_93,93,93
Renewable_46_95,95,95
Renewable_47_34,34,34
Renewable_48_40,40,40
Renewable_49_70,70,70
Renewable_50_72,72,72
Renewable_51_28,28,28
Renewable_52_57,57,57
Renewable_53_62,62,62
Renewable_54_11,11,11
Renewable_55_91,91,91
Renewable_56_43,43,43
Renewable_57_59,59,59
Renewable_58_16,16,16
Renewable_59_12,12,12
Renewable_60_12,12,12
Renewable_61_6,44,41
Renewable_62_90,90,90
Renewable_63_64,64,64
Renewable_64_85,85,85
Renewable_65_27,27,27
Renewable_66_13,13,13
Renewable_67_21,21,21
Renewable_68_36,36,36
Renewable_69_63,63,63
Renewable_70_74,74,74
Renewable_71_100,100,100
