Company_ID,Expert_E_a_man,Expert_E_a_woman
Independence_1_70,71,71
Independence_2_81,71,71
Independence_3_18,43,41
Independence_4_49,64,64
Independence_5_58,64,64
Independence_6_52,61,64
Independence_7_22,43,43
Independence_8_53,67,64
Independence_9_48,61,64
Independence_10_44,43,64
Independence_11_10,40,40
Independence_12_26,43,43
Independence_13_49,61,64
Independence_14_85,71,71
Independence_15_48,64,64
Independence_16_40,51,51
Independence_17_31,41,41
Independence_18_77,71,71
Independence_19_15,41,41
Independence_20_13,41,31
Independence_21_45,61,61
Independence_22_51,64,71
Independence_23_64,64,71
Independence_24_45,61,51
Independence_25_61,67,71
Independence_26_80,71,71
Independence_27_85,71,71
Independence_28_61,67,71
Independence_29_19,41,43
Independence_30_15,41,41
Independence_31_40,51,51
Independence_32_80,71,71
Independence_33_44,64,64
Independence_34_55,64,64
Independence_35_65,71,71
Independence_36_14,41,43
Independence_37_73,71,71
Independence_38_69,71,71
Independence_39_41,41,41
Independence_40_32,41,43
Independence_41_47,43,64
Independence_42_48,51,64
Independence_43_19,43,43
Independence_44_59,64,64
Independence_45_20,41,41
Independence_46_38,43,43
Independence_47_49,61,61
Independence_48_79,71,71
Independence_49_42,51,64
Independence_50_32,43,43
Independence_51_38,43,43
Independence_52_48,51,64
Independence_53_78,71,71
Independence_54_48,51,64
Independence_55_58,64,64
Independence_56_77,71,71
Independence_57_36,43,43
Independence_58_17,43,43
Independence_59_65,71,71
Independence_60_81,71,71
Independence_61_72,71,71
Independence_62_76,71,71
Independence_63_72,71,71
Independence_64_88,71,71
Independence_65_65,71,71
Independence_66_55,64,64
Independence_67_36,43,43
Independence_68_27,43,43
Independence_69_74,71,71
Independence_70_18,41,43
Independence_71_79,71,71
Independence_72_14,41,41
Independence_73_41,43,43
Independence_74_55,64,64
Independence_75_56,64,64
Independence_76_47,64,43
Independence_77_38,43,43
Independence_78_16,41,41
Independence_79_73,71,71
Independence_80_33,43,43
Independence_81_46,64,64
Independence_82_25,41,41
Independence_83_87,71,71
Independence_84_58,64,64
Independence_85_49,64,64
Independence_86_84,71,71
Independence_87_60,71,71
Independence_88_86,71,71
Independence_89_31,43,43
Independence_90_86,71,71
Independence_91_48,61,64
Independence_92_40,51,51
Independence_93_38,43,43
Independence_94_61,67,71
Independence_95_41,43,43
Independence_96_19,43,43
Independence_97_10,40,40
Independence_98_85,71,71
Independence_99_14,41,41
Independence_100_37,43,43
PayRatio_1_23,43,43
PayRatio_2_296,43,31
PayRatio_3_252,31,43
PayRatio_4_129,43,43
PayRatio_5_187,43,43
PayRatio_6_432,43,43
PayRatio_7_396,31,31
PayRatio_8_241,41,41
PayRatio_9_421,31,41
PayRatio_10_275,41,41
PayRatio_11_388,43,43
PayRatio_12_143,43,43
