Company_ID,Expert_E_a_practicing_muslim,Expert_E_a_practicing_christian
Independence_1_77,71,71
Independence_2_87,71,71
Independence_3_73,71,71
Independence_4_86,71,71
Independence_5_32,41,43
Independence_6_31,43,43
Independence_7_19,43,43
Independence_8_30,41,41
Independence_9_50,71,61
Independence_10_54,64,67
Independence_11_13,41,41
Independence_12_38,43,43
Independence_13_71,71,71
Independence_14_65,71,71
Independence_15_50,71,67
Independence_16_76,71,71
Independence_17_57,64,67
Independence_18_38,42,43
Independence_19_49,64,61
Independence_20_24,41,41
Independence_21_68,67,71
Independence_22_52,67,67
Independence_23_51,67,67
Independence_24_38,43,43
Independence_25_36,43,43
Independence_26_15,41,40
Independence_27_59,64,64
Independence_28_31,43,43
Independence_29_87,71,71
Independence_30_14,41,43
Independence_31_75,71,71
Independence_32_14,31,43
Independence_33_33,43,43
Independence_34_74,71,71
Independence_35_51,71,67
Independence_36_65,71,71
Independence_37_50,71,71
Independence_38_29,43,43
Independence_39_88,71,71
Independence_40_56,67,64
Independence_41_69,71,71
Independence_42_68,71,71
Independence_43_72,71,71
Independence_44_43,43,43
Independence_45_68,71,71
Independence_46_19,41,41
Independence_47_48,64,61
Independence_48_14,41,41
Independence_49_34,43,43
Independence_50_11,31,41
Independence_51_76,71,71
Independence_52_90,71,71
Independence_53_73,71,71
Independence_54_66,71,71
Independence_55_69,71,71
Independence_56_21,41,41
Independence_57_19,41,43
Independence_58_29,43,41
Independence_59_79,71,71
Independence_60_52,67,67
Independence_61_56,67,64
Independence_62_79,71,71
Independence_63_28,41,41
Independence_64_57,67,67
Independence_65_10,40,40
Independence_66_68,71,71
Independence_67_46,64,64
Independence_68_89,71,71
Independence_69_29,43,43
Independence_70_68,71,71
Independence_71_89,71,71
Independence_72_45,67,51
Independence_73_84,71,71
Independence_74_22,41,41
Independence_75_38,43,43
Independence_76_71,71,71
Independence_77_58,67,64
Independence_78_57,67,67
Independence_79_40,51,51
Independence_80_69,71,71
Independence_81_31,43,43
Independence_82_68,71,71
Independence_83_52,67,67
Independence_84_45,64,51
Independence_85_81,71,71
Independence_86_31,41,43
Independence_87_75,71,71
Independence_88_43,43,43
Independence_89_48,64,61
Independence_90_35,41,41
Independence_91_36,43,43
Independence_92_32,43,43
Independence_93_68,71,71
Independence_94_19,41,43
Independence_95_86,71,71
Independence_96_25,41,41
Independence_97_66,71,71
Independence_98_50,71,67
Independence_99_71,71,71
Independence_100_55,67,67
PayRatio_1_187,43,43
PayRatio_2_489,31,43
PayRatio_3_338,43,43
PayRatio_4_152,43,43
PayRatio_5_490,31,31
PayRatio_6_142,43,43
PayRatio_7_78,43,43
PayRatio_8_64,43,43
PayRatio_9_73,43,43
PayRatio_10_390,31,31
PayRatio_11_293,43,43
PayRatio_12_480,31,31
PayRatio_13_148,43,43
PayRatio_14_427,43,43
PayRatio_15_258,43,43
PayRatio_16_214,43,43
PayRatio_17_299,31,41
PayRatio_18_441,41,41
PayRatio_19_254,43,43
PayRatio_20_399,31,31
PayRatio_21_459,31,43
PayRatio_22_291,41,41
PayRatio_23_126,43,43
PayRatio_24_401,41,41
PayRatio_25_269,43,43
PayRatio_26_66,43,43
PayRatio_27_473,43,43
PayRatio_28_106,43,43
PayRatio_29_307,43,43
PayRatio_30_403,43,43
PayRatio_31_373,43,43
PayRatio_32_58,43,43
PayRatio_33_337,43,43
PayRatio_34_265,31,43
PayRatio_35_299,41,41
PayRatio_36_163,43,43
PayRatio_37_190,43,41
PayRatio_38_440,31,43
PayRatio_39_99,31,31
PayRatio_40_390,31,31
PayRatio_41_135,43,43
PayRatio_42_294,43,43
PayRatio_43_147,43,43
PayRatio_44_487,43,41
PayRatio_45_52,43,43
PayRatio_46_407,43,43
PayRatio_47_23,43,43
PayRatio_48_351,31,41
PayRatio_49_322,41,41
PayRatio_50_266,43,43
PayRatio_51_201,43,43
PayRatio_52_164,43,43
PayRatio_53_401,41,41
PayRatio_54_336,31,43
PayRatio_55_71,41,41
PayRatio_56_452,31,31
PayRatio_57_306,43,43
PayRatio_58_482,31,43
PayRatio_59_272,43,43
PayRatio_60_366,31,41
PayRatio_61_40,51,51
PayRatio_62_494,31,31
PayRatio_63_462,43,43
PayRatio_64_469,31,43
PayRatio_65_385,43,43
PayRatio_66_62,43,43
PayRatio_67_75,43,43
PayRatio_68_439,43,43
PayRatio_69_68,43,43
PayRatio_70_360,31,43
PayRatio_71_97,31,31
PayRatio_72_465,31,31
PayRatio_73_120,41,41
PayRatio_74_103,43,43
PayRatio_75_299,41,41
PayRatio_76_34,43,64
PayRatio_77_326,43,41
PayRatio_78_289,43,41
PayRatio_79_86,43,43
PayRatio_80_114,43,43
PayRatio_81_455,31,31
PayRatio_82_398,31,43
PayRatio_83_175,43,43
PayRatio_84_43,43,43
PayRatio_85_148,43,43
PayRatio_86_349,41,41
PayRatio_87_206,43,43
PayRatio_88_168,43,43
PayRatio_89_228,31,41
PayRatio_90_482,31,41
PayRatio_91_39,51,51
PayRatio_92_127,43,43
PayRatio_93_85,43,43
PayRatio_94_277,43,43
PayRatio_95_392,31,31
PayRatio_96_220,41,41
PayRatio_97_315,43,43
PayRatio_98_384,43,43
PayRatio_99_127,43,43
PayRatio_100_242,43,43
Diversity_1_55,71,71
Diversity_2_11,41,41
Diversity_3_30,51,43
Diversity_4_30,51,43
Diversity_5_30,51,43
Diversity_6_51,71,71
Diversity_7_41,64,64
Diversity_8_34,64,64
Diversity_9_3,31,31
Diversity_10_21,43,43
Diversity_11_33,43,43
Diversity_12_33,43,43
Diversity_13_34,64,64
Diversity_14_45,71,67
Diversity_15_59,71,71
Diversity_16_12,42,43
Diversity_17_29,43,43
Diversity_18_46,64,64
Diversity_19_31,51,43
Diversity_20_45,71,67
Diversity_21_34,64,64
Diversity_22_44,64,64
Diversity_23_21,43,43
Diversity_24_59,71,71
Diversity_25_24,43,43
Diversity_26_12,42,43
Diversity_27_5,31,31
Diversity_28_48,71,71
Diversity_29_53,71,71
Diversity_30_6,31,31
Diversity_31_53,71,71
Diversity_32_57,71,71
Diversity_33_17,43,43
Diversity_34_25,43,43
Diversity_35_5,31,31
Diversity_36_53,71,71
Diversity_37_8,31,31
Diversity_38_49,64,64
Diversity_39_10,31,40
Diversity_40_12,42,43
Diversity_41_26,43,43
Diversity_42_35,51,51
Diversity_43_10,31,41
Diversity_44_35,51,51
Diversity_45_30,51,43
Diversity_46_47,67,64
Diversity_47_53,71,71
Diversity_48_34,64,64
Diversity_49_47,67,67
Diversity_50_48,71,71
Diversity_51_46,64,64
Diversity_52_21,43,43
Diversity_53_50,71,71
Diversity_54_50,71,71
Diversity_55_56,71,71
Diversity_56_49,64,64
Diversity_57_35,51,51
Diversity_58_22,42,42
Diversity_59_34,64,64
Diversity_60_52,71,71
Diversity_61_57,71,71
Diversity_62_55,71,71
Diversity_63_43,64,64
Diversity_64_47,67,64
Diversity_65_26,43,43
Diversity_66_58,71,71
Diversity_67_51,71,71
Diversity_68_3,31,31
Diversity_69_2,31,30
Diversity_70_39,64,64
Diversity_71_8,31,31
Diversity_72_30,51,43
Diversity_73_2,31,30
Diversity_74_36,64,64
Diversity_75_48,71,71
Diversity_76_30,51,51
Diversity_77_8,31,31
Diversity_78_8,31,31
Diversity_79_6,31,31
Diversity_80_52,71,71
Diversity_81_56,71,71
Diversity_82_14,43,43
Diversity_83_52,71,71
Diversity_84_35,51,51
Diversity_85_14,43,42
Diversity_86_40,64,64
Diversity_87_45,71,67
Diversity_88_6,31,31
Diversity_89_6,31,31
Diversity_90_35,51,51
Diversity_91_21,43,43
Diversity_92_18,43,42
Diversity_93_33,51,43
Diversity_94_31,51,43
Diversity_95_14,43,42
Diversity_96_22,42,42
Diversity_97_6,31,31
Diversity_98_0,31,31
Diversity_99_11,41,41
Diversity_100_4,31,31
