Company_ID,Expert_E_a_25-year-old,Expert_E_a_60-year-old
Independence_1_35,41,41
Independence_2_47,43,42
Independence_3_63,67,71
Independence_4_15,41,40
Independence_5_65,71,71
Independence_6_85,71,71
Independence_7_46,64,64
Independence_8_83,71,71
Independence_9_35,41,41
Independence_10_31,41,43
Independence_11_37,43,43
Independence_12_29,43,43
Independence_13_60,71,71
Independence_14_67,67,67
Independence_15_86,71,71
Independence_16_39,43,43
Independence_17_38,43,43
Independence_18_51,67,67
Independence_19_31,41,41
Independence_20_56,67,64
Independence_21_31,41,43
Independence_22_54,67,67
Independence_23_19,43,43
Independence_24_80,71,71
Independence_25_45,61,64
Independence_26_52,61,64
Independence_27_62,67,67
Independence_28_84,71,71
Independence_29_27,41,41
Independence_30_43,43,43
Independence_31_71,71,71
Independence_32_80,71,71
Independence_33_54,64,67
Independence_34_64,64,71
Independence_35_13,41,41
Independence_36_31,41,43
Independence_37_61,71,71
Independence_38_38,43,41
Independence_39_63,67,71
Independence_40_54,67,67
Independence_41_32,43,43
Independence_42_57,67,64
Independence_43_38,43,41
Independence_44_31,43,41
Independence_45_61,71,71
Independence_46_19,43,41
Independence_47_89,71,71
Independence_48_75,71,71
Independence_49_79,71,71
Independence_50_15,41,40
Independence_51_31,41,41
Independence_52_44,43,64
Independence_53_66,71,71
Independence_54_19,43,43
Independence_55_88,71,71
Independence_56_37,43,43
Independence_57_65,71,71
Independence_58_38,43,41
Independence_59_32,43,41
Independence_60_22,43,43
Independence_61_24,41,41
Independence_62_22,41,41
Independence_63_66,71,71
Independence_64_56,64,64
Independence_65_26,43,43
Independence_66_17,43,43
Independence_67_57,67,67
Independence_68_46,64,43
Independence_69_64,71,71
Independence_70_50,67,71
Independence_71_61,71,71
Independence_72_28,43,43
Independence_73_53,67,67
Independence_74_75,71,71
Independence_75_15,41,40
Independence_76_84,71,71
Independence_77_54,67,67
Independence_78_52,61,61
Independence_79_25,41,41
Independence_80_27,41,43
Independence_81_59,64,64
Independence_82_38,43,41
Independence_83_40,51,41
Independence_84_56,64,64
Independence_85_13,41,41
Independence_86_45,61,64
Independence_87_61,71,71
Independence_88_76,71,71
Independence_89_70,71,71
Independence_90_81,71,71
Independence_91_17,43,41
Independence_92_63,67,71
Independence_93_54,64,67
Independence_94_53,67,67
Independence_95_78,71,71
Independence_96_32,43,41
Independence_97_62,71,71
Independence_98_80,71,71
Independence_99_30,41,41
Independence_100_64,67,71
PayRatio_1_51,43,43
PayRatio_2_382,43,43
PayRatio_3_466,43,31
PayRatio_4_159,31,31
PayRatio_5_113,43,43
PayRatio_6_324,41,31
PayRatio_7_476,31,31
PayRatio_8_107,43,43
PayRatio_9_155,43,43
PayRatio_10_246,43,41
PayRatio_11_226,43,41
PayRatio_12_385,43,31
PayRatio_13_99,31,31
PayRatio_14_206,43,43
PayRatio_15_283,43,43
PayRatio_16_55,43,43
PayRatio_17_340,31,31
PayRatio_18_349,41,31
PayRatio_19_164,41,43
PayRatio_20_83,43,43
PayRatio_21_21,43,43
PayRatio_22_496,31,31
PayRatio_23_430,43,43
PayRatio_24_306,41,31
PayRatio_25_193,43,43
PayRatio_26_250,41,41
PayRatio_27_84,43,41
PayRatio_28_389,43,31
PayRatio_29_372,41,31
PayRatio_30_86,43,43
PayRatio_31_436,43,43
PayRatio_32_489,41,31
PayRatio_33_395,31,31
PayRatio_34_192,43,43
PayRatio_35_314,31,31
PayRatio_36_74,43,43
PayRatio_37_343,43,43
PayRatio_38_64,43,43
PayRatio_39_262,43,43
PayRatio_40_337,43,40
PayRatio_41_314,31,31
PayRatio_42_255,31,31
PayRatio_43_477,31,31
PayRatio_44_109,43,43
PayRatio_45_233,43,43
PayRatio_46_151,41,41
PayRatio_47_160,41,41
PayRatio_48_320,31,31
PayRatio_49_367,43,43
PayRatio_50_322,41,41
PayRatio_51_313,43,43
PayRatio_52_155,31,43
PayRatio_53_367,43,43
PayRatio_54_449,31,31
PayRatio_55_415,31,31
PayRatio_56_161,41,41
