Company_ID,Expert_E_a_25-year-old_practicing_muslim,Expert_E_a_60-year-old_practicing_christian
Independence_1_73,71,71
Independence_2_19,43,43
Independence_3_68,71,71
Independence_4_11,31,40
Independence_5_13,41,41
Independence_6_35,41,41
Independence_7_57,67,64
Independence_8_29,43,43
Independence_9_24,41,43
Independence_10_80,71,71
Independence_11_27,43,43
Independence_12_44,64,64
Independence_13_69,71,71
Independence_14_29,43,41
Independence_15_60,71,71
Independence_16_84,71,71
Independence_17_29,43,43
Independence_18_64,64,71
Independence_19_52,67,67
Independence_20_13,43,41
Independence_21_86,71,71
Independence_22_52,67,67
Independence_23_25,41,41
Independence_24_89,71,71
Independence_25_65,71,71
Independence_26_45,51,51
Independence_27_30,41,41
Independence_28_56,67,64
Independence_29_90,71,71
Independence_30_33,43,43
Independence_31_15,41,40
Independence_32_61,71,71
Independence_33_27,41,43
Independence_34_14,41,41
Independence_35_90,71,71
Independence_36_39,43,43
Independence_37_23,43,43
Independence_38_81,71,71
Independence_39_64,64,71
Independence_40_77,71,71
Independence_41_75,71,71
Independence_42_82,71,71
Independence_43_33,43,43
Independence_44_78,71,71
Independence_45_11,31,41
Independence_46_23,43,41
Independence_47_86,71,71
Independence_48_53,67,64
Independence_49_31,43,43
Independence_50_73,71,71
Independence_51_54,67,67
Independence_52_43,43,43
Independence_53_16,41,41
Independence_54_48,61,51
Independence_55_78,71,71
Independence_56_56,64,64
Independence_57_58,64,67
Independence_58_86,71,71
Independence_59_22,41,43
Independence_60_43,43,43
Independence_61_22,43,43
Independence_62_24,43,41
Independence_63_77,71,71
Independence_64_39,43,43
Independence_65_32,43,43
Independence_66_56,64,67
Independence_67_74,71,71
Independence_68_54,67,67
Independence_69_75,71,71
Independence_70_30,41,41
Independence_71_79,71,71
Independence_72_40,51,51
Independence_73_47,51,64
Independence_74_54,67,67
Independence_75_74,71,71
Independence_76_19,43,41
Independence_77_55,64,64
Independence_78_71,71,71
Independence_79_44,61,64
Independence_80_20,41,40
Independence_81_87,71,71
Independence_82_77,71,71
Independence_83_49,61,64
