Company_ID,Expert_E_a_25-year-old_man,Expert_E_a_60-year-old_woman
Independence_1_76,71,71
Independence_2_52,64,67
Independence_3_33,43,43
Independence_4_36,43,43
Independence_5_74,71,71
Independence_6_42,42,42
Independence_7_18,43,43
Independence_8_57,67,64
Independence_9_65,71,71
Independence_10_68,71,67
Independence_11_39,43,43
Independence_12_47,43,64
Independence_13_30,41,41
Independence_14_15,41,41
Independence_15_67,67,67
Independence_16_17,43,41
Independence_17_36,43,43
Independence_18_36,43,43
Independence_19_64,64,64
Independence_20_67,67,67
Independence_21_84,71,71
Independence_22_17,43,43
Independence_23_31,43,43
Independence_24_14,43,41
Independence_25_29,43,43
Independence_26_38,43,43
Independence_27_90,71,71
Independence_28_60,71,71
Independence_29_14,43,43
Independence_30_57,64,64
Independence_31_70,71,71
Independence_32_13,41,43
Independence_33_65,71,71
Independence_34_75,71,71
Independence_35_26,43,43
Independence_36_51,67,67
Independence_37_24,43,41
Independence_38_30,41,41
Independence_39_41,41,41
Independence_40_73,71,71
Independence_41_10,40,40
Independence_42_35,41,43
Independence_43_77,71,71
Independence_44_61,67,67
Independence_45_25,41,41
Independence_46_32,43,43
Independence_47_88,71,71
Independence_48_25,41,41
Independence_49_23,43,43
Independence_50_63,67,67
Independence_51_20,41,41
Independence_52_46,64,64
Independence_53_78,71,71
Independence_54_74,71,71
Independence_55_27,43,43
Independence_56_45,61,64
Independence_57_36,43,42
Independence_58_46,64,64
Independence_59_12,41,41
Independence_60_68,71,71
Independence_61_22,41,43
Independence_62_42,42,42
Independence_63_39,43,43
Independence_64_51,67,64
Independence_65_68,71,71
Independence_66_59,64,64
Independence_67_54,67,67
Independence_68_83,71,71
Independence_69_75,71,71
Independence_70_74,71,71
Independence_71_12,40,40
Independence_72_20,41,40
Independence_73_75,71,71
Independence_74_13,43,41
Independence_75_35,41,41
Independence_76_72,71,71
Independence_77_46,64,64
Independence_78_88,71,71
Independence_79_85,71,71
Independence_80_69,64,71
Independence_81_68,71,71
Independence_82_45,61,64
Independence_83_63,71,67
Independence_84_87,71,71
Independence_85_68,67,71
Independence_86_31,43,43
Independence_87_21,43,43
Independence_88_75,71,71
Independence_89_57,64,67
Independence_90_57,64,64
Independence_91_50,61,71
Independence_92_49,64,64
Independence_93_10,40,40
Independence_94_50,61,71
Independence_95_22,43,43
Independence_96_58,64,64
Independence_97_32,43,43
Independence_98_21,43,41
Independence_99_23,43,43
Independence_100_86,71,71
PayRatio_1_296,43,43
PayRatio_2_161,41,41
PayRatio_3_46,43,43
PayRatio_4_370,41,43
PayRatio_5_388,43,43
PayRatio_6_242,43,43
PayRatio_7_300,41,41
PayRatio_8_117,43,43
PayRatio_9_308,43,43
PayRatio_10_328,41,41
PayRatio_11_475,31,43
PayRatio_12_120,41,41
PayRatio_13_223,43,43
PayRatio_14_441,41,41
PayRatio_15_480,31,43
PayRatio_16_456,43,43
PayRatio_17_101,41,41
PayRatio_18_243,43,43
PayRatio_19_254,43,43
PayRatio_20_129,43,43
PayRatio_21_187,43,43
PayRatio_22_170,43,43
PayRatio_23_277,43,43
PayRatio_24_172,43,43
PayRatio_25_424,43,43
PayRatio_26_323,43,43
PayRatio_27_174,43,43
PayRatio_28_112,43,43
PayRatio_29_24,43,64
PayRatio_30_487,43,43
PayRatio_31_451,41,41
PayRatio_32_400,40,40
PayRatio_33_223,43,43
PayRatio_34_468,43,43
PayRatio_35_384,43,43
PayRatio_36_329,41,43
PayRatio_37_29,51,51
PayRatio_38_360,43,43
PayRatio_39_320,31,43
PayRatio_40_259,43,43
PayRatio_41_193,43,43
PayRatio_42_214,43,43
PayRatio_43_191,41,43
PayRatio_44_282,43,43
PayRatio_45_378,41,41
PayRatio_46_142,43,43
PayRatio_47_142,43,43
PayRatio_48_472,31,43
PayRatio_49_478,43,41
PayRatio_50_237,43,43
PayRatio_51_478,31,41
PayRatio_52_361,41,31
PayRatio_53_164,43,43
PayRatio_54_148,43,43
PayRatio_55_365,43,43
PayRatio_56_165,41,41
PayRatio_57_381,41,41
PayRatio_58_75,43,43
PayRatio_59_306,43,43
PayRatio_60_384,43,43
PayRatio_61_392,31,31
PayRatio_62_166,43,43
PayRatio_63_415,43,31
PayRatio_64_72,43,43
PayRatio_65_359,43,43
PayRatio_66_488,41,43
PayRatio_67_56,43,43
PayRatio_68_308,43,43
PayRatio_69_189,41,43
PayRatio_70_473,43,43
PayRatio_71_295,41,41
PayRatio_72_369,43,43
PayRatio_73_93,43,43
PayRatio_74_495,31,31
PayRatio_75_401,41,41
PayRatio_76_473,43,43
PayRatio_77_401,41,41
PayRatio_78_260,41,43
PayRatio_79_333,43,43
PayRatio_80_217,43,43
PayRatio_81_235,43,43
PayRatio_82_170,43,43
PayRatio_83_288,41,41
PayRatio_84_117,43,43
PayRatio_85_320,41,43
PayRatio_86_440,31,43
PayRatio_87_299,41,41
PayRatio_88_267,43,43
PayRatio_89_343,43,43
PayRatio_90_366,43,43
PayRatio_91_339,41,43
PayRatio_92_406,43,43
PayRatio_93_238,43,43
PayRatio_94_399,31,31
PayRatio_95_86,43,43
PayRatio_96_386,43,43
PayRatio_97_222,41,41
PayRatio_98_239,43,43
PayRatio_99_318,31,31
PayRatio_100_391,41,41
Diversity_1_42,64,64
Diversity_2_3,31,31
Diversity_3_27,43,43
Diversity_4_41,64,64
Diversity_5_28,43,42
Diversity_6_43,64,64
Diversity_7_55,71,71
Diversity_8_55,71,71
Diversity_9_22,42,42
Diversity_10_50,71,71
Diversity_11_13,43,43
Diversity_12_10,41,41
Diversity_13_52,71,71
Diversity_14_52,71,71
Diversity_15_0,31,31
Diversity_16_40,64,64
Diversity_17_32,42,42
Diversity_18_31,43,43
Diversity_19_32,42,42
Diversity_20_51,71,71
Diversity_21_28,43,42
Diversity_22_19,43,43
Diversity_23_14,43,42
Diversity_24_10,41,41
Diversity_25_45,64,71
Diversity_26_34,64,64
Diversity_27_41,64,64
Diversity_28_9,31,41
Diversity_29_54,71,71
Diversity_30_40,64,64
Diversity_31_14,43,42
Diversity_32_48,64,71
Diversity_33_43,64,64
Diversity_34_56,71,71
Diversity_35_25,43,43
Diversity_36_3,31,31
Diversity_37_6,31,31
Diversity_38_16,43,43
Diversity_39_53,71,71
Diversity_40_18,43,43
Diversity_41_8,41,31
Diversity_42_26,43,43
Diversity_43_23,43,43
Diversity_44_14,43,43
Diversity_45_13,43,43
Diversity_46_12,43,43
Diversity_47_5,31,31
Diversity_48_60,71,71
Diversity_49_47,67,67
Diversity_50_36,64,64
Diversity_51_20,41,41
Diversity_52_44,64,64
Diversity_53_17,43,43
Diversity_54_11,41,41
Diversity_55_4,31,31
Diversity_56_1,30,30
Diversity_57_25,43,43
Diversity_58_33,43,43
Diversity_59_23,43,43
Diversity_60_24,43,42
Diversity_61_56,71,71
Diversity_62_54,71,71
Diversity_63_35,51,51
Diversity_64_13,43,43
Diversity_65_20,41,41
Diversity_66_33,43,43
Diversity_67_11,41,41
Diversity_68_33,43,43
Diversity_69_42,64,64
Diversity_70_8,31,41
Diversity_71_5,31,31
Diversity_72_7,31,31
Diversity_73_49,64,64
Diversity_74_46,64,64
Diversity_75_8,31,41
Diversity_76_15,41,41
Diversity_77_45,64,71
Diversity_78_24,43,42
Diversity_79_22,42,42
Diversity_80_5,31,31
Diversity_81_0,31,31
Diversity_82_46,64,64
Diversity_83_19,43,43
Diversity_84_21,43,43
Diversity_85_18,43,42
Diversity_86_39,64,64
Diversity_87_54,71,71
Diversity_88_44,64,64
Diversity_89_39,64,64
Diversity_90_39,64,51
Diversity_91_46,64,64
Diversity_92_2,30,30
Diversity_93_30,51,51
Diversity_94_59,71,71
Diversity_95_37,64,64
Diversity_96_58,72,72
Diversity_97_9,41,31
Diversity_98_36,64,64
Diversity_99_43,64,64
Diversity_100_31,43,43
