Company_ID,Expert_E_a_practicing_muslim_man,Expert_E_a_practicing_christian_woman
Independence_1_13,41,41
Independence_2_83,71,71
Independence_3_12,40,41
Independence_4_59,67,67
Independence_5_22,43,43
Independence_6_31,43,43
Independence_7_13,41,43
Independence_8_73,71,71
Independence_9_40,51,51
Independence_10_56,64,64
Independence_11_83,71,71
Independence_12_76,71,71
Independence_13_18,43,43
Independence_14_13,43,43
Independence_15_87,71,71
Independence_16_19,43,43
Independence_17_37,42,43
Independence_18_78,71,71
Independence_19_85,71,71
Independence_20_49,64,64
Independence_21_47,64,64
Independence_22_47,67,64
Independence_23_52,67,67
Independence_24_65,71,71
Independence_25_33,43,43
Independence_26_39,43,43
Independence_27_31,41,43
Independence_28_53,67,64
Independence_29_57,67,64
Independence_30_33,43,43
Independence_31_24,43,43
Independence_32_15,40,41
Independence_33_80,71,71
Independence_34_27,43,43
Independence_35_33,43,43
Independence_36_89,71,71
Independence_37_88,71,71
Independence_38_24,43,43
Independence_39_32,43,43
Independence_40_10,40,40
Independence_41_18,43,43
Independence_42_47,51,64
Independence_43_43,43,43
Independence_44_17,43,43
Independence_45_46,61,64
Independence_46_56,64,64
Independence_47_54,67,67
Independence_48_88,71,71
Independence_49_51,71,71
Independence_50_72,71,71
Independence_51_68,71,71
Independence_52_19,43,43
Independence_53_36,43,43
Independence_54_71,71,71
Independence_55_60,71,71
Independence_56_70,71,71
Independence_57_19,41,43
Independence_58_81,71,71
Independence_59_17,43,43
Independence_60_31,43,43
Independence_61_54,67,67
Independence_62_48,61,64
Independence_63_59,64,64
Independence_64_87,71,71
Independence_65_79,71,71
Independence_66_56,64,64
Independence_67_61,71,71
Independence_68_30,41,41
Independence_69_87,71,71
Independence_70_86,71,71
Independence_71_39,43,43
Independence_72_51,67,71
Independence_73_14,41,43
Independence_74_42,42,61
Independence_75_83,71,71
Independence_76_18,43,43
Independence_77_14,41,43
Independence_78_16,41,43
Independence_79_38,42,43
Independence_80_62,67,71
Independence_81_76,71,71
Independence_82_33,43,43
Independence_83_75,71,71
Independence_84_88,71,71
Independence_85_73,71,71
Independence_86_60,71,71
Independence_87_38,43,42
Independence_88_11,40,41
Independence_89_39,43,43
Independence_90_20,41,41
Independence_91_79,71,71
Independence_92_22,43,43
Independence_93_26,43,43
Independence_94_90,71,71
Independence_95_21,41,43
Independence_96_42,42,61
Independence_97_42,42,42
Independence_98_78,71,71
Independence_99_33,43,43
Independence_100_22,41,43
PayRatio_1_134,43,43
PayRatio_2_352,43,43
PayRatio_3_85,43,43
PayRatio_4_382,43,43
PayRatio_5_484,41,31
PayRatio_6_262,43,43
PayRatio_7_229,43,43
PayRatio_8_52,43,43
PayRatio_9_183,43,43
PayRatio_10_181,43,43
PayRatio_11_56,43,43
PayRatio_12_349,43,43
PayRatio_13_289,41,43
PayRatio_14_468,43,43
