Company_ID,Expert_E_a_25-year-old_practicing_muslim_man,Expert_E_a_60-year-old_practicing_christian_woman
Independence_1_88,71,71
Independence_2_26,43,43
Independence_3_19,43,41
Independence_4_67,67,67
Independence_5_62,71,71
Independence_6_75,71,71
Independence_7_27,43,43
Independence_8_30,41,41
Independence_9_72,71,71
Independence_10_31,43,43
Independence_11_18,43,43
Independence_12_18,43,43
Independence_13_60,71,71
Independence_14_83,71,71
Independence_15_77,71,71
Independence_16_56,67,64
Independence_17_14,43,41
Independence_18_43,43,43
Independence_19_14,41,43
Independence_20_86,71,71
Independence_21_56,67,64
Independence_22_45,61,51
Independence_23_38,42,43
Independence_24_12,41,40
Independence_25_17,43,43
Independence_26_59,67,64
Independence_27_38,43,43
Independence_28_52,67,67
Independence_29_12,41,40
Independence_30_70,71,71
Independence_31_62,71,71
Independence_32_80,71,71
Independence_33_58,64,64
Independence_34_71,71,71
Independence_35_66,71,71
Independence_36_72,71,71
Independence_37_50,71,71
Independence_38_12,41,40
Independence_39_32,43,43
Independence_40_64,71,64
Independence_41_41,41,43
Independence_42_29,43,43
Independence_43_75,71,71
Independence_44_47,64,64
Independence_45_75,71,71
Independence_46_50,71,71
Independence_47_76,71,71
Independence_48_82,71,71
Independence_49_24,43,43
Independence_50_87,71,71
Independence_51_42,42,42
Independence_52_53,67,64
Independence_53_22,43,41
Independence_54_73,71,71
Independence_55_64,64,71
Independence_56_58,64,64
Independence_57_61,71,71
Independence_58_26,43,43
Independence_59_63,67,71
Independence_60_22,43,43
Independence_61_11,40,40
Independence_62_89,71,71
Independence_63_59,64,64
Independence_64_21,43,43
Independence_65_48,64,64
Independence_66_82,71,71
Independence_67_43,43,43
Independence_68_24,43,43
Independence_69_26,43,43
Independence_70_36,43,43
Independence_71_45,61,64
Independence_72_65,71,71
Independence_73_50,71,71
Independence_74_85,71,71
Independence_75_29,43,43
Independence_76_22,43,43
Independence_77_80,71,71
Independence_78_23,43,43
Independence_79_77,71,71
Independence_80_44,64,64
Independence_81_75,71,71
Independence_82_57,67,64
Independence_83_14,43,41
Independence_84_64,64,71
Independence_85_27,43,43
Independence_86_90,71,71
Independence_87_19,43,43
Independence_88_14,41,43
Independence_89_79,71,71
Independence_90_12,41,41
Independence_91_81,71,71
Independence_92_88,71,71
Independence_93_29,43,43
Independence_94_89,71,71
Independence_95_15,41,41
Independence_96_51,71,71
Independence_97_50,71,71
Independence_98_79,71,71
Independence_99_66,71,71
Independence_100_13,41,41
PayRatio_1_341,41,41
PayRatio_2_305,43,41
PayRatio_3_475,31,41
PayRatio_4_95,41,41
PayRatio_5_463,43,43
PayRatio_6_120,41,43
PayRatio_7_90,41,41
PayRatio_8_350,41,41
PayRatio_9_231,43,43
PayRatio_10_212,43,43
PayRatio_11_465,43,43
PayRatio_12_280,41,43
PayRatio_13_339,41,41
PayRatio_14_193,43,43
PayRatio_15_69,43,43
PayRatio_16_397,31,31
PayRatio_17_436,43,43
PayRatio_18_209,41,43
PayRatio_19_236,43,43
PayRatio_20_21,43,43
PayRatio_21_395,31,31
PayRatio_22_224,43,44
PayRatio_23_360,43,43
PayRatio_24_466,43,43
PayRatio_25_446,31,43
PayRatio_26_138,43,43
PayRatio_27_74,43,43
PayRatio_28_479,41,43
PayRatio_29_269,43,43
PayRatio_30_191,41,43
PayRatio_31_152,43,43
PayRatio_32_95,43,41
PayRatio_33_311,31,31
PayRatio_34_102,41,43
PayRatio_35_365,43,43
PayRatio_36_449,31,31
PayRatio_37_385,43,43
PayRatio_38_320,43,41
PayRatio_39_95,41,41
PayRatio_40_97,41,43
PayRatio_41_163,43,43
PayRatio_42_431,43,43
PayRatio_43_95,41,41
PayRatio_44_237,43,43
PayRatio_45_265,43,43
PayRatio_46_98,43,41
PayRatio_47_125,41,41
PayRatio_48_396,31,31
PayRatio_49_468,43,43
PayRatio_50_177,43,43
PayRatio_51_202,43,43
PayRatio_52_300,41,40
PayRatio_53_369,43,43
PayRatio_54_416,43,31
PayRatio_55_346,41,41
PayRatio_56_313,43,43
PayRatio_57_284,43,43
PayRatio_58_251,41,41
PayRatio_59_91,41,41
PayRatio_60_499,31,31
PayRatio_61_214,43,43
PayRatio_62_338,43,43
PayRatio_63_180,41,41
PayRatio_64_453,43,43
PayRatio_65_442,31,44
PayRatio_66_382,43,43
PayRatio_67_66,43,43
PayRatio_68_471,41,41
PayRatio_69_466,43,43
PayRatio_70_110,43,43
PayRatio_71_101,41,41
PayRatio_72_349,41,43
PayRatio_73_460,31,31
PayRatio_74_454,31,31
PayRatio_75_420,40,31
PayRatio_76_33,43,43
PayRatio_77_264,41,43
PayRatio_78_65,43,43
PayRatio_79_450,31,31
PayRatio_80_118,43,43
PayRatio_81_468,43,43
PayRatio_82_453,43,43
PayRatio_83_80,41,43
PayRatio_84_184,43,43
PayRatio_85_478,41,43
PayRatio_86_209,41,43
PayRatio_87_230,40,43
PayRatio_88_89,43,43
PayRatio_89_147,43,43
PayRatio_90_470,31,41
PayRatio_91_288,43,43
PayRatio_92_178,43,43
PayRatio_93_370,40,41
PayRatio_94_264,41,43
PayRatio_95_142,43,43
PayRatio_96_455,31,31
PayRatio_97_48,43,43
PayRatio_98_177,43,43
PayRatio_99_204,43,43
PayRatio_100_142,43,43
Diversity_1_5,31,31
Diversity_2_34,64,64
Diversity_3_47,67,67
Diversity_4_32,51,51
Diversity_5_32,51,42
Diversity_6_0,31,31
Diversity_7_10,41,40
Diversity_8_13,43,43
Diversity_9_5,31,31
Diversity_10_54,71,71
Diversity_11_16,43,43
Diversity_12_46,64,64
Diversity_13_44,64,64
Diversity_14_5,31,31
Diversity_15_25,43,42
Diversity_16_16,43,43
Diversity_17_24,43,43
Diversity_18_27,43,43
Diversity_19_9,31,41
Diversity_20_50,71,71
Diversity_21_49,64,64
Diversity_22_36,64,64
Diversity_23_48,71,71
Diversity_24_40,64,64
Diversity_25_40,64,64
Diversity_26_27,43,43
Diversity_27_31,51,43
Diversity_28_1,30,30
Diversity_29_22,42,42
Diversity_30_45,71,71
Diversity_31_58,71,72
Diversity_32_28,42,42
Diversity_33_54,71,71
Diversity_34_27,43,43
Diversity_35_13,43,43
Diversity_36_37,64,64
Diversity_37_8,31,31
Diversity_38_32,51,42
Diversity_39_58,71,72
Diversity_40_14,42,42
