Company_ID,Expert_S_a_man,Expert_S_a_woman
Paygap_1_17,43,43
Paygap_2_18,43,43
Paygap_3_19,43,43
Paygap_4_10,43,43
Paygap_5_2,64,64
Paygap_6_19,43,43
Paygap_7_27,43,43
Paygap_8_21,43,43
Paygap_9_19,43,43
Paygap_10_19,43,43
Paygap_11_35,41,41
Paygap_12_21,43,43
Paygap_13_27,43,43
Paygap_14_9,43,43
Paygap_15_7,43,43
Paygap_16_7,43,43
Paygap_17_33,43,43
Paygap_18_4,64,64
Paygap_19_21,43,43
Paygap_20_22,43,43
Paygap_21_17,43,43
Paygap_22_12,43,43
Paygap_23_37,43,43
Paygap_24_23,43,43
Paygap_25_29,43,43
Paygap_26_9,43,43
Paygap_27_12,43,43
Paygap_28_8,43,43
Paygap_29_33,43,43
Paygap_30_37,43,43
Paygap_31_23,43,43
Paygap_32_19,43,43
Paygap_33_26,43,43
Paygap_34_14,43,43
Paygap_35_38,43,43
Paygap_36_13,43,43
Paygap_37_9,43,43
Paygap_38_31,43,43
Paygap_39_39,43,43
Paygap_40_33,43,43
Paygap_41_23,43,43
Paygap_42_19,43,43
Paygap_43_14,43,43
Paygap_44_17,43,43
Paygap_45_13,43,43
Paygap_46_17,43,43
Paygap_47_3,64,64
Paygap_48_19,43,43
Paygap_49_34,43,43
Paygap_50_4,64,64
Paygap_51_9,43,43
Paygap_52_1,64,64
Paygap_53_25,43,43
Paygap_54_21,43,43
Paygap_55_23,43,43
Paygap_56_10,43,43
Paygap_57_39,43,43
Paygap_58_12,43,43
Paygap_59_1,64,64
Paygap_60_27,43,43
Paygap_61_35,41,41
Paygap_62_14,43,43
Paygap_63_14,43,43
Paygap_64_25,43,43
Paygap_65_23,43,43
Paygap_66_21,43,43
Paygap_67_8,43,43
Paygap_68_23,43,43
Paygap_69_26,43,43
Paygap_70_31,43,43
Paygap_71_22,43,43
Paygap_72_21,43,43
Paygap_73_31,43,43
Paygap_74_20,41,41
Paygap_75_17,43,43
Paygap_76_11,43,43
Paygap_77_15,43,43
Paygap_78_34,43,43
Paygap_79_28,43,43
Paygap_80_7,43,43
Paygap_81_17,43,43
Paygap_82_6,43,64
Paygap_83_14,43,43
Paygap_84_12,43,43
Paygap_85_5,51,51
Paygap_86_23,43,43
Paygap_87_4,64,64
Paygap_88_1,64,64
Paygap_89_25,43,43
Paygap_90_11,43,43
Paygap_91_22,43,43
Paygap_92_38,43,43
Paygap_93_3,64,64
Paygap_94_23,43,43
Paygap_95_24,43,43
Paygap_96_20,41,41
Paygap_97_27,43,43
Paygap_98_4,64,64
Paygap_99_36,43,43
Paygap_100_33,43,43
Accidents_1_99,41,43
Accidents_2_20,43,41
Accidents_3_17,43,43
Accidents_4_46,43,43
Accidents_5_2,40,40
Accidents_6_89,43,43
Accidents_7_91,43,43
Accidents_8_53,43,43
Accidents_9_15,43,43
Accidents_10_77,43,43
Accidents_11_36,43,43
Accidents_12_39,43,43
Accidents_13_19,43,43
Accidents_14_29,43,43
Accidents_15_43,43,43
Accidents_16_52,43,43
Accidents_17_16,43,43
Accidents_18_16,43,43
Accidents_19_44,43,43
Accidents_20_64,43,43
Accidents_21_52,43,43
Accidents_22_14,43,43
Accidents_23_72,43,43
Accidents_24_85,41,41
Accidents_25_4,40,41
Accidents_26_79,43,43
Accidents_27_60,41,41
Accidents_28_83,43,43
Accidents_29_34,43,43
Accidents_30_19,43,43
Accidents_31_45,43,43
Accidents_32_14,43,43
Accidents_33_25,43,43
Accidents_34_100,40,41
Accidents_35_16,43,43
Accidents_36_52,43,43
Accidents_37_46,43,43
Accidents_38_76,43,43
Accidents_39_63,43,43
Accidents_40_71,40,43
Accidents_41_27,43,43
Accidents_42_88,43,43
Accidents_43_42,43,43
Accidents_44_28,43,43
Accidents_45_8,43,43
Accidents_46_57,43,43
Accidents_47_73,43,43
Accidents_48_68,43,43
Accidents_49_72,43,43
Accidents_50_15,43,43
Accidents_51_3,40,40
Accidents_52_36,43,43
Accidents_53_24,43,43
Accidents_54_41,43,43
Accidents_55_51,43,43
Accidents_56_66,43,43
Accidents_57_28,43,43
Accidents_58_15,43,43
Accidents_59_81,43,43
Accidents_60_73,43,43
Accidents_61_25,43,43
Accidents_62_26,43,43
Accidents_63_36,43,43
Accidents_64_32,43,43
Accidents_65_11,43,43
Accidents_66_78,43,43
Accidents_67_82,43,43
Accidents_68_6,43,43
Accidents_69_26,43,43
