Company_ID,Expert_S_a_practicing_muslim,Expert_S_a_practicing_christian
Paygap_1_3,64,64
Paygap_2_17,43,43
Paygap_3_10,43,43
Paygap_4_18,43,43
Paygap_5_2,64,64
Paygap_6_14,43,43
Paygap_7_17,43,43
Paygap_8_24,43,43
Paygap_9_33,43,43
Paygap_10_39,43,43
Paygap_11_12,43,43
Paygap_12_8,43,43
Paygap_13_10,43,43
Paygap_14_16,43,43
Paygap_15_10,43,43
Paygap_16_14,43,43
Paygap_17_26,43,43
Paygap_18_19,43,43
Paygap_19_32,43,43
Paygap_20_39,43,43
Paygap_21_33,43,43
Paygap_22_40,41,41
Paygap_23_27,43,43
Paygap_24_5,51,51
Paygap_25_10,43,43
Paygap_26_26,43,43
Paygap_27_37,43,43
Paygap_28_9,43,43
Paygap_29_15,43,43
Paygap_30_32,43,43
Paygap_31_23,43,43
Paygap_32_5,51,51
Paygap_33_5,51,51
Paygap_34_25,43,43
Paygap_35_14,43,43
Paygap_36_16,43,43
Paygap_37_10,43,43
Paygap_38_31,43,43
Paygap_39_15,43,43
Paygap_40_16,43,43
Paygap_41_26,43,43
Paygap_42_23,43,43
Paygap_43_7,43,43
Paygap_44_5,51,51
Paygap_45_1,64,64
Paygap_46_37,43,43
Paygap_47_15,43,43
Paygap_48_20,41,41
Paygap_49_17,43,43
Paygap_50_13,43,43
Paygap_51_8,43,43
Paygap_52_10,43,41
Paygap_53_4,64,64
Paygap_54_26,43,43
Paygap_55_3,64,64
Paygap_56_34,43,43
Paygap_57_38,43,43
Paygap_58_5,51,51
Paygap_59_4,64,64
Paygap_60_1,64,64
Paygap_61_11,43,43
Paygap_62_14,43,43
Paygap_63_34,43,43
Paygap_64_27,43,43
Paygap_65_6,43,64
Paygap_66_1,64,64
Paygap_67_5,51,51
Paygap_68_24,43,43
Paygap_69_24,43,43
Paygap_70_21,43,43
Paygap_71_26,43,43
Paygap_72_33,43,43
Paygap_73_12,43,43
Paygap_74_25,43,43
Paygap_75_26,43,43
Paygap_76_29,43,43
Paygap_77_21,43,43
Paygap_78_29,43,43
Paygap_79_10,43,43
Paygap_80_17,43,43
Paygap_81_39,43,43
Paygap_82_8,43,43
Paygap_83_3,64,64
Paygap_84_24,43,43
Paygap_85_1,64,64
Paygap_86_16,43,43
Paygap_87_26,43,43
Paygap_88_28,43,43
Paygap_89_16,43,43
Paygap_90_4,64,64
Paygap_91_12,43,43
Paygap_92_36,43,43
Paygap_93_40,41,41
Paygap_94_20,41,41
Paygap_95_11,43,43
Paygap_96_12,43,43
Paygap_97_30,41,41
Paygap_98_13,43,43
Paygap_99_9,43,43
Paygap_100_34,43,43
Accidents_1_73,43,43
Accidents_2_35,43,43
Accidents_3_18,43,43
Accidents_4_19,43,43
Accidents_5_57,43,43
Accidents_6_8,40,43
Accidents_7_91,43,43
Accidents_8_68,43,43
Accidents_9_68,43,43
Accidents_10_18,43,43
Accidents_11_88,43,43
Accidents_12_99,40,41
Accidents_13_50,40,41
