Company_ID,Expert_S_a_25-year-old,Expert_S_a_60-year-old
Paygap_1_40,41,41
Paygap_2_25,41,41
Paygap_3_35,41,41
Paygap_4_6,64,51
Paygap_5_31,43,43
Paygap_6_26,43,43
Paygap_7_5,51,51
Paygap_8_19,43,43
Paygap_9_22,43,43
Paygap_10_35,41,41
Paygap_11_35,41,41
Paygap_12_21,43,43
Paygap_13_3,64,64
Paygap_14_11,43,43
Paygap_15_1,71,71
Paygap_16_40,41,41
Paygap_17_19,43,43
Paygap_18_17,43,43
Paygap_19_6,43,64
Paygap_20_32,43,43
Paygap_21_7,43,43
Paygap_22_11,43,43
Paygap_23_12,43,43
Paygap_24_8,43,43
Paygap_25_29,43,43
Paygap_26_22,43,43
Paygap_27_22,43,43
Paygap_28_15,43,43
Paygap_29_17,43,43
Paygap_30_37,43,43
Paygap_31_2,64,64
Paygap_32_5,51,51
Paygap_33_15,43,43
Paygap_34_11,43,43
Paygap_35_9,43,43
Paygap_36_24,43,43
Paygap_37_19,43,43
Paygap_38_8,43,43
Paygap_39_6,43,64
Paygap_40_39,43,43
Paygap_41_29,43,43
Paygap_42_40,41,41
Paygap_43_14,43,43
Paygap_44_16,43,43
Paygap_45_32,43,43
Paygap_46_8,43,43
Paygap_47_4,64,64
Paygap_48_33,43,43
Paygap_49_2,64,64
Paygap_50_14,43,43
Paygap_51_32,43,43
Paygap_52_3,64,64
Paygap_53_15,43,43
Paygap_54_15,43,43
Paygap_55_33,43,43
Paygap_56_23,43,43
Paygap_57_35,41,41
Paygap_58_2,64,64
Paygap_59_21,43,43
Paygap_60_25,41,41
Paygap_61_37,43,43
Paygap_62_12,43,43
Paygap_63_38,43,43
Paygap_64_23,43,43
Paygap_65_2,64,64
Paygap_66_35,41,41
Paygap_67_25,41,41
Paygap_68_9,43,43
Paygap_69_25,43,43
Paygap_70_26,43,43
Paygap_71_25,43,41
Paygap_72_5,51,51
Paygap_73_29,43,43
Paygap_74_34,43,43
Paygap_75_9,43,43
Paygap_76_25,43,43
Paygap_77_16,43,43
Paygap_78_38,43,43
Paygap_79_32,43,43
Paygap_80_38,43,43
Paygap_81_6,43,64
