Company_ID,Expert_S_a_25-year-old_practicing_muslim,Expert_S_a_60-year-old_practicing_christian
Paygap_1_14,43,43
Paygap_2_37,43,43
Paygap_3_39,43,43
Paygap_4_16,43,43
Paygap_5_19,43,43
Paygap_6_9,43,43
Paygap_7_26,43,43
Paygap_8_25,43,43
Paygap_9_31,43,43
Paygap_10_29,43,43
Paygap_11_37,43,43
Paygap_12_18,43,43
Paygap_13_9,43,43
Paygap_14_37,43,43
Paygap_15_32,43,43
Paygap_16_16,43,43
Paygap_17_19,43,43
Paygap_18_18,43,43
Paygap_19_35,41,41
Paygap_20_36,43,43
Paygap_21_27,43,43
Paygap_22_32,43,43
Paygap_23_38,43,43
Paygap_24_36,43,43
Paygap_25_33,43,43
Paygap_26_17,43,43
Paygap_27_5,51,51
Paygap_28_26,43,43
Paygap_29_36,43,43
Paygap_30_12,43,43
Paygap_31_12,43,43
Paygap_32_9,43,43
Paygap_33_3,64,64
Paygap_34_10,43,43
Paygap_35_13,43,43
Paygap_36_4,64,64
Paygap_37_2,64,64
Paygap_38_7,43,43
Paygap_39_15,43,43
Paygap_40_2,64,64
Paygap_41_13,43,43
Paygap_42_14,43,43
Paygap_43_22,43,43
Paygap_44_32,43,43
Paygap_45_38,43,43
Paygap_46_4,64,64
Paygap_47_38,43,43
Paygap_48_13,43,43
Paygap_49_21,43,43
Paygap_50_28,43,43
Paygap_51_22,43,43
Paygap_52_18,43,43
Paygap_53_18,43,43
Paygap_54_8,43,43
Paygap_55_24,43,43
Paygap_56_2,64,64
Paygap_57_29,43,43
Paygap_58_21,43,43
Paygap_59_11,43,43
Paygap_60_34,43,43
Paygap_61_6,43,64
Paygap_62_27,43,43
Paygap_63_14,43,43
Paygap_64_31,43,43
Paygap_65_32,43,43
Paygap_66_36,43,43
Paygap_67_4,64,64
Paygap_68_17,43,43
Paygap_69_25,43,43
Paygap_70_39,43,43
Paygap_71_11,43,43
Paygap_72_5,51,51
Paygap_73_17,43,43
Paygap_74_18,43,43
Paygap_75_2,64,64
Paygap_76_2,64,64
Paygap_77_25,43,43
Paygap_78_39,43,43
