Company_ID,Expert_S_a_25-year-old_man,Expert_S_a_60-year-old_woman
Paygap_1_38,43,43
Paygap_2_34,43,43
Paygap_3_4,64,64
Paygap_4_28,43,43
Paygap_5_30,41,41
Paygap_6_2,64,64
Paygap_7_36,43,43
Paygap_8_32,43,43
Paygap_9_17,43,43
Paygap_10_18,43,43
Paygap_11_33,43,43
Paygap_12_11,43,43
Paygap_13_35,41,43
Paygap_14_3,64,64
Paygap_15_19,43,43
Paygap_16_14,43,43
Paygap_17_30,41,41
Paygap_18_26,43,43
Paygap_19_30,41,41
Paygap_20_40,41,41
Paygap_21_5,51,51
Paygap_22_14,43,43
Paygap_23_35,41,41
Paygap_24_25,43,43
Paygap_25_24,43,43
Paygap_26_20,41,41
Paygap_27_17,43,43
Paygap_28_27,43,43
Paygap_29_32,43,43
Paygap_30_15,43,43
Paygap_31_38,43,43
Paygap_32_34,43,43
Paygap_33_17,43,43
Paygap_34_14,43,43
Paygap_35_17,43,43
Paygap_36_26,43,43
Paygap_37_39,43,43
Paygap_38_11,43,43
Paygap_39_20,41,41
Paygap_40_24,43,43
Paygap_41_35,41,41
Paygap_42_2,64,64
Paygap_43_32,43,43
Paygap_44_2,64,64
Paygap_45_23,43,43
Paygap_46_6,43,64
Paygap_47_19,43,43
Paygap_48_27,43,43
Paygap_49_29,43,43
Paygap_50_20,41,41
Paygap_51_15,43,43
Paygap_52_3,64,64
Paygap_53_1,71,71
Paygap_54_16,43,43
Paygap_55_18,43,43
Paygap_56_16,43,43
Paygap_57_27,43,43
Paygap_58_30,41,41
Paygap_59_5,51,51
Paygap_60_35,41,43
Paygap_61_26,43,43
Paygap_62_38,43,43
Paygap_63_29,43,43
Paygap_64_24,43,43
Paygap_65_38,43,43
Paygap_66_35,41,41
Paygap_67_8,43,43
Paygap_68_20,41,41
Paygap_69_12,43,43
Paygap_70_25,43,43
Paygap_71_37,43,43
Paygap_72_23,43,43
Paygap_73_7,43,43
Paygap_74_18,43,43
Paygap_75_4,64,64
Paygap_76_36,43,43
Paygap_77_38,43,43
Paygap_78_14,43,43
Paygap_79_24,43,43
Paygap_80_24,43,43
Paygap_81_18,43,43
Paygap_82_22,43,43
Paygap_83_25,43,43
Paygap_84_24,43,43
Paygap_85_11,43,43
Paygap_86_10,41,43
Paygap_87_4,64,64
Paygap_88_8,43,43
Paygap_89_25,43,43
Paygap_90_32,43,43
Paygap_91_28,43,43
Paygap_92_23,43,43
Paygap_93_26,43,43
Paygap_94_27,43,43
Paygap_95_32,43,43
Paygap_96_16,43,43
Paygap_97_28,43,43
Paygap_98_26,43,43
Paygap_99_31,43,43
Paygap_100_33,43,43
Accidents_1_10,40,40
Accidents_2_71,40,40
Accidents_3_2,40,40
Accidents_4_85,43,41
Accidents_5_15,40,43
Accidents_6_2,40,40
Accidents_7_66,43,43
Accidents_8_80,40,41
Accidents_9_23,43,43
Accidents_10_63,41,43
Accidents_11_73,41,43
Accidents_12_14,43,43
Accidents_13_6,40,43
Accidents_14_83,40,43
Accidents_15_3,40,40
Accidents_16_48,43,43
Accidents_17_37,43,43
Accidents_18_88,40,43
Accidents_19_38,43,43
Accidents_20_51,40,43
Accidents_21_51,43,43
Accidents_22_40,41,43
Accidents_23_93,43,43
Accidents_24_73,43,43
Accidents_25_17,43,43
Accidents_26_92,40,41
Accidents_27_67,43,43
Accidents_28_98,40,40
Accidents_29_1,40,40
Accidents_30_27,43,43
Accidents_31_64,43,43
Accidents_32_75,40,40
Accidents_33_9,40,43
Accidents_34_37,43,43
Accidents_35_1,41,40
Accidents_36_94,40,43
Accidents_37_6,43,43
Accidents_38_51,40,43
Accidents_39_17,43,43
Accidents_40_93,41,43
Accidents_41_73,40,43
Accidents_42_29,41,43
Accidents_43_55,43,43
Accidents_44_18,43,43
Accidents_45_14,43,43
Accidents_46_81,43,43
Accidents_47_63,41,43
Accidents_48_32,43,43
Accidents_49_22,43,43
Accidents_50_51,43,43
Accidents_51_100,40,40
Accidents_52_36,43,43
Accidents_53_99,40,43
Accidents_54_96,40,40
Accidents_55_56,43,43
Accidents_56_22,43,43
Accidents_57_26,43,43
Accidents_58_61,43,43
Accidents_59_85,41,41
Accidents_60_75,40,40
Accidents_61_76,43,43
Accidents_62_97,40,40
Accidents_63_30,41,41
Accidents_64_69,41,43
Accidents_65_50,40,40
Accidents_66_57,43,43
Accidents_67_55,43,43
Accidents_68_72,41,43
Accidents_69_88,40,43
Accidents_70_82,40,43
Accidents_71_52,40,43
Accidents_72_25,41,43
Accidents_73_51,40,43
Accidents_74_31,43,43
Accidents_75_8,40,43
Accidents_76_38,43,43
Accidents_77_4,40,40
Accidents_78_79,43,43
Accidents_79_61,43,43
Accidents_80_85,40,41
Accidents_81_78,40,43
Accidents_82_84,40,43
Accidents_83_69,43,43
Accidents_84_54,43,43
Accidents_85_89,43,43
Accidents_86_65,41,43
Accidents_87_22,43,43
Accidents_88_46,43,43
Accidents_89_96,40,40
Accidents_90_5,40,40
Accidents_91_49,43,43
Accidents_92_60,41,41
Accidents_93_10,40,40
Accidents_94_7,40,43
Accidents_95_20,40,40
Accidents_96_17,43,43
Accidents_97_86,43,43
Accidents_98_74,40,43
Accidents_99_29,43,43
Accidents_100_43,43,43
Rotation_1_51,43,43
Rotation_2_42,42,42
Rotation_3_34,43,43
Rotation_4_51,43,43
Rotation_5_14,64,64
Rotation_6_56,43,43
Rotation_7_66,43,43
Rotation_8_8,64,64
Rotation_9_39,43,43
Rotation_10_74,43,43
Rotation_11_60,40,40
Rotation_12_70,40,40
Rotation_13_7,64,71
Rotation_14_34,43,43
Rotation_15_31,43,43
Rotation_16_88,40,40
Rotation_17_72,43,43
Rotation_18_61,43,43
Rotation_19_31,43,43
Rotation_20_76,43,43
Rotation_21_46,43,43
Rotation_22_98,20,20
Rotation_23_37,43,43
Rotation_24_77,43,43
Rotation_25_58,43,43
Rotation_26_91,41,41
Rotation_27_14,64,64
Rotation_28_27,43,43
Rotation_29_25,43,43
Rotation_30_42,42,42
Rotation_31_28,43,43
Rotation_32_59,43,43
Rotation_33_12,64,64
Rotation_34_98,20,20
Rotation_35_25,43,43
Rotation_36_69,43,43
Rotation_37_31,43,43
Rotation_38_73,43,43
Rotation_39_87,43,43
Rotation_40_67,43,43
Rotation_41_44,44,44
Rotation_42_90,40,40
Rotation_43_11,64,64
Rotation_44_14,64,64
Rotation_45_59,43,43
Rotation_46_17,64,64
Rotation_47_95,40,40
Rotation_48_47,43,43
Rotation_49_84,41,43
Rotation_50_48,43,43
Rotation_51_57,43,43
Rotation_52_71,41,41
Rotation_53_59,43,43
Rotation_54_36,43,43
Rotation_55_26,64,64
Rotation_56_23,43,43
Rotation_57_96,30,20
Rotation_58_56,43,43
Rotation_59_54,43,43
Rotation_60_66,43,43
Rotation_61_40,40,40
Rotation_62_4,71,71
Rotation_63_60,40,40
Rotation_64_5,71,71
Rotation_65_31,43,43
Rotation_66_4,71,71
Rotation_67_20,43,43
Rotation_68_11,64,64
Rotation_69_10,64,64
Rotation_70_77,43,43
Rotation_71_80,40,40
Rotation_72_13,64,64
Rotation_73_55,45,45
Rotation_74_55,45,43
Rotation_75_25,43,43
Rotation_76_26,64,64
Rotation_77_32,43,43
Rotation_78_8,64,64
Rotation_79_29,64,64
Rotation_80_46,43,43
Rotation_81_31,43,43
Rotation_82_81,41,41
Rotation_83_5,71,71
Rotation_84_2,71,72
Rotation_85_47,43,43
Rotation_86_29,64,64
Rotation_87_14,64,64
Rotation_88_80,40,40
Rotation_89_35,43,42
Rotation_90_8,64,64
Rotation_91_53,43,43
Rotation_92_87,43,43
Rotation_93_1,82,71
Rotation_94_95,30,40
Rotation_95_61,43,43
Rotation_96_42,42,42
Rotation_97_79,43,43
Rotation_98_4,71,71
Rotation_99_56,43,43
Rotation_100_43,43,43
