Company_ID,Expert_S_a_practicing_muslim_man,Expert_S_a_practicing_christian_woman
Paygap_1_2,64,64
Paygap_2_36,43,43
Paygap_3_21,43,43
Paygap_4_28,43,43
Paygap_5_5,51,64
Paygap_6_24,43,43
Paygap_7_2,64,64
Paygap_8_39,43,43
Paygap_9_31,43,43
Paygap_10_3,64,64
Paygap_11_23,43,43
Paygap_12_37,43,43
Paygap_13_6,64,64
Paygap_14_3,64,64
Paygap_15_27,43,43
Paygap_16_5,64,64
Paygap_17_13,43,43
Paygap_18_3,64,64
Paygap_19_15,43,43
Paygap_20_23,43,43
Paygap_21_6,43,64
Paygap_22_33,43,43
Paygap_23_11,43,43
Paygap_24_34,43,43
Paygap_25_18,43,43
Paygap_26_8,43,43
Paygap_27_29,43,43
Paygap_28_21,43,43
Paygap_29_5,51,51
Paygap_30_9,43,43
Paygap_31_15,43,43
Paygap_32_32,43,43
Paygap_33_10,43,43
Paygap_34_9,43,43
Paygap_35_19,43,43
Paygap_36_5,51,64
Paygap_37_11,43,43
Paygap_38_5,64,64
Paygap_39_36,43,43
Paygap_40_38,43,43
Paygap_41_14,43,43
Paygap_42_27,43,43
Paygap_43_34,43,43
Paygap_44_32,43,43
Paygap_45_29,43,43
Paygap_46_31,43,43
Paygap_47_21,43,43
Paygap_48_33,43,43
Paygap_49_37,43,43
Paygap_50_27,43,43
Paygap_51_13,43,43
Paygap_52_16,43,43
Paygap_53_2,64,64
Paygap_54_19,43,43
Paygap_55_17,43,43
Paygap_56_3,64,64
Paygap_57_28,43,43
Paygap_58_16,43,43
Paygap_59_6,43,64
Paygap_60_40,41,41
Paygap_61_25,43,43
Paygap_62_36,43,43
Paygap_63_25,43,43
Paygap_64_8,43,43
Paygap_65_28,43,43
Paygap_66_2,64,64
Paygap_67_25,43,43
Paygap_68_6,64,64
Paygap_69_39,43,43
Paygap_70_26,43,43
Paygap_71_3,64,64
Paygap_72_29,43,43
Paygap_73_34,43,43
Paygap_74_16,43,43
Paygap_75_30,41,41
Paygap_76_4,64,64
Paygap_77_25,43,43
Paygap_78_16,43,43
Paygap_79_33,43,43
Paygap_80_10,43,43
Paygap_81_1,64,71
Paygap_82_7,43,43
Paygap_83_37,43,43
Paygap_84_21,43,43
Paygap_85_7,43,43
Paygap_86_6,64,64
Paygap_87_15,43,43
Paygap_88_18,43,43
Paygap_89_9,43,43
Paygap_90_24,43,43
Paygap_91_24,43,43
Paygap_92_30,41,41
Paygap_93_32,43,43
Paygap_94_34,43,43
Paygap_95_2,64,64
Paygap_96_7,43,43
Paygap_97_34,43,43
Paygap_98_11,43,43
Paygap_99_13,43,43
Paygap_100_21,43,43
Accidents_1_89,43,43
Accidents_2_94,40,43
Accidents_3_15,43,43
Accidents_4_30,41,41
Accidents_5_38,43,43
Accidents_6_47,43,43
Accidents_7_83,40,43
Accidents_8_44,43,43
Accidents_9_70,40,40
Accidents_10_17,43,43
Accidents_11_62,43,43
Accidents_12_20,40,40
Accidents_13_22,43,43
Accidents_14_88,43,43
Accidents_15_31,43,43
Accidents_16_54,43,43
Accidents_17_1,40,41
Accidents_18_16,43,43
Accidents_19_30,40,43
Accidents_20_8,43,43
Accidents_21_16,43,43
Accidents_22_35,43,43
Accidents_23_56,43,43
Accidents_24_30,40,43
Accidents_25_81,43,43
Accidents_26_5,40,40
Accidents_27_33,43,43
Accidents_28_81,43,43
Accidents_29_86,43,43
Accidents_30_43,43,43
Accidents_31_17,43,43
Accidents_32_57,43,43
Accidents_33_72,43,43
Accidents_34_60,41,41
Accidents_35_18,43,43
Accidents_36_26,43,43
Accidents_37_63,43,43
Accidents_38_8,40,43
Accidents_39_38,43,43
Accidents_40_70,40,41
Accidents_41_25,43,43
Accidents_42_59,43,43
Accidents_43_53,43,43
Accidents_44_46,43,43
Accidents_45_65,43,43
Accidents_46_11,43,43
Accidents_47_61,43,43
Accidents_48_63,43,43
Accidents_49_30,40,41
Accidents_50_10,40,40
Accidents_51_76,43,43
Accidents_52_56,43,43
Accidents_53_92,40,43
Accidents_54_7,43,40
Accidents_55_83,43,43
Accidents_56_78,43,43
Accidents_57_20,40,40
Accidents_58_86,43,43
Accidents_59_51,43,43
Accidents_60_12,40,40
Accidents_61_6,43,43
Accidents_62_83,40,43
Accidents_63_61,43,43
Accidents_64_46,43,43
Accidents_65_84,40,43
Accidents_66_65,43,43
Accidents_67_47,43,43
Accidents_68_7,40,43
Accidents_69_85,40,43
Accidents_70_8,40,43
Accidents_71_67,43,43
Accidents_72_95,40,43
Accidents_73_4,40,40
Accidents_74_22,43,43
Accidents_75_15,43,43
Accidents_76_52,43,43
Accidents_77_55,43,43
Accidents_78_43,43,43
Accidents_79_12,40,40
Accidents_80_9,43,43
Accidents_81_33,43,43
Accidents_82_14,43,43
Accidents_83_50,40,40
Accidents_84_87,43,43
Accidents_85_41,43,43
Accidents_86_90,40,41
Accidents_87_44,43,43
Accidents_88_28,43,43
Accidents_89_2,40,40
Accidents_90_17,43,43
Accidents_91_12,40,40
Accidents_92_20,40,40
Accidents_93_45,43,43
Accidents_94_23,43,43
Accidents_95_87,43,43
Accidents_96_9,43,43
Accidents_97_70,40,41
Accidents_98_19,43,43
Accidents_99_37,43,43
Accidents_100_82,41,43
Rotation_1_66,43,43
Rotation_2_80,40,40
Rotation_3_44,44,44
Rotation_4_65,45,43
Rotation_5_95,40,30
Rotation_6_46,43,43
Rotation_7_19,64,64
Rotation_8_6,71,71
Rotation_9_15,64,64
Rotation_10_9,64,64
Rotation_11_4,71,71
Rotation_12_6,64,64
Rotation_13_31,43,43
Rotation_14_47,43,43
Rotation_15_71,41,41
Rotation_16_6,64,64
Rotation_17_46,43,43
Rotation_18_54,43,43
Rotation_19_48,43,43
Rotation_20_3,71,71
Rotation_21_92,30,30
Rotation_22_6,71,64
Rotation_23_49,43,43
Rotation_24_88,40,40
Rotation_25_41,41,41
Rotation_26_58,42,43
Rotation_27_45,45,45
Rotation_28_28,42,42
Rotation_29_54,43,43
Rotation_30_36,43,43
Rotation_31_30,43,43
Rotation_32_82,41,40
Rotation_33_20,43,43
Rotation_34_16,64,64
Rotation_35_65,45,45
Rotation_36_84,41,40
Rotation_37_93,30,30
Rotation_38_30,43,43
Rotation_39_28,64,43
Rotation_40_48,43,43
Rotation_41_25,43,43
Rotation_42_43,43,43
Rotation_43_61,43,43
Rotation_44_99,20,20
Rotation_45_28,42,42
Rotation_46_28,42,42
Rotation_47_25,43,43
Rotation_48_32,43,43
Rotation_49_53,43,43
Rotation_50_52,43,43
Rotation_51_95,40,30
Rotation_52_66,43,43
Rotation_53_96,20,20
Rotation_54_17,64,64
Rotation_55_59,43,43
Rotation_56_85,40,40
Rotation_57_83,43,43
Rotation_58_54,43,43
Rotation_59_68,43,43
Rotation_60_96,20,20
Rotation_61_67,43,43
Rotation_62_20,43,43
Rotation_63_31,43,43
Rotation_64_98,20,20
Rotation_65_82,40,41
Rotation_66_12,64,64
Rotation_67_95,40,30
Rotation_68_26,64,64
Rotation_69_73,43,43
Rotation_70_33,43,43
Rotation_71_2,72,72
Rotation_72_40,40,40
Rotation_73_25,43,43
Rotation_74_12,64,64
Rotation_75_72,43,43
Rotation_76_68,43,43
Rotation_77_56,43,43
Rotation_78_30,43,43
Rotation_79_96,20,20
Rotation_80_23,43,43
Rotation_81_96,20,20
Rotation_82_83,43,43
Rotation_83_45,43,45
Rotation_84_44,44,44
Rotation_85_60,40,40
Rotation_86_74,43,43
Rotation_87_49,43,43
Rotation_88_92,30,30
Rotation_89_84,43,41
Rotation_90_30,43,43
Rotation_91_41,41,41
Rotation_92_64,43,43
Rotation_93_28,64,43
Rotation_94_52,43,43
Rotation_95_58,43,43
Rotation_96_42,42,42
Rotation_97_99,20,20
Rotation_98_29,64,64
Rotation_99_56,43,43
Rotation_100_14,64,64
