Company_ID,Expert_S_a_25-year-old_practicing_muslim_man,Expert_S_a_60-year-old_practicing_christian_woman
Paygap_1_5,51,64
Paygap_2_40,41,41
Paygap_3_9,43,43
Paygap_4_22,43,43
Paygap_5_23,43,43
Paygap_6_25,43,43
Paygap_7_38,43,43
Paygap_8_9,43,43
Paygap_9_38,43,43
Paygap_10_24,43,43
Paygap_11_9,43,43
Paygap_12_40,41,41
Paygap_13_9,43,43
Paygap_14_21,43,43
Paygap_15_20,43,41
Paygap_16_29,43,43
Paygap_17_5,51,64
Paygap_18_28,43,43
Paygap_19_9,43,43
Paygap_20_31,43,43
Paygap_21_22,43,43
Paygap_22_23,43,43
Paygap_23_32,43,43
Paygap_24_18,43,43
Paygap_25_9,43,43
Paygap_26_38,43,43
Paygap_27_9,43,43
Paygap_28_28,43,43
Paygap_29_25,43,43
Paygap_30_27,43,43
Paygap_31_32,43,43
Paygap_32_10,43,43
Paygap_33_22,43,43
Paygap_34_2,64,64
Paygap_35_40,41,41
Paygap_36_25,43,43
Paygap_37_2,64,64
Paygap_38_37,43,43
Paygap_39_39,43,43
Paygap_40_5,51,51
Paygap_41_25,43,43
Paygap_42_40,41,41
Paygap_43_35,41,43
Paygap_44_1,64,71
Paygap_45_5,51,51
Paygap_46_21,43,43
Paygap_47_33,43,43
Paygap_48_3,64,64
Paygap_49_27,43,43
Paygap_50_6,43,64
Paygap_51_12,43,43
Paygap_52_32,43,43
Paygap_53_31,43,43
Paygap_54_16,43,43
Paygap_55_8,43,43
Paygap_56_24,43,43
Paygap_57_8,43,43
Paygap_58_39,43,43
Paygap_59_4,64,64
Paygap_60_3,64,64
Paygap_61_32,43,43
Paygap_62_19,43,43
Paygap_63_21,43,43
Paygap_64_29,43,43
Paygap_65_39,43,43
Paygap_66_31,43,43
Paygap_67_28,43,43
Paygap_68_38,43,43
Paygap_69_27,43,43
Paygap_70_4,64,64
Paygap_71_25,43,43
Paygap_72_29,43,43
Paygap_73_25,43,43
Paygap_74_26,43,43
Paygap_75_17,43,43
Paygap_76_3,64,64
Paygap_77_14,43,43
Paygap_78_31,43,43
Paygap_79_14,43,43
Paygap_80_2,64,64
Paygap_81_19,43,43
Paygap_82_1,64,71
Paygap_83_5,51,64
Paygap_84_3,64,64
Paygap_85_28,43,43
Paygap_86_15,43,43
Paygap_87_40,41,41
Paygap_88_10,43,43
Paygap_89_40,41,41
Paygap_90_13,43,43
Paygap_91_16,43,43
Paygap_92_36,43,43
Paygap_93_14,43,43
Paygap_94_27,43,43
Paygap_95_33,43,43
Paygap_96_2,64,64
Paygap_97_27,43,43
Paygap_98_37,43,43
Paygap_99_11,43,43
Paygap_100_14,43,43
Accidents_1_15,43,43
Accidents_2_46,43,43
Accidents_3_32,43,43
Accidents_4_35,43,43
Accidents_5_77,43,43
Accidents_6_55,43,43
Accidents_7_53,43,43
Accidents_8_34,43,43
Accidents_9_19,43,43
Accidents_10_47,43,43
Accidents_11_64,43,43
Accidents_12_25,43,43
Accidents_13_8,40,40
Accidents_14_71,40,40
Accidents_15_46,43,43
Accidents_16_12,40,40
Accidents_17_97,40,40
Accidents_18_9,43,43
Accidents_19_82,40,43
Accidents_20_11,40,43
Accidents_21_50,40,41
Accidents_22_23,43,43
Accidents_23_97,40,40
Accidents_24_63,43,43
Accidents_25_72,43,43
Accidents_26_54,43,43
Accidents_27_38,43,43
Accidents_28_49,43,43
Accidents_29_92,40,40
Accidents_30_2,40,40
Accidents_31_83,40,43
Accidents_32_86,43,43
Accidents_33_41,43,43
Accidents_34_15,40,43
Accidents_35_51,40,43
Accidents_36_77,43,43
Accidents_37_44,43,43
Accidents_38_82,40,43
Accidents_39_83,40,43
Accidents_40_28,43,43
Accidents_41_24,43,43
Accidents_42_66,43,43
Accidents_43_91,40,43
Accidents_44_3,40,40
Accidents_45_98,40,41
Accidents_46_69,43,43
Accidents_47_57,43,43
Accidents_48_90,40,41
Accidents_49_92,40,43
Accidents_50_24,43,43
Accidents_51_47,43,43
Accidents_52_47,43,43
Accidents_53_14,43,43
Accidents_54_51,40,43
Accidents_55_89,43,43
Accidents_56_43,43,43
Accidents_57_41,43,43
Accidents_58_35,43,43
Accidents_59_93,40,43
Accidents_60_69,41,43
Accidents_61_35,43,43
Accidents_62_54,43,43
Accidents_63_62,43,43
Accidents_64_24,43,43
Accidents_65_71,40,40
Accidents_66_6,40,41
Accidents_67_73,43,43
Accidents_68_2,40,40
Accidents_69_63,43,43
Accidents_70_60,41,41
Accidents_71_51,40,43
Accidents_72_62,43,43
Accidents_73_54,43,43
Accidents_74_82,40,43
Accidents_75_40,43,43
Accidents_76_35,43,43
Accidents_77_28,43,43
Accidents_78_34,43,43
Accidents_79_73,43,43
Accidents_80_20,40,40
Accidents_81_10,40,40
Accidents_82_18,43,43
Accidents_83_76,43,43
Accidents_84_69,43,43
Accidents_85_51,40,43
Accidents_86_41,43,43
Accidents_87_1,40,40
Accidents_88_6,40,43
Accidents_89_54,43,43
Accidents_90_90,40,40
Accidents_91_7,40,43
Accidents_92_61,43,43
Accidents_93_44,43,43
Accidents_94_72,43,43
Accidents_95_97,40,40
Accidents_96_21,43,43
Accidents_97_93,40,40
Accidents_98_59,43,43
Accidents_99_22,43,43
Accidents_100_42,43,43
Rotation_1_82,40,40
Rotation_2_75,40,40
Rotation_3_43,43,43
Rotation_4_78,40,43
Rotation_5_45,43,45
Rotation_6_22,64,64
Rotation_7_54,43,43
Rotation_8_49,43,43
Rotation_9_59,43,43
Rotation_10_71,41,43
Rotation_11_37,43,43
Rotation_12_9,64,64
Rotation_13_56,43,43
Rotation_14_9,64,64
Rotation_15_67,43,43
Rotation_16_70,40,40
Rotation_17_73,43,43
Rotation_18_38,42,42
Rotation_19_68,43,43
Rotation_20_70,40,40
Rotation_21_64,43,43
Rotation_22_91,41,41
Rotation_23_22,64,64
Rotation_24_71,41,41
Rotation_25_57,43,43
Rotation_26_49,43,43
Rotation_27_97,30,20
Rotation_28_39,43,43
Rotation_29_98,20,20
Rotation_30_3,71,72
Rotation_31_16,64,64
Rotation_32_89,41,31
Rotation_33_29,64,64
Rotation_34_92,40,30
Rotation_35_42,42,42
Rotation_36_21,43,43
Rotation_37_17,64,64
Rotation_38_92,30,30
Rotation_39_74,43,43
Rotation_40_73,43,43
Rotation_41_25,43,43
Rotation_42_86,43,43
Rotation_43_18,64,64
Rotation_44_93,30,40
Rotation_45_59,43,43
Rotation_46_21,43,43
Rotation_47_95,40,30
Rotation_48_68,43,43
Rotation_49_42,42,42
Rotation_50_77,43,43
Rotation_51_89,41,31
Rotation_52_9,64,64
Rotation_53_87,43,43
Rotation_54_48,43,43
Rotation_55_38,42,42
Rotation_56_14,64,64
Rotation_57_14,64,64
Rotation_58_12,64,64
Rotation_59_72,43,43
Rotation_60_58,42,43
Rotation_61_19,64,64
Rotation_62_54,43,43
Rotation_63_38,42,43
Rotation_64_56,43,43
Rotation_65_42,42,42
Rotation_66_27,43,43
Rotation_67_86,43,43
Rotation_68_100,20,20
Rotation_69_20,43,43
Rotation_70_15,64,64
Rotation_71_68,43,43
Rotation_72_100,20,20
Rotation_73_53,43,43
Rotation_74_21,43,43
Rotation_75_32,43,43
Rotation_76_20,43,43
Rotation_77_18,64,64
Rotation_78_9,64,64
Rotation_79_38,42,42
Rotation_80_61,43,43
Rotation_81_15,64,64
Rotation_82_56,43,43
Rotation_83_55,43,45
Rotation_84_24,43,64
Rotation_85_85,40,40
Rotation_86_69,43,43
Rotation_87_23,43,43
Rotation_88_4,72,72
Rotation_89_55,43,43
Rotation_90_44,44,44
Rotation_91_5,71,71
Rotation_92_73,43,43
Rotation_93_58,43,43
Rotation_94_32,43,43
Rotation_95_41,41,41
Rotation_96_56,43,43
Rotation_97_44,44,44
Rotation_98_76,43,43
Rotation_99_99,20,20
Rotation_100_87,43,43
